sample_id,ngs_runid,duplicate_id,ngs_rundate,ngs_location,ngs_platform,primer_scheme,nanopore_platform,ngs_flowcell,illumina_platform,ngs_prep,ngs_barcode,redcap_repeat_instrument,redcap_repeat_instance
RADDL4B-23-057,rabv_4b_2025_run1,1,9-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode73,sequencing,1
RADDL4B-23-058,RabV_4B_2025_R10_run1,1,11-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ05819,,Amplicon,barcode10,sequencing,1
RADDL4B-23-060,rabv_4b_2024_run10,1,26-Nov-2024,RITM,Nanopore,rabvSEasia,Minion,FAU49052,,Amplicon,barcode51,sequencing,1
RADDL4B-23-061,rabv_4b_2024_run10,1,26-Nov-2024,RITM,Nanopore,rabvSEasia,Minion,FAU49052,,Amplicon,barcode52,sequencing,1
RADDL4B-23-064,rabv_4b_2025_r10_run6,1,3-Jul-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28401,,Amplicon,barcode26,sequencing,1
RADDL4B-23-065,rabv_4b_2025_r10_run6,1,3-Jul-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28401,,Amplicon,barcode27,sequencing,1
RADDL4B-23-069,rabv_4b_2025_r10_run6,1,3-Jul-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28401,,Amplicon,barcode28,sequencing,1
RADDL4B-23-070,rabv_4b_2024_run10,1,26-Nov-2024,RITM,Nanopore,rabvSEasia,Minion,FAU49052,,Amplicon,barcode53,sequencing,1
RADDL4B-23-071,rabv_4b_2024_run12,1,5-Dec-2024,RITM,Nanopore,rabvSEasia,Minion,FAU43101,,Amplicon,barcode10,sequencing,1
RADDL4B-23-072,rabv_4b_2024_run10,1,26-Nov-2024,RITM,Nanopore,rabvSEasia,Minion,FAU49052,,Amplicon,barcode55,sequencing,1
RADDL4B-23-076,RabV_4B_2025_R10_run1,1,11-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ05819,,Amplicon,barcode11,sequencing,1
RADDL4B-23-080,RabV_4B_2025_R10_run1,1,11-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ05819,,Amplicon,barcode12,sequencing,1
RADDL4B-23-081,RabV_4B_2025_R10_run1,1,11-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ05819,,Amplicon,barcode13,sequencing,1
RADDL4B-23-084,rabv_4b_2025_r10_run6,1,3-Jul-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28401,,Amplicon,barcode29,sequencing,1
RADDL4B-23-085,rabv_4b_2025_run2,1,14-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode43,sequencing,1
RADDL4B-23-089,rabv_4b_2025_r10_run6,1,3-Jul-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28401,,Amplicon,barcode30,sequencing,1
RADDL4B-23-090,RabV_4B_2025_R10_run1,1,11-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ05819,,Amplicon,barcode14,sequencing,1
RADDL4B-23-091,rabv_4b_2025_r10_run6,1,3-Jul-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28401,,Amplicon,barcode31,sequencing,1
RADDL4B-23-092,rabv_4b_2025_r10_run6,1,3-Jul-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28401,,Amplicon,barcode32,sequencing,1
RADDL4B-23-093,rabv_4b_2025_run2,1,14-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode44,sequencing,1
RADDL4B-23-094,rabv_4b_2025_r10_run6,1,3-Jul-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28401,,Amplicon,barcode33,sequencing,1
RADDL4B-23-095,rabv_4b_2025_run2,1,14-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode45,sequencing,1
RADDL4B-23-096,rabv_4b_2024_run11,1,2-Dec-2024,RITM,Nanopore,rabvSEasia,Minion,FAU49052,,Amplicon,barcode74,sequencing,1
RADDL4B-23-097,rabv_4b_2025_run2,1,14-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode46,sequencing,1
RADDL4B-23-098,rabv_4b_2025_run2,1,14-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode47,sequencing,1
RADDL4B-23-099,rabv_4b_2025_run2,1,14-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode48,sequencing,1
RADDL4B-23-100,rabv_4b_2025_run2,1,14-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode49,sequencing,1
RADDL4B-23-101,RabV_4B_2025_R10_run1,1,11-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ05819,,Amplicon,barcode15,sequencing,1
RADDL4B-23-103,rabv_4b_2025_r10_run6,1,3-Jul-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28401,,Amplicon,barcode55,sequencing,1
RADDL4B-23-104,RabV_4B_2025_R10_run1,1,11-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ05819,,Amplicon,barcode17,sequencing,1
RADDL4B-23-105,RabV_4B_2025_R10_run1,1,11-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ05819,,Amplicon,barcode18,sequencing,1
RADDL4B-23-107,rabv_4b_2025_r10_run6,1,3-Jul-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28401,,Amplicon,barcode44,sequencing,1
RADDL4B-24-001,rabv_4b_2025_run2,1,14-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode50,sequencing,1
RADDL4B-24-002,RabV_4B_2025_R10_run1,1,11-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ05819,,Amplicon,barcode19,sequencing,1
RADDL4B-24-003,RabV_4B_2025_R10_run1,1,11-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ05819,,Amplicon,barcode20,sequencing,1
RADDL4B-24-005,rabv_4b_2025_r10_run6,1,3-Jul-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28401,,Amplicon,barcode35,sequencing,1
RADDL4B-24-007,rabv_4b_2025_r10_run6,1,3-Jul-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28401,,Amplicon,barcode36,sequencing,1
RADDL4B-24-009,RabV_4B_2025_R10_run3,1,24-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode32,sequencing,1
RADDL4B-24-010,rabv_4b_2025_run2,1,14-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode51,sequencing,1
RADDL4B-24-011,rabv_4b_2025_run2,1,14-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode52,sequencing,1
RADDL4B-24-012,rabv_4b_2025_run2,1,14-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode53,sequencing,1
RADDL4B-24-013,rabv_4b_2025_r10_run6,1,3-Jul-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28401,,Amplicon,barcode37,sequencing,1
RADDL4B-24-014,RabV_4B_2025_R10_run3,1,24-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode31,sequencing,1
RADDL4B-24-015,rabv_4b_2025_run2,1,14-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode54,sequencing,1
RADDL4B-24-016,rabv_4b_2025_run2,1,14-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode55,sequencing,1
RADDL4B-24-017,RabV_4B_2025_R10_run2,1,18-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode01,sequencing,1
RADDL4B-24-018,RabV_4B_2025_R10_run3,1,24-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode30,sequencing,1
RADDL4B-24-019,rabv_4b_2025_run1,1,9-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode74,sequencing,1
RADDL4B-24-021,rabv_4b_2025_run1,1,9-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode75,sequencing,1
RADDL4B-24-023,RabV_4B_2025_R10_run2,1,18-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode03,sequencing,1
RADDL4B-24-026,rabv_4b_2025_run1,1,9-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode76,sequencing,1
RADDL4B-24-027,rabv_4b_2025_run1,1,9-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode77,sequencing,1
RADDL4B-24-028,RabV_4B_2025_R10_run2,1,18-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode04,sequencing,1
RADDL4B-24-029,rabv_4b_2025_run1,1,9-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode78,sequencing,1
RADDL4B-24-030,rabv_4b_2025_r10_run6,1,3-Jul-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28401,,Amplicon,barcode38,sequencing,1
RADDL4B-24-034,rabv_4b_2025_run1,1,9-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode79,sequencing,1
RADDL4B-24-035,rabv_4b_2025_run1,1,9-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode80,sequencing,1
RADDL4B-24-037,rabv_4b_2025_run1,1,9-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode81,sequencing,1
RADDL4B-24-038,RabV_4B_2025_R10_run2,1,18-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode05,sequencing,1
RADDL4B-24-042,RabV_4B_2025_R10_run2,1,18-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode06,sequencing,1
RADDL4B-24-043,RabV_4B_2025_R10_run2,1,18-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode07,sequencing,1
RADDL4B-24-046,RabV_4B_2025_R10_run2,1,18-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode08,sequencing,1
RADDL4B-24-048,rabv_4b_2025_r10_run6,1,3-Jul-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28401,,Amplicon,barcode39,sequencing,1
RADDL4B-24-049,rabv_4b_2025_run2,1,14-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode56,sequencing,1
RADDL4B-24-051,RabV_4B_2025_R10_run2,1,18-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode09,sequencing,1
RADDL4B-24-052,rabv_4b_2025_r10_run6,1,3-Jul-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28401,,Amplicon,barcode40,sequencing,1
RADDL4B-24-053,rabv_4b_2025_run1,1,9-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode82,sequencing,1
RADDL4B-24-054,RabV_4B_2025_R10_run2,1,18-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode10,sequencing,1
RADDL4B-24-055,rabv_4b_2025_run1,1,9-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode83,sequencing,1
RADDL4B-24-056,rabv_4b_2025_run1,1,9-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode84,sequencing,1
RADDL4B-24-057,rabv_4b_2025_run1,1,9-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode85,sequencing,1
RADDL4B-24-058,rabv_4b_2025_run1,1,9-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode86,sequencing,1
RADDL4B-24-059,rabv_4b_2025_run1,1,9-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode87,sequencing,1
RADDL4B-24-062,rabv_4b_2025_r10_run6,1,3-Jul-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28401,,Amplicon,barcode41,sequencing,1
RADDL4B-24-063,RabV_4B_2025_R10_run2,1,18-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode12,sequencing,1
RADDL4B-24-066,RabV_4B_2025_R10_run2,1,18-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode13,sequencing,1
RADDL4B-24-067,rabv_4b_2025_run1,1,9-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode88,sequencing,1
RADDL4B-24-069,RabV_4B_2025_R10_run2,1,18-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode14,sequencing,1
RADDL4B-24-070,rabv_4b_2025_run1,1,9-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode89,sequencing,1
RADDL4B-24-071,rabv_4b_2025_run1,1,9-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode90,sequencing,1
RADDL4B-24-073,RabV_4B_2025_R10_run2,1,18-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode15,sequencing,1
RADDL4B-24-074,RabV_4B_2025_R10_run2,1,18-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode16,sequencing,1
RADDL4B-24-076,RabV_4B_2025_R10_run2,1,18-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode17,sequencing,1
RADDL4B-24-077,rabv_4b_2025_run1,1,9-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode91,sequencing,1
RADDL4B-24-078,RabV_4B_2025_R10_run2,1,18-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode18,sequencing,1
RADDL4B-24-080,rabv_4b_2025_r10_run6,1,3-Jul-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28401,,Amplicon,barcode42,sequencing,1
RADDL4B-24-081,RabV_4B_2025_R10_run2,1,18-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode19,sequencing,1
RADDL4B-24-082,rabv_4b_2025_run1,1,9-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode92,sequencing,1
RADDL4B-24-083,rabv_4b_2025_run2,1,14-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode57,sequencing,1
RADDL4B-24-084,rabv_4b_2025_run2,1,14-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode58,sequencing,1
RADDL4B-24-085,rabv_4b_2025_run2,1,14-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode59,sequencing,1
RADDL4B-24-086,rabv_4b_2025_run2,1,14-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode60,sequencing,1
RADDL4B-24-087,rabv_4b_2025_run2,1,14-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode61,sequencing,1
RADDL4B-24-088,rabv_4b_2025_run2,1,14-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode62,sequencing,1
RADDL4B-24-093,rabv_4b_2025_r10_run6,1,3-Jul-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28401,,Amplicon,barcode43,sequencing,1
RADDL4B-24-095,RabV_4B_2025_R10_run3,1,24-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode29,sequencing,1
RADDL4B-24-096,RabV_4B_2025_R10_run3,1,24-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode28,sequencing,1
RADDL4B-24-097,RabV_4B_2025_R10_run3,1,24-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode27,sequencing,1
RADDL4B-24-098,RabV_4B_2025_R10_run3,1,24-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode26,sequencing,1
RADDL4B-24-099,RabV_4B_2025_R10_run3,1,24-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode25,sequencing,1
RADDL4B-24-100,RabV_4B_2025_R10_run3,1,24-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode41,sequencing,1
RADDL4B-24-101,rabv_4b_2025_run2,1,14-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode63,sequencing,1
RADDL4B-24-102,rabv_4b_2025_run1,1,9-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode93,sequencing,1
RADDL4B-24-105,rabv_4b_2025_r10_run6,1,3-Jul-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28401,,Amplicon,barcode45,sequencing,1
RADDL4B-24-106,rabv_4b_2025_run2,1,14-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode64,sequencing,1
RADDL4B-24-107,rabv_4b_2025_r10_run6,1,3-Jul-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28401,,Amplicon,barcode46,sequencing,1
RADDL4B-24-108,rabv_4b_2025_r10_run6,1,3-Jul-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28401,,Amplicon,barcode47,sequencing,1
RADDL4B-24-112,RabV_4B_2025_R10_run3,1,24-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode42,sequencing,1
RADDL4B-24-113,RabV_4B_2025_R10_run3,1,24-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode43,sequencing,1
RADDL4B-24-114,RabV_4B_2025_R10_run3,1,24-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode44,sequencing,1
RADDL4B-24-116,RabV_4B_2025_R10_run3,1,24-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode45,sequencing,1
RADDL4B-24-117,RabV_4B_2025_R10_run3,1,24-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode46,sequencing,1
RADDL4B-24-120,rabv_4b_2025_run2,1,14-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode65,sequencing,1
RADDL4B-24-121,RabV_4B_2025_R10_run3,1,24-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode47,sequencing,1
RADDL4B-24-122,RabV_4B_2025_R10_run3,1,24-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode48,sequencing,1
RADDL4B-24-124,rabv_4b_2025_run2,1,14-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode66,sequencing,1
RADDL4B-24-125,rabv_4b_2025_r10_run6,1,3-Jul-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28401,,Amplicon,barcode49,sequencing,1
RADDL4B-24-127,rabv_4b_2025_r10_run6,1,3-Jul-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28401,,Amplicon,barcode50,sequencing,1
RADDL4B-24-129,rabv_4b_2025_r10_run6,1,3-Jul-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28401,,Amplicon,barcode51,sequencing,1
RADDL4B-24-130,rabv_4b_2025_run2,1,14-Jan-2025,RITM,Nanopore,rabvSEasia,Minion,FAU48941,,Amplicon,barcode67,sequencing,1
RADDL4B-24-132,rabv_4b_2025_r10_run6,1,3-Jul-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28401,,Amplicon,barcode52,sequencing,1
RADDL4B-24-138,RabV_4B_2025_R10_run3,1,24-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode33,sequencing,1
RADDL4B-24-147,rabv_4b_2025_r10_run4,1,24-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode49,sequencing,1
RADDL4B-24-148,rabv_4b_2025_r10_run4,1,24-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode50,sequencing,1
RADDL4B-24-150,rabv_4b_2025_r10_run4,1,24-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode51,sequencing,1
RADDL4B-24-151,rabv_4b_2025_r10_run4,1,24-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode52,sequencing,1
RADDL4B-24-153,rabv_4b_2025_r10_run5,1,29-May-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ08077,,Amplicon,barcode49,sequencing,1
RADDL4B-24-154,RabV_4B_2025_R10_run3,1,24-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode34,sequencing,1
RADDL4B-24-155,RabV_4B_2025_R10_run3,1,24-Mar-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28415,,Amplicon,barcode35,sequencing,1
RADDL4B-24-156,rabv_4b_2025_r10_run5,1,29-May-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ08077,,Amplicon,barcode50,sequencing,1
RADDL4B-24-157,rabv_4b_2025_r10_run5,1,29-May-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ08077,,Amplicon,barcode51,sequencing,1
RADDL4B-24-161,rabv_4b_2025_r10_run6,1,3-Jul-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28401,,Amplicon,barcode53,sequencing,1
RADDL4B-24-162,rabv_4b_2025_r10_run6,1,3-Jul-2025,RITM,Nanopore,rabvSEasia,Minion,FAY28401,,Amplicon,barcode54,sequencing,1
RADDL4B-24-173,rabv_4b_2025_r10_run5,1,29-May-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ08077,,Amplicon,barcode52,sequencing,1
RADDL4B-24-174,rabv_4b_2025_r10_run5,1,29-May-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ08077,,Amplicon,barcode53,sequencing,1
RADDL4B-24-178,rabv_4b_2025_r10_run5,1,29-May-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ08077,,Amplicon,barcode54,sequencing,1
RADDL4B-24-180,rabv_4b_2025_r10_run5,1,29-May-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ08077,,Amplicon,barcode55,sequencing,1
RADDL4B-24-181,rabv_4b_2025_r10_run5,1,29-May-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ08077,,Amplicon,barcode56,sequencing,1
RADDL4B-24-182,rabv_4b_2025_r10_run5,1,29-May-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ08077,,Amplicon,barcode57,sequencing,1
RADDL4B-24-183,rabv_4b_2025_r10_run5,1,29-May-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ08077,,Amplicon,barcode58,sequencing,1
RADDL4B-24-184,rabv_4b_2025_r10_run5,1,29-May-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ08077,,Amplicon,barcode59,sequencing,1
RADDL4B-24-185,rabv_4b_2025_r10_run5,1,29-May-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ08077,,Amplicon,barcode60,sequencing,1
RADDL4B-24-186,rabv_4b_2025_r10_run5,1,29-May-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ08077,,Amplicon,barcode61,sequencing,1
RADDL4B-24-187,rabv_4b_2025_r10_run5,1,29-May-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ08077,,Amplicon,barcode62,sequencing,1
RADDL4B-24-188,rabv_4b_2025_r10_run5,1,29-May-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ08077,,Amplicon,barcode63,sequencing,1
RADDL4B-25-005,rabv_4b_2025_r10_run5,1,29-May-2025,RITM,Nanopore,rabvSEasia,Minion,FAZ08077,,Amplicon,barcode64,sequencing,1
