id	Case_no	Accession	Host	Sample_type	Preferred_date	Date_source	Barangay	Municipality	Municipality_std	Province	Province_std	Region	Region_std	Latitude	Longitude	Source	Author	Pubmed	Genome_coverage	Host_scientific	Host_common	Host_type	Major_Island	seq_name	phylogenetic_clade	decimal_date
RADDL4B-24-085__20-Apr-2024	M-92	NA	Dog	NA	45402	date_collected	Malibago	Torrijos	Marinduque-Torrijos	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.2871463	122.007724	speedier	NA	NA	0.9883	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-085	AL_Asian_SEA4	2024.30055
RADDL4B-24-086__20-Apr-2024	M-93	NA	Dog	NA	45402	date_collected	Pulong-Parang	Santa Cruz	Marinduque-Santa Cruz	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.4154954	122.058429	speedier	NA	NA	0.9345	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-086	AL_Asian_SEA4	2024.30055
RADDL4B-24-087__21-Apr-2024	M-94	NA	Dog	NA	45403	date_collected	Marlangga	Torrijos	Marinduque-Torrijos	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.3318662	122.086558	speedier	NA	NA	0.9712	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-087	AL_Asian_SEA4	2024.30328
RADDL4B-24-088__22-Apr-2024	M-95	NA	Dog	NA	45404	date_collected	Mangiliol	Gasan	Marinduque-Gasan	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.3576676	121.838479	speedier	NA	NA	0.9155	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-088	AL_Asian_SEA4	2024.30601
RADDL4B-24-101__25-Apr-2024	M-99	NA	Dog	NA	45407	date_collected	Poras	Boac	Marinduque-Boac	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.4580497	121.83236	speedier	NA	NA	0.9888	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-101	AL_Asian_SEA4	2024.31421
RADDL4B-24-106__20-Mar-2024	M-104	NA	Dog	NA	45371	date_collected	Daykitin	Buenavista	Marinduque-Buenavista	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.2738268	121.922813	speedier	NA	NA	0.9885	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-106	AL_Asian_SEA4	2024.21585
RADDL4B-24-120__20-Sep-2024	M-106	NA	Dog	NA	45555	date_collected	Mainit	Boac	Marinduque-Boac	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.4085584	121.88311	speedier	NA	NA	0.9886	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-120	AL_Asian_SEA4	2024.71858
RADDL4B-24-124__13-May-2024	M-110	NA	Dog	NA	45425	date_collected	Yook	Buenavista	Marinduque-Buenavista	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.2242869	121.985177	speedier	NA	NA	0.9889	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-124	AL_Asian_SEA4	2024.36339
RADDL4B-23-042__07-Jul-2023	R-56	NA	Dog	NA	45114	date_collected	Matutuna	San Andres	Romblon-San Andres	Romblon	Romblon	MIMIROPA	Mimaropa Region	12.4854302	122.037858	speedier	NA	NA	0.9884	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-23-042	AL_Asian_SEA4	2023.51233
RADDL4B-23-044__01-Aug-2023	OM-35	NA	Dog	NA	45139	date_collected	Libtong	Roxas	Oriental Mindoro-Roxas	Oriental Mindoro	Oriental Mindoro	MIMIROPA	Mimaropa Region	12.6243292	121.503167	speedier	NA	NA	0.9893	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-23-044	AL_Asian_SEA4	2023.58082
RADDL4B-23-045__03-Aug-2023	R-58	NA	Dog	NA	45141	date_collected	Linawan	San Andres	Romblon-San Andres	Romblon	Romblon	MIMIROPA	Mimaropa Region	12.5613812	122.024644	speedier	NA	NA	0.9884	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-23-045	AL_Asian_SEA4	2023.5863
RADDL4B-23-046__04-Jul-2023	R-59	NA	Dog	NA	45111	date_collected	Carmen	San Agustin	Romblon-San Agustin	Romblon	Romblon	MIMIROPA	Mimaropa Region	12.6207442	122.112268	speedier	NA	NA	0.9884	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-23-046	AL_Asian_SEA4	2023.50411
RADDL4B-23-047__23-Aug-2023	OM-36	NA	Dog	NA	45161	date_collected	San Isidro	Puerto Galera	Oriental Mindoro-Baco	Oriental Mindoro	Oriental Mindoro	MIMIROPA	Mimaropa Region	13.3778569	120.870382	speedier	NA	NA	0.9884	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-23-047	AL_Asian_SEA4	2023.6411
RADDL4B-23-049__31-Aug-2023	OM-37	NA	Dog	NA	45169	date_collected	Bagumbayan I	Bongabong	Oriental Mindoro-Bongabong	Oriental Mindoro	Oriental Mindoro	MIMIROPA	Mimaropa Region	12.7470657	121.47485	speedier	NA	NA	0.9889	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-23-049	AL_Asian_SEA4	2023.66301
RADDL4B-23-052__29-Aug-2023	R-61	NA	Dog	NA	45167	date_collected	Mat-I	Santa Fe	Romblon-Santa Fe	Romblon	Romblon	MIMIROPA	Mimaropa Region	12.182579	121.982069	speedier	NA	NA	0.9887	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-23-052	AL_Asian_SEA4	2023.65753
RADDL4B-23-056__11-Sep-2023	R-63	NA	Dog	NA	45180	date_collected	Concepcion Norte	Santa Maria	Romblon-Santa Maria	Romblon	Romblon	MIMIROPA	Mimaropa Region	12.4009725	122.089784	speedier	NA	NA	0.9882	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-23-056	AL_Asian_SEA4	2023.69315
RADDL4B-23-058__02-Oct-2023	OM-38	NA	Dog	NA	45201	date_collected	Poblacion III	Victoria	Oriental Mindoro-Baco	Oriental Mindoro	Oriental Mindoro	MIMIROPA	Mimaropa Region	13.1693714	121.255058	speedier	NA	NA	0.9485	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-23-058	AL_Asian_SEA4	2023.75068
RADDL4B-23-076__17-Oct-2023	R-66	NA	Dog	NA	45216	date_collected	Poblacion	Alcantara	Romblon-Alcantara	Romblon	Romblon	MIMIROPA	Mimaropa Region	12.2598547	122.053286	speedier	NA	NA	0.972	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-23-076	AL_Asian_SEA4	2023.79178
RADDL4B-23-080__26-Oct-2023	R-67	NA	Dog	NA	45225	date_collected	Pangulo	Calatrava	Romblon-Calatrava	Romblon	Romblon	MIMIROPA	Mimaropa Region	12.6133966	122.093404	speedier	NA	NA	0.9874	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-23-080	AL_Asian_SEA4	2023.81644
RADDL4B-23-081__30-Sep-2023	R-65	NA	Dog	NA	45199	date_collected	Bachawan	San Agustin	Romblon-San Agustin	Romblon	Romblon	MIMIROPA	Mimaropa Region	12.4577619	122.090565	speedier	NA	NA	0.9711	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-23-081	AL_Asian_SEA4	2023.74521
RADDL4B-23-090__16-Nov-2023	OM-41	NA	Dog	NA	45246	date_collected	Ilag	San Teodoro	Oriental Mindoro-Baco	Oriental Mindoro	Oriental Mindoro	MIMIROPA	Mimaropa Region	13.4516488	120.977522	speedier	NA	NA	0.9884	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-23-090	AL_Asian_SEA4	2023.87397
RADDL4B-23-101__05-Dec-2023	M-27	NA	Dog	NA	45265	date_collected	Hinapulan	Boac	Marinduque-Boac	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.4005603	121.941375	speedier	NA	NA	0.9886	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-23-101	AL_Asian_SEA4	2023.92603
RADDL4B-23-104__12-Dec-2023	R-70	NA	Dog	NA	45272	date_collected	Poblacion	Alcantara	Romblon-Alcantara	Romblon	Romblon	MIMIROPA	Mimaropa Region	12.2598547	122.053286	speedier	NA	NA	0.9885	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-23-104	AL_Asian_SEA4	2023.94521
RADDL4B-23-105__13-Nov-2023	R-69	NA	Dog	NA	45243	date_collected	Poblacion	Looc	Romblon-Looc	Romblon	Romblon	MIMIROPA	Mimaropa Region	12.2710913	122.007371	speedier	NA	NA	0.9878	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-23-105	AL_Asian_SEA4	2023.86575
RADDL4B-24-002__09-Jan-2024	M-30	NA	Dog	NA	45300	date_collected	Malusak	Boac	Marinduque-Boac	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.447082	121.841284	speedier	NA	NA	0.9883	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-002	AL_Asian_SEA4	2024.02186
RADDL4B-24-003__09-Jan-2024	M-31	NA	Dog	NA	45300	date_collected	Masiga	Gasan	Marinduque-Gasan	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.358719	121.825508	speedier	NA	NA	0.9884	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-003	AL_Asian_SEA4	2024.02186
RADDL4B-24-017__25-Jan-2024	M-39	NA	Dog	NA	45316	date_collected	Masiga	Gasan	Marinduque-Gasan	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.358719	121.825508	speedier	NA	NA	0.9883	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-017	AL_Asian_SEA4	2024.06557
RADDL4B-24-023__15-Feb-2024	OM-48	NA	Dog	NA	45337	date_collected	Canubing I	Calapan City	Oriental Mindoro-Calapan City	Oriental Mindoro	Oriental Mindoro	MIMIROPA	Mimaropa Region	13.3491639	121.137312	speedier	NA	NA	0.9882	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-023	AL_Asian_SEA4	2024.12295
RADDL4B-24-028__14-Feb-2024	M-51	NA	Dog	NA	45336	date_collected	Masiga	Gasan	Marinduque-Gasan	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.358719	121.825508	speedier	NA	NA	0.9884	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-028	AL_Asian_SEA4	2024.12022
RADDL4B-24-038__05-Mar-2024	M-59	NA	Dog	NA	45356	date_collected	Barangay I	Buenavista	Marinduque-Buenavista	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.2559971	121.941807	speedier	NA	NA	0.988	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-038	AL_Asian_SEA4	2024.17486
RADDL4B-24-042__12-Feb-2024	R-63	NA	Dog	NA	45334	date_collected	Mahabang Baybay	San Agustin	Romblon-San Agustin	Romblon	Romblon	MIMIROPA	Mimaropa Region	12.6389756	122.150336	speedier	NA	NA	0.9884	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-042	AL_Asian_SEA4	2024.11475
RADDL4B-24-043__04-Mar-2024	R-56	NA	Dog	NA	45355	date_collected	Camili	Alcantara	Romblon-Alcantara	Romblon	Romblon	MIMIROPA	Mimaropa Region	12.2601675	122.042413	speedier	NA	NA	0.9878	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-043	AL_Asian_SEA4	2024.17213
RADDL4B-24-046__10-Mar-2024	OM-55	NA	Dog	NA	45361	date_collected	Poblacion I	Victoria	Oriental Mindoro-Baco	Oriental Mindoro	Oriental Mindoro	MIMIROPA	Mimaropa Region	13.1738071	121.285335	speedier	NA	NA	0.9888	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-046	AL_Asian_SEA4	2024.18852
RADDL4B-24-051__26-Mar-2024	OM-56	NA	Dog	NA	45377	date_collected	Bagumbayan	Roxas	Oriental Mindoro-Roxas	Oriental Mindoro	Oriental Mindoro	MIMIROPA	Mimaropa Region	12.5902022	121.520949	speedier	NA	NA	0.9887	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-051	AL_Asian_SEA4	2024.23224
RADDL4B-24-054__20-Mar-2024	M-66	NA	Dog	NA	45371	date_collected	Caigangan	Buenavista	Marinduque-Buenavista	Marinduque	Marinduque	MIMIROPA	Mimaropa Region	13.2621223	121.934273	speedier	NA	NA	0.9884	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-054	AL_Asian_SEA4	2024.21585
RADDL4B-24-063__13-Apr-2024	R-77	NA	Dog	NA	45395	date_collected	Tulay	Odiongan	Romblon-Odiongan	Romblon	Romblon	MIMIROPA	Mimaropa Region	12.3900864	121.992303	speedier	NA	NA	0.9881	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-063	AL_Asian_SEA4	2024.28142
RADDL4B-24-066__20-Oct-2024	R-75	NA	Dog	NA	45585	date_collected	Tugdan	Alcantara	Romblon-Alcantara	Romblon	Romblon	MIMIROPA	Mimaropa Region	12.3272699	122.070177	speedier	NA	NA	0.9879	Canis lupus familiaris	Dog	Domestic	Luzon	RADDL4B-24-066	AL_Asian_SEA4	2024.80055
