tip,date,group
OQ326740,01-Jan-2019,R11
OQ326739,01-Jan-2019,R11
OQ326738,01-Jan-2018,R11
OQ326737,01-Jan-2018,R11
OQ326736,01-Jan-2018,R11
OR971444,11-jan-2022,R3
OR971443,10-jan-2022,R3
OR971442,07-jan-2022,R3
OR971441,18-jan-2022,R3
OR971440,04-jan-2022,R3
OR971439,03-jan-2022,R3
OR971438,25-oct-2021,R3
OR971437,22-dec-2021,R3
OR971436,09-dec-2021,R3
OR971435,27-oct-2021,R3
OR971434,13-oct-2021,R3
OR971433,13-oct-2021,R3
OR971432,08-oct-2021,R3
OR971431,07-oct-2021,R3
OR971430,05-oct-2021,R3
OR971429,04-oct-2021,R3
OR971428,24-sep-2021,R3
OR971427,10-sep-2021,R3
OR971426,09-sep-2021,R3
OR971425,09-sep-2021,R3
OR971424,03-sep-2021,R3
OR971423,31-aug-2021,R3
OR971422,31-aug-2021,R3
OR971421,31-aug-2021,R3
OR971420,24-may-2021,R3
OR971419,05-may-2021,R3
OR971418,26-apr-2021,R3
OR971417,16-apr-2021,R3
OR971416,16-apr-2021,R3
OR971415,13-apr-2021,R3
OR971414,07-apr-2021,R3
OR971413,05-apr-2021,R3
OR971412,19-mar-2021,R3
OR971411,13-sep-2019,R3
OR971409,20-aug-2019,R3
OR971408,02-aug-2019,R3
OR971407,30-dec-2021,R2
OR971406,27-dec-2021,R2
OR971405,20-dec-2021,R2
OR971404,11-may-2021,R2
OR971403,17-aug-2021,R2
OR971402,13-aug-2021,R2
OR971401,08-oct-2021,R2
OR971400,08-sep-2021,R2
OR971399,10-oct-2019,R2
OR971398,08-oct-2019,R2
OR971397,07-oct-2019,R2
OR971396,04-oct-2019,R2
OR971395,20-sep-2019,R2
OQ326784,01-Jan-2018,R11
OQ326783,01-Jan-2018,R11
OQ326782,01-Jan-2018,R11
OQ326781,01-Jan-2018,R11
OQ326780,01-Jan-2018,R11
OQ326779,01-Jan-2018,R11
OQ326778,01-Jan-2018,R11
OQ326777,01-Jan-2018,R11
OQ326776,01-Jan-2018,R11
OQ326775,01-Jan-2018,R12
OQ326774,01-Jan-2018,R11
OQ326773,01-Jan-2018,R11
OQ326772,01-Jan-2018,R11
OQ326771,01-Jan-2018,R11
OQ326770,01-Jan-2019,R11
OQ326769,01-Jan-2018,R11
OQ326768,01-Jan-2018,R11
OQ326767,01-Jan-2018,R11
OQ326766,01-Jan-2018,R11
OQ326765,01-Jan-2019,R11
OQ326764,01-Jan-2018,R11
OQ326763,01-Jan-2019,R11
OQ326762,01-Jan-2018,R11
OQ326761,01-Jan-2018,R11
OQ326760,01-Jan-2018,R11
OQ326759,01-Jan-2018,R11
OQ326758,01-Jan-2018,R11
OQ326757,01-Jan-2018,R11
OQ326756,01-Jan-2018,R11
OQ326755,01-Jan-2018,R11
OR971544,12-oct-2021,R6
OR971543,07-oct-2021,R6
OR971542,06-oct-2021,R6
OR971541,06-oct-2021,R6
OR971540,05-oct-2021,R6
OR971539,10-oct-2019,R6
OR971538,17-sep-2019,R6
OR971537,29-aug-2019,R6
OR971536,17-jun-2019,R6
OR971535,11-jun-2019,R6
OR971534,15-apr-2019,R6
OR971533,10-May-2021,R5
OR971532,06-May-2021,R5
OR971531,05-May-2021,R5
OR971530,03-May-2021,R5
OR971529,03-May-2021,R5
OR971528,26-Apr-2021,R5
OR971527,27-Apr-2021,R5
OR971526,26-Apr-2021,R5
OR971525,19-Apr-2021,R5
OR971524,19-Apr-2021,R5
OR971523,12-Apr-2021,R5
OR971522,02-Apr-2021,R5
OR971521,22-Mar-2021,R5
OR971520,22-Mar-2021,R5
OR971519,22-Mar-2021,R5
OR971518,22-Mar-2021,R5
OR971517,05-Mar-2021,R5
OR971516,05-Mar-2021,R5
OR971515,01-Feb-2021,R5
OR971514,01-Feb-2021,R5
OR971513,01-Feb-2021,R5
OR971512,01-Feb-2021,R5
OR971511,20-Jan-2021,R5
OR971510,19-Jan-2021,R5
OR971509,11-Jan-2021,R5
OR971508,05-Jan-2021,R5
OR971507,05-Jan-2021,R5
OR971506,07-Mar-2019,R5
OR971505,07-Dec-2018,R5
OR971504,14-Sep-2018,R5
OR971503,10-Aug-2018,R5
OR971502,02-May-2018,R5
OR971501,27-Feb-2018,R5
OR971500,27-Feb-2018,R5
OR971499,20-Feb-2018,R5
OR971498,08-Feb-2018,R5
OR971497,01-Jan-2022,R17
OR971496,03-Mar-2022,R17
OR971495,17-Feb-2022,R17
OR971344,02-Jan-2022,R14
OR971343,14-Jan-2022,R14
OR971342,01-Jun-2022,R14
OR971341,01-Apr-2022,R14
OR971340,15-Nov-2021,R14
OR971339,11-Mar-2021,R14
OR971338,25-Jun-2021,R14
OR971337,18-Jun-2021,R14
OR971336,06-Aug-2021,R14
OR971335,14-May-2021,R14
OR971334,10-May-2021,R14
OR971333,03-May-2021,R14
OR971332,11-Mar-2021,R14
OR971331,28-Feb-2021,R14
OR971330,24-Feb-2021,R14
OR971329,28-Oct-2019,R14
OR971328,14-Oct-2019,R14
OR971327,23-Sep-2019,R14
OR971326,26-Sep-2019,R14
OR971325,16-Sep-2019,R14
OR971324,04-Sep-2019,R14
OR971323,26-Aug-2019,R14
OR971644,24-jun-2019,R12
OR971643,19-jun-2019,R12
OR971642,07-jun-2019,R12
OR971641,09-jan-2019,R12
OR971640,05-may-2022,R11
OR971639,02-may-2022,R11
OR971638,25-apr-2022,R11
OR971637,01-apr-2022,R11
OR971636,25-mar-2022,R11
OR971635,11-mar-2022,R11
OR971634,15-feb-2022,R11
OR971633,15-feb-2022,R11
OR971632,15-feb-2022,R11
OR971631,04-feb-2022,R11
OR971630,18-jan-2022,R11
OR971629,07-dec-2021,R11
OR971628,14-oct-2021,R11
OR971627,10-jun-2021,R11
OR971626,06-jan-2021,R11
OR971625,21-apr-2021,R10
OR971624,18-may-2021,R10
OR971623,21-may-2021,R10
OR971622,07-jun-2021,R10
OR971621,09-jun-2021,R10
OR971620,02-jul-2021,R10
OR971619,20-aug-2021,R10
OR971618,23-aug-2021,R10
OR971617,27-sep-2021,R10
OR971616,06-sep-2021,R10
OR971615,27-dec-2019,R10
OR971614,16-dec-2019,R10
OR971613,16-dec-2019,R10
OR971612,04-dec-2019,R10
OR971611,04-dec-2019,R10
OR971610,04-dec-2019,R10
OR971609,28-nov-2019,R10
OR971608,25-nov-2019,R10
OR971607,11-nov-2019,R10
OR971606,09-nov-2019,R10
OR971605,08-nov-2019,R10
OR971604,07-nov-2019,R10
OR971603,21-oct-2019,R10
OR971602,14-oct-2019,R10
OR971601,11-oct-2019,R10
OR971600,12-sep-2019,R10
OR971599,12-Sep-2021,R9
OR971598,10-Dec-2021,R9
OR971597,10-Jul-2021,R9
OR971596,27-Aug-2021,R9
OR971595,23-Aug-2021,R9
MN857171,06-May-2019,R3
MN857170,27-May-2019,R4
MN857169,31-May-2019,R13
MN857168,28-May-2019,R13
MN857167,26-Jun-2019,R13
OR971594,20-Aug-2021,R9
OR971593,05-Jan-2021,R9
OR971592,09-Oct-2019,R9
OR971591,26-apr-2021,R8
OR971590,22-apr-2021,R8
OR971589,15-apr-2021,R8
OR971588,08-apr-2021,R8
OR971587,30-mar-2021,R8
OR971586,23-mar-2021,R8
OR971585,26-feb-2021,R8
OR971584,26-feb-2021,R8
OR971577,28-Feb-2022,R7
OR971576,21-Feb-2022,R7
OR971575,15-Feb-2022,R7
OR971574,14-Feb-2022,R7
OR971573,02-Aug-2022,R7
OR971572,26-Jan-2022,R7
OR971571,01-Jul-2022,R7
OR971570,22-Nov-2021,R7
OR971569,22-Nov-2021,R7
OR971568,11-Dec-2021,R7
OR971567,11-Oct-2021,R7
OR971566,11-Sep-2021,R7
OR971565,11-Sep-2021,R7
OR971564,11-Sep-2021,R7
OR971563,26-Oct-2021,R7
OR971562,21-Oct-2021,R7
OR971561,18-Oct-2021,R7
OR971560,13-Oct-2021,R7
OR971559,13-Oct-2021,R7
OR971558,12-sep-2021,R6
OR971557,12-sep-2021,R6
OR971556,12-jul-2021,R6
OR971555,27-oct-2021,R6
OR971554,29-oct-2021,R6
OR971553,27-oct-2021,R6
OR971552,26-oct-2021,R6
OR971551,25-oct-2021,R6
OR971550,25-oct-2021,R6
OR971549,22-oct-2021,R6
OR971548,19-oct-2021,R6
OR971547,19-oct-2021,R6
OR971546,13-oct-2021,R6
OR971545,12-oct-2021,R6
OR971494,16-Feb-2022,R17
OR971493,09-Feb-2022,R17
OR971492,02-Sep-2022,R17
OR971491,04-Feb-2022,R17
OR971490,14-Jan-2022,R17
OR971489,05-Jan-2022,R17
OR971488,23-Apr-2021,R17
OR971487,14-Apr-2021,R17
OR971486,03-Oct-2021,R17
OR971485,03-May-2021,R17
OR971484,02-Sep-2021,R17
OR971483,16-Aug-2019,R17
OR971482,24-Mar-2022,R4
OR971481,03-Oct-2022,R4
OR971480,24-Feb-2022,R4
OR971479,22-Feb-2022,R4
OR971478,17-Feb-2022,R4
OR971477,15-Feb-2022,R4
OR971476,14-Feb-2022,R4
OR971475,02-Jul-2022,R4
OR971474,25-Jan-2022,R4
OR971473,25-Jan-2022,R4
OR971472,24-Jan-2022,R4
OR971471,21-Jan-2022,R4
OR971470,01-Nov-2022,R4
OR971469,12-Jan-2021,R4
OR971468,11-Nov-2021,R4
OR971467,23-Sep-2021,R4
OR971466,26-Aug-2021,R4
OR971465,26-Aug-2021,R4
OR971464,08-Nov-2021,R4
OR971463,08-May-2021,R4
OR971462,27-Jul-2021,R4
OR971461,29-Nov-2021,R4
OR971460,10-Dec-2021,R4
OR971459,29-May-2020,R4
OR971458,04-Mar-2020,R4
OR971457,03-Jan-2020,R4
OR971456,27-Aug-2019,R4
OR971455,05-Aug-2019,R4
OR971454,24-Oct-2019,R4
OR971453,17-Oct-2019,R4
OR971452,03-Oct-2019,R4
OR971451,25-Sep-2019,R4
OR971450,09-Sep-2019,R4
OR971449,27-Aug-2019,R4
OR971448,01-Aug-2019,R4
OR971447,06-May-2019,R4
OR971446,18-jan-2022,R3
OR971445,13-jan-2022,R3
OR971394,01-Jan-2019,R1
OR971393,20-aug-2019,R2
OR971392,21-apr-2022,R1
OR971391,18-apr-2022,R1
OR971390,04-apr-2022,R1
OR971389,08-nov-2021,R1
OR971388,02-nov-2021,R1
OR971387,29-oct-2021,R1
OR971386,28-oct-2021,R1
OR971385,06-nov-2019,R1
OR971384,21-oct-2019,R1
OR971383,15-oct-2019,R1
OR971382,01-oct-2019,R1
OR971381,10-sep-2019,R1
OR971380,28-Sep-2022,R13
OR971379,23-Sep-2022,R13
OR971378,16-Sep-2022,R13
OR971377,08-Sep-2022,R13
OR971376,05-Sep-2022,R13
OR971375,30-Aug-2022,R13
OR971374,26-Aug-2022,R13
OR971373,26-Aug-2022,R13
OR971372,22-Aug-2022,R13
OR971371,18-Aug-2022,R13
OR971370,15-Aug-2022,R13
OR971369,15-Aug-2022,R13
OR971368,09-Aug-2022,R13
OR971367,09-Aug-2022,R13
OR971366,05-Aug-2022,R13
OR971365,21-Jul-2022,R13
OR971364,28-Jun-2022,R13
OR971363,27-Jun-2022,R13
OR971362,13-Jun-2022,R13
OR971361,10-Jun-2022,R13
OR971360,11-May-2021,R13
OR971359,11-Feb-2021,R13
OR971358,13-Oct-2021,R13
OR971357,10-Jul-2021,R13
OR971356,10-Jan-2020,R13
OR971355,21-Sep-2020,R13
OR971354,24-Aug-2020,R13
OR971353,23-Jul-2020,R13
OR971352,15-Jun-2020,R13
OR971351,31-Mar-2020,R13
OR971350,05-Feb-2020,R13
OR971349,30-Sep-2019,R13
OR971348,24-Sep-2019,R13
OR971347,05-Sep-2019,R13
OR971346,16-Mar-2022,R14
OR971345,03-Oct-2022,R14
OR971675,20-Oct-2021,R8
OR971674,18-Oct-2021,R8
OR971673,10-Jun-2021,R8
OR971672,15-Sep-2021,R8
OR971671,25-Aug-2021,R8
OR971670,07-May-2021,R8
OR971669,30-Jun-2021,R8
OR971668,30-May-2021,R8
OR971667,03-Oct-2021,R8
OR971666,09-aug-2021,R12
OR971665,09-aug-2021,R12
OR971664,01-jul-2021,R12
OR971663,24-jun-2021,R12
OR971662,09-mar-2021,R12
OR971661,03-mar-2021,R12
OR971660,23-feb-2021,R12
OR971659,18-feb-2021,R12
OR971658,16-feb-2021,R12
OR971657,16-feb-2021,R12
OR971656,02-feb-2021,R12
OR971655,02-feb-2021,R12
OR971654,19-jan-2021,R12
OR971653,14-jan-2021,R12
OR971652,11-jan-2021,R12
OR971651,11-jan-2021,R12
OR971650,05-jan-2021,R12
OR971649,07-nov-2019,R12
OR971648,05-sep-2019,R12
OR971647,27-aug-2019,R12
OR971646,02-aug-2019,R12
OR971645,23-jul-2019,R12
14,28-Jan-2019,R5
153,17-May-2018,R5
19-30,02-Nov-2019,R5
19-40,27-Feb-2019,R5
4A-22-104,25-Jan-2022,R4
4A-22-171,06-Feb-2022,R4
4A-22-203,11-Feb-2022,R4
4A-22-40,10-Jan-2022,R4
4A-22-98,22-Jan-2022,R4
4B-21-126,26-Jan-2021,R17
4B-21-29,09-Feb-2021,R17
4B-21-310,10-Mar-2021,R17
4B-21-35,05-Mar-2021,R17
4B-21-412,12-Apr-2021,R17
4B-21-421,14-Apr-2021,R17
4B-21-423,23-Apr-2021,R17
4B-21-528,28-May-2021,R17
4B-21622,16-Feb-2022,R17
4B-22-114,14-Jan-2022,R17
4B-22-13,22-Apr-2022,R17
4B-22-15,05-Jan-2022,R17
4B-22-16,28-Apr-2022,R17
4B-22-17,08-May-2022,R17
4B-22-20,19-May-2022,R17
4B-22-21,31-May-2022,R17
4B-22-28,27-Jul-2022,R17
4B-22-30,12-Aug-2022,R17
4B-22-31,18-Aug-2022,R17
4B-22-35,25-Oct-2022,R17
4B-22-37,01-Oct-2022,R17
4B-22-39,21-Oct-2022,R17
4B-22-40,02-Dec-2022,R17
4B-22-41,24-Nov-2022,R17
4B-22-42,26-Nov-2022,R17
4B-22-44,11-Dec-2022,R17
4B-22-45,12-Dec-2022,R17
4B-23-01,20-Jan-2023,R17
4B-23-02,13-Jan-2023,R17
4B-23-03,22-Jan-2023,R17
4B-23-04,31-Jan-2023,R17
4B-23-05,20-Jan-2023,R17
4B-23-06,02-Feb-2023,R17
4B-23-07,07-Feb-2023,R17
4B-23-11,07-Feb-2023,R17
4B-23-12,14-Feb-2023,R17
4B-23-13,09-Feb-2023,R17
4B-23-15,16-Feb-2023,R17
4B-23-16,28-Feb-2023,R17
4B-23-17,01-Mar-2023,R17
4B-23-19,01-Mar-2023,R17
4B-2422,04-Feb-2022,R17
4B-2922HM,09-Feb-2022,R17
4B-2922JG,09-Feb-2022,R17
CAR-22-018,01-Jan-2022,R14
CAR-22-020,01-Jan-2022,R14
R1-21-148,10-Apr-2021,R1
R10-688,02-Jul-2021,R10
R10-711,12-Jul-2021,R10
R10-714,11-Jul-2021,R10
R10-824,09-Sep-2021,R10
R10-856,27-Sep-2021,R10
R10-907,25-Oct-2021,R10
R10-920,26-Oct-2021,R10
R10-989,25-Nov-2021,R10
R10-990,25-Nov-2021,R10
R11-21-61,11-Aug-2021,R19
R11-21-63,04-Oct-2021,R11
R11-22-001,01-Jan-2022,R11
R11-22-002,05-Jan-2022,R11
R2-081,31-Aug-2020,R2
R2-22-5302,04-Mar-2022,R2
R2-22-5814,07-Mar-2022,R2
R2-22-84711,06-Apr-2022,R2
R2-22-8924,01-Jan-2022,R2
R3-0483,01-Jan-2022,R3
R3-731,09-Dec-2021,R3
R5-21-115,28-Sep-2021,R5
R5-21-119,15-Oct-2021,R5
R5-21-128,09-Nov-2021,R5
R5-21-132,15-Nov-2021,R5
R5-21-136,02-Dec-2021,R5
R5-21-140,10-Dec-2021,R5
R5-22-008,02-Feb-2022,R5
R5-22-09,07-Feb-2022,R5
R6-21-4343,01-Jan-2021,R6
R6-21-4375,01-Oct-2021,R6
R6-21-4511,08-Oct-2021,R6
R6-21-4600,14-Oct-2021,R6
R6-4342,30-Sep-2021,R6
R6-4568,13-Oct-2021,R6
R7-21-149,01-Jan-2021,R7
R7-21-161,18-Oct-2021,R7
R9-010,27-Jan-2020,R9
R9-074,20-Aug-2021,R9
R9-089,07-Oct-2021,R9
R9-105,09-Dec-2021,R9
RADDL1-16-153,18-Jul-2016,R1
RADDL1-16-166,09-Aug-2016,R1
RADDL3-1045,23-Oct-2015,R3
RADDL3-15-172,12-Feb-2015,R3
RADDL3-16-1008,27-Oct-2016,R3
RADDL3-16-468,01-Jun-2016,R3
RADDL3-16-521,15-Jun-2016,R3
RADDL3-16-627,27-Jul-2016,R3
RADDL3-845,02-Sep-2015,R3
RADDL5-005,30-Jan-2015,R5
Z-05-102,21-Feb-2005,R13
Z-05-191,10-Apr-2005,R13
Z-05-557,03-Dec-2005,R13
Z-05-96,17-Feb-2005,R13
Z-06-150,24-Apr-2006,R4
Z-06-295,22-Jul-2006,R4
Z-06-39,26-Jan-2006,R4
Z-07-07,08-Jan-2007,R4
Z-07-351,25-Oct-2007,R13
Z-07-366,12-Nov-2007,R4
Z-07-38,02-May-2007,R4
Z-07-387,07-Dec-2007,R4
Z-07-398,19-Dec-2007,R4
Z-07-403,22-Dec-2007,R4
Z-07-407,26-Dec-2007,R13
Z-08-351,12-Dec-2008,R4
Z-08-359,25-Dec-2008,R4
Z-09-94,08-Apr-2009,R13
Z-12-012,16-Jan-2012,R4
Z-12-029,03-Feb-2012,R13
Z-12-060,25-Feb-2012,R4
Z-12-149,28-Jun-2012,R17
Z-12-208,02-Oct-2012,R13
Z-13-020,02-Feb-2013,R13
Z-13-032,14-Feb-2013,R13
Z-13-036,25-Feb-2013,R13
Z-13-065,04-Apr-2013,R4
Z-13-066,05-Apr-2013,R4
Z-13-071,10-Apr-2013,R13
Z-13-073,12-Apr-2013,R13
Z-13-081,25-Apr-2013,R4
Z-13-086,03-May-2013,R4
Z-13-089,04-May-2013,R4
Z-13-094,10-May-2013,R4
Z-13-096,12-May-2013,R13
Z-13-098,13-May-2013,R13
Z-13-134,10-Jun-2013,R13
Z-13-135,12-Jun-2013,R4
Z-13-161,20-Jul-2013,R4
Z-13-171,05-Aug-2013,R4
Z-13-184,29-Aug-2013,R4
Z-13-204,26-Sep-2013,R4
Z-13-216,25-Oct-2013,R17
Z-13-234,15-Nov-2013,R4
Z-13-259,18-Dec-2013,R4
Z-14-023,31-Jan-2014,R4
Z-14-033,07-Feb-2014,R4
Z-14-05,05-Jan-2014,R4
Z-14-058,14-Mar-2014,R4
Z-14-098,29-Apr-2014,R4
Z-14-101,04-May-2014,R13
Z-14-106,08-May-2014,R4
Z-14-126,31-May-2014,R13
Z-14-136,11-Jun-2014,R4
Z-14-142,21-Jun-2014,R4
Z-14-182,20-Aug-2014,R3
Z-14-243,13-Nov-2014,R4
Z-15-001,01-Jan-2015,R4
Z-15-009,16-Jan-2015,R13
Z-15-163,05-Sep-2015,R4
Z-16-082,24-May-2016,R4
Z-16-150,05-Sep-2016,R13
Z-16-151,05-Sep-2016,R4
Z-16-196,23-Nov-2016,R4
Z-16-209,14-Dec-2016,R4
Z-16-210,16-Dec-2016,R13
Z-16-211,19-Dec-2016,R4
Z-17-046,06-Mar-2017,R4
Z-17-174,23-Sep-2017,R13
Z-17-177,25-Sep-2017,R4
Z-17-193,13-Oct-2017,R4
Z-17-200,31-Oct-2017,R4
Z-17-217,16-Nov-2017,R4
Z-17-221,28-Nov-2017,R4
Z-17-57,29-Mar-2017,R17
Z-18-001,02-Jan-2018,R4
Z-18-114,28-May-2018,R4
Z-18-159,19-Jul-2018,R3
Z-18-224,28-Oct-2018,R13
Z-18-251,07-Dec-2018,R4
Z-19-029,26-Feb-2019,R4
Z-19-123,11-Aug-2019,R4
Z-19-136,05-Sep-2019,R4
Z-19-88,31-May-2019,R4
Z-20-01,03-Jan-2020,R4
Z-20-110,23-Oct-2020,R4
Z-20-24,14-Feb-2020,R13
Z-20-33,18-Feb-2020,R13
Z-20-51,02-Mar-2020,R4
Z-22-103,21-Nov-2022,R17
Z-22-119,28-Dec-2022,R17
Z-22-121,19-Dec-2022,R17
Z-23-01,03-Jan-2023,R4
Z-23-01Sa,03-Jan-2023,R4
Z-98-1061,05-Aug-1998,R4
Z-98-285,18-Mar-1998,R4
Z-98-286,19-Mar-1998,R4
Z-98-433,30-Apr-1998,R4
Z-98-454,04-May-1998,R13
Z-98-515,20-May-1998,R13
Z-98-616,18-Jun-1998,R3
Z-98-718,13-Jul-1998,R4
Z-98-780,25-Jul-1998,R4
Z-98-838,09-Aug-1998,R13
Z-98-860,14-Aug-1998,R4
RADDL1-16-154,21-Jul-2016,R1
