"raw_name","barangay_std","municipality_std","province_std"
"Kaypian",NA,"Bulacan-San Jose del Monte City","Bulacan"
"Francisco homes-narra",NA,"Bulacan-San Jose del Monte City","Bulacan"
"Alimanao",NA,"Cagayan-Peñablanca","Cagayan"
"Purok 2, rizal",NA,"Isabela-San Mateo","Isabela"
"Purok 1, balintocatoc",NA,"Isabela-San Mateo","Isabela"
"District 1v",NA,"Nueva Vizcaya-Bayombong","Nueva vizcaya"
"Don domingo maddela pob. (District i)",NA,"Nueva Vizcaya-Bayombong","Nueva vizcaya"
"Nabunturan",NA,"Compostela Valley-Nabunturan","Davao de Oro (Compostela Valley)"
"Talomo",NA,"Davao del Sur-Matanao","Davao del Sur"
"Toril",NA,"Davao del Sur-Matanao","Davao del Sur"
"Toril",NA,"Davao del Sur-Matanao","Davao del Sur"
"Calinan",NA,"Davao del Sur-Matanao","Davao del Sur"
"Talomo",NA,"Davao del Sur-Matanao","Davao del Sur"
"Buhangin",NA,"Davao del Sur-Matanao","Davao del Sur"
"Tugbok",NA,"Davao del Sur-Matanao","Davao del Sur"
"Buhangin",NA,"Davao del Sur-Matanao","Davao del Sur"
"Cotabato",NA,NA,"Cotabato (North Cotabato)"
"Buhangin",NA,"Davao del Sur-Matanao","Davao del Sur"
"Tugbok",NA,"Davao del Sur-Matanao","Davao del Sur"
"Buhangin",NA,"Davao del Sur-Matanao","Davao del Sur"
"Talomo",NA,"Davao del Sur-Matanao","Davao del Sur"
NA,NA,"Davao del Sur-Matanao","Davao del Sur"
"Talomo",NA,"Davao del Sur-Matanao","Davao del Sur"
"Talomo",NA,"Davao del Sur-Matanao","Davao del Sur"
"Tugbok",NA,"Davao del Sur-Matanao","Davao del Sur"
"Panabo",NA,"Davao del Norte-Carmen","Davao del Norte"
"Buhangin",NA,"Davao del Sur-Matanao","Davao del Sur"
"Talomo",NA,"Davao del Sur-Matanao","Davao del Sur"
"Tugbok",NA,"Davao del Sur-Matanao","Davao del Sur"
"Talomo",NA,"Davao del Sur-Matanao","Davao del Sur"
"Tagum",NA,"Davao del Norte-Carmen","Davao del Norte"
"Cogon",NA,"Davao del Sur-Sulop","Davao del Sur"
"Talomo",NA,"Davao del Sur-Matanao","Davao del Sur"
"Talomo",NA,"Davao del Sur-Matanao","Davao del Sur"
"Talomo",NA,"Davao del Sur-Matanao","Davao del Sur"
"San isidro",NA,"Antique-Sibalom","Antique"
NA,NA,"Iloilo-Barotac Nuevo","Iloilo"
"Kirayan",NA,"Iloilo-Miagao","Iloilo"
"Barangay 14 pob.",NA,"Iloilo-San Miguel","Iloilo"
"Egana",NA,NA,"Antique"
NA,NA,"Iloilo-Iloilo City","Iloilo"
"San antonio",NA,"Albay-Tabaco City","Albay"
"Catalotoan",NA,"Camarines Sur-Sagnay","Camarines Sur"
"Tuburan",NA,"Albay-Ligao City","Albay"
"Dinaga",NA,"Camarines Sur-Naga City","Camarines Sur"
"Igualdad",NA,"Camarines Sur-Naga City","Camarines Sur"
"San miguel",NA,"Albay-Tiwi","Albay"
"Concepcion pequeña",NA,"Camarines Sur-Naga City","Camarines Sur"
"Mahaba",NA,"Albay-Ligao City","Albay"
"Culiat",NA,"Albay-Ligao City","Albay"
"Carolina",NA,"Camarines Sur-Naga City","Camarines Sur"
"Tigaon",NA,"Camarines Sur-Camaligan","Camarines Sur"
"Bibincahan",NA,"Sorsogon-Sorsogon City","Sorsogon"
"San isidro",NA,"Sorsogon-Sorsogon City","Sorsogon"
"Bibincahan",NA,"Sorsogon-Sorsogon City","Sorsogon"
"Burabod (pob.)",NA,"Sorsogon-Sorsogon City","Sorsogon"
"Pangpang",NA,"Sorsogon-Sorsogon City","Sorsogon"
"Abuyog",NA,"Sorsogon-Sorsogon City","Sorsogon"
NA,NA,NA,"Oriental Mindoro"
NA,NA,NA,"Oriental Mindoro"
NA,NA,NA,"Oriental Mindoro"
NA,NA,NA,"Abra"
NA,NA,NA,"Abra"
NA,NA,NA,"Mountain Province"
NA,NA,NA,"Abra"
NA,NA,NA,"Abra"
NA,NA,NA,"Abra"
NA,NA,NA,"Benguet"
NA,NA,NA,"Abra"
NA,NA,NA,"Abra"
NA,NA,NA,"Apayao"
NA,NA,NA,"Abra"
NA,NA,NA,"Apayao"
NA,NA,NA,"Ifugao"
NA,NA,NA,"Abra"
NA,NA,NA,"Abra"
NA,NA,NA,"Kalinga"
NA,NA,NA,"Abra"
NA,NA,NA,"Kalinga"
NA,NA,NA,"Benguet"
NA,NA,NA,"Kalinga"
NA,NA,NA,"Benguet"
NA,NA,NA,"Kalinga"
"Calean",NA,"Sultan Kudarat-Lambayong","Sultan Kudarat"
"Poblacion(alabel)",NA,"Sarangani-Alabel","Sarangani"
"New isabela",NA,"Sultan Kudarat-Lambayong","Sultan Kudarat"
"Puan",NA,"Davao del Sur-Davao City","Davao del Sur"
"Poblacion",NA,"Compostela Valley-Compostela","Davao de Oro (Compostela Valley)"
"Apokon",NA,"Davao del Norte-Tagum City","Davao del Norte"
"Magugpo central",NA,"Davao del Norte-Tagum City","Davao del Norte"
"37-d",NA,"Davao del Sur-Davao City","Davao del Sur"
"10-a",NA,"Davao del Sur-Davao City","Davao del Sur"
"Visayan vill.",NA,"Davao del Norte-Tagum City","Davao del Norte"
"Camudmud",NA,"Davao del Norte-Asuncion","Davao del Norte"
"Tacunan",NA,"Davao del Sur-Davao City","Davao del Sur"
"Bago aplaya",NA,"Davao del Sur-Davao City","Davao del Sur"
"Tugbok proper",NA,"Davao del Sur-Davao City","Davao del Sur"
"Mankilam",NA,"Davao del Norte-Tagum City","Davao del Norte"
"19-b",NA,"Davao del Sur-Davao City","Davao del Sur"
"Padada",NA,"Davao del Sur-Padada","Davao del Sur"
"Barangay 26 (pob.)",NA,"Misamis Oriental-Gingoog City","Misamis Oriental"
"Lapasan",NA,"Misamis Oriental-Cagayan de Oro City","Misamis Oriental"
"Anakan",NA,"Misamis Oriental-Gingoog City","Misamis Oriental"
"Punong",NA,"Misamis Oriental-Gingoog City","Misamis Oriental"
"Patpat",NA,"Misamis Oriental-El Salvador City","Misamis Oriental"
"Dalwangan",NA,"Bukidnon-Malaybalay City","Bukidnon"
"Bugo",NA,"Misamis Oriental-Cagayan de Oro City","Misamis Oriental"
"Carmen",NA,"Misamis Oriental-Cagayan de Oro City","Misamis Oriental"
"Molugan",NA,"Misamis Oriental-El Salvador City","Misamis Oriental"
"-",NA,"Lanao del Norte-Lala","Lanao del Norte"
"Bagong dawis",NA,"Lanao del Norte-Lala","Lanao del Norte"
"Kauswagan",NA,"Misamis Oriental-Cagayan de Oro City","Misamis Oriental"
"-",NA,"Bukidnon-Malaybalay City","Bukidnon"
"Carmen",NA,"Misamis Oriental-Cagayan de Oro City","Misamis Oriental"
"Lumbia",NA,"Misamis Oriental-Cagayan de Oro City","Misamis Oriental"
"Abuno",NA,"Lanao del Norte-Lala","Lanao del Norte"
"-",NA,NA,"Bukidnon"
"Del carmen",NA,"Lanao del Norte-Lala","Lanao del Norte"
"Canito-an",NA,"Misamis Oriental-Cagayan de Oro City","Misamis Oriental"
"Sinaloc",NA,"Misamis Oriental-El Salvador City","Misamis Oriental"
"Lopoc (pob.)",NA,"Zamboanga del Norte-Labason","Zamboanga del Norte"
"Canelar",NA,"Zamboanga del Sur-Zamboanga City","Zamboanga del Sur"
NA,NA,"Bulacan-San Miguel","Bulacan"
NA,NA,"Rizal-Angono","Rizal"
NA,NA,"Metropolitan Manila-Pasay City","Metropolitan Manila"
NA,NA,"Metropolitan Manila-Quezon City","Metropolitan Manila"
NA,NA,"Metropolitan Manila-Kalookan City","Metropolitan Manila"
"Calarian",NA,"Zamboanga del Sur-Zamboanga City","Zamboanga del Sur"
"Mercedes",NA,"Zamboanga del Sur-Zamboanga City","Zamboanga del Sur"
"Dicayas",NA,"Zamboanga del Norte-Dipolog City","Zamboanga del Norte"
"Carmen",NA,"Eastern Samar-Balangiga","Samar (Western Samar)"
"Maria clara",NA,"Southern Leyte-Liloan","Southern leyte"
"Caulangohan (marevil)",NA,"Biliran-Caibiran","Biliran"
NA,NA,NA,"Cebu"
NA,NA,NA,"Cebu"
NA,NA,NA,"Cebu"
NA,NA,NA,"Cebu"
NA,NA,NA,"Cebu"
NA,NA,NA,"Cebu"
"Guiwanon",NA,"Cebu-Alcoy","Cebu"
"Pardo",NA,"Cebu-Cebu City","Cebu"
"San nicolas",NA,"Cebu-Cebu City","Cebu"
"Mabini",NA,"Cebu-Cebu City","Cebu"
"Mabini",NA,"Cebu-Cebu City","Cebu"
"Busay",NA,"Cebu-Cebu City","Cebu"
"Guadalupe",NA,"Cebu-Cebu City","Cebu"
"Mabolo",NA,"Cebu-Cebu City","Cebu"
"Apas",NA,"Cebu-Cebu City","Cebu"
"Looc",NA,"Cebu-Mandaue City","Cebu"
"Pit-os",NA,"Cebu-Cebu City","Cebu"
"Ibo",NA,"Cebu-Lapu-Lapu City","Cebu"
"Mabolo",NA,"Cebu-Cebu City","Cebu"
"Tisa",NA,"Cebu-Cebu City","Cebu"
"San rafael mandurriao",NA,"Iloilo-Iloilo City","Iloilo"
"Zone 1 calumpang molo",NA,"Iloilo-Iloilo City","Iloilo"
"Thtp pob",NA,"Iloilo-Maasin","Iloilo"
"Mag bato",NA,"Iloilo-Lambunao","Iloilo"
"San pedro molo",NA,"Iloilo-Iloilo City","Iloilo"
NA,NA,"Iloilo-Oton","Iloilo"
"Escailla sub. Mandurriao",NA,"Iloilo-Iloilo City","Iloilo"
"Mina west pob.",NA,"Iloilo-Mina","Iloilo"
"Orong",NA,"Negros Occidental-Kabankalan City","Negros occidental"
"Zone 1 pob.",NA,"Iloilo-Tubungan","Iloilo"
NA,NA,NA,"Oriental Mindoro"
NA,NA,NA,"Oriental Mindoro"
NA,NA,NA,"Oriental Mindoro"
NA,NA,NA,"Occidental Mindoro"
NA,NA,NA,"Oriental Mindoro"
NA,NA,NA,"Oriental Mindoro"
NA,NA,NA,"Oriental Mindoro"
NA,NA,NA,"Oriental Mindoro"
NA,NA,NA,"Oriental Mindoro"
NA,NA,NA,"Oriental Mindoro"
NA,NA,NA,"Oriental Mindoro"
NA,NA,NA,"Oriental Mindoro"
NA,NA,NA,"Quezon"
NA,NA,NA,"Quezon"
NA,NA,NA,"Cavite"
NA,NA,NA,"Laguna"
NA,NA,NA,"Quezon"
NA,NA,NA,"Quezon"
NA,NA,NA,"Quezon"
NA,NA,NA,"Cavite"
NA,NA,NA,"Batangas"
NA,NA,NA,"Quezon"
NA,NA,NA,"Quezon"
NA,NA,NA,"Quezon"
NA,NA,NA,"Batangas"
NA,NA,NA,"Rizal"
NA,NA,NA,"Rizal"
NA,NA,NA,"Rizal"
NA,NA,NA,"Rizal"
NA,NA,NA,"Rizal"
NA,NA,NA,"Rizal"
NA,NA,NA,"Rizal"
NA,NA,NA,"Rizal"
NA,NA,NA,"Quezon"
NA,NA,NA,"Batangas"
NA,NA,NA,"Rizal"
NA,NA,NA,"Rizal"
NA,NA,NA,"Rizal"
NA,NA,NA,"Rizal"
NA,NA,NA,"Rizal"
NA,NA,NA,"Quezon"
NA,NA,NA,"Quezon"
NA,NA,NA,"Laguna"
NA,NA,NA,"Laguna"
NA,NA,NA,"Batangas"
NA,NA,NA,"Quezon"
NA,NA,NA,"Batangas"
NA,NA,NA,"Batangas"
"Kaypian",NA,"Bulacan-San Jose del Monte City","Bulacan"
NA,NA,NA,"Pangasinan"
"Barangay ii (poblacion)",NA,"Cagayan-Enrile","Cagayan"
"Coliling",NA,"Pangasinan-San Carlos City","Pangasinan"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Metropolitan Manila"
NA,NA,NA,"Abra"
NA,NA,NA,"Mountain Province"
"P-2, magawad,",NA,"Agusan del Sur-Loreto","Agusan del Sur"
"Brgy.3",NA,"Agusan del Sur-San Francisco","Agusan del Sur"
"P-5, brgy.2",NA,"Agusan del Norte-Tubay","Agusan del Norte"
"P2, salvacion",NA,"Agusan del Sur-Prosperidad","Agusan del Sur"
"P-2, holy redeemer",NA,"Agusan del Norte-Tubay","Agusan del Norte"
"P-11, florida",NA,"Agusan del Norte-Tubay","Agusan del Norte"
"P-7, matabao",NA,"Agusan del Norte-Tubay","Agusan del Norte"
"P-5a, antongalon",NA,"Agusan del Norte-Tubay","Agusan del Norte"
"P-7, villa kanangga",NA,"Agusan del Norte-Tubay","Agusan del Norte"
"San jose(barrio 7)",NA,"South Cotabato-Banga","South Cotabato"
"Santo nino(bo.2)",NA,"South Cotabato-Koronadal City","South Cotabato"
"Labu-o",NA,"North Cotabato-President Roxas","Cotabato (North Cotabato)"
"Fatima",NA,"South Cotabato-General Santos City","South Cotabato"
"Barangay poblacion 8",NA,"North Cotabato-Midsayap","Cotabato (North Cotabato)"
"New passi",NA,"Sultan Kudarat-Lambayong","Sultan Kudarat"
"Poblacion",NA,"North Cotabato-Kabacan","Cotabato (North Cotabato)"
"Kalawag iii(poblacion)",NA,"South Cotabato-Banga","South Cotabato"
"Zone ii(poblacion)",NA,"South Cotabato-Koronadal City","South Cotabato"
"Sibisib",NA,"North Cotabato-Tulunan","Cotabato (North Cotabato)"
"San mateo",NA,"North Cotabato-Aleosan","Cotabato (North Cotabato)"
"San isidro",NA,"South Cotabato-Santo Nino","Cotabato (South Cotabato)"
"Apopong",NA,"South Cotabato-General Santos City","South Cotabato"
"Kalawag iii(poblacion)",NA,"Sultan Kudarat-Isulan","Sultan Kudarat"
"Poblacion",NA,"North Cotabato-President Roxas","Cotabato (North Cotabato)"
"Fatima",NA,"South Cotabato-General Santos City","South Cotabato"
"-",NA,"Sultan Kudarat-Isulan","Sultan Kudarat"
"Bocolod",NA,"Albay-Libon","Albay"
"Paulog",NA,"Albay-Ligao City","Albay"
"Cabagnan",NA,"Albay-Camalig","Albay"
"",NA,"Albay-Santo Domingo","Albay"
"Sabang",NA,"Batangas-Lipa City","Batangas"
"Buenavista",NA,"Cavite-General Trias","Cavite"
"Guiang-Guiang",NA,"Quezon-Lucban","Quezon"
"-",NA,"Batangas-Batangas City","Batangas"
"Baguio",NA,"Quezon-Tayabas City","Quezon"
"Sapul",NA,"Oriental Mindoro-Calapan City","Oriental Mindoro"
"Sto Nino",NA,"Oriental Mindoro-Puerto Galera","Oriental Mindoro"
"Camilmil",NA,"Oriental Mindoro-Calapan City","Oriental Mindoro"
"Mangangan",NA,"Oriental Mindoro-Baco","Oriental Mindoro"
"Teresita",NA,"Oriental Mindoro-Mansalay","Oriental Mindoro"
"Orcenuma",NA,"Oriental Mindoro-Bongabong","Oriental Mindoro"
"Mangangan",NA,"Oriental Mindoro-Baco","Oriental Mindoro"
"Jun Carlo",NA,"Romblon-San Andres","Romblon"
"Mangangan",NA,"Oriental Mindoro-Baco","Oriental Mindoro"
"",NA,NA,""
"",NA,NA,""
"",NA,NA,""
"",NA,NA,""
"",NA,"Bukidnon-Malaybalay City","Bukidnon"
"Balulang",NA,"Misamis Oriental-Cagayan de Oro City","Misamis Oriental"
"Bulua",NA,"Misamis Oriental-Cagayan de Oro City","Misamis Oriental"
"-",NA,"Misamis Oriental-Manticao","Misamis Oriental"
"Agusan",NA,"Misamis Oriental-Cagayan de Oro City","Misamis Oriental"
"Barangay 1",NA,"Misamis Oriental-Gingoog City","Misamis Oriental"
"Agay-Ayan",NA,"Misamis Oriental-Gingoog City","Misamis Oriental"
"",NA,"North Cotabato-Midsayap","North Cotabato"
"",NA,"Davao del Norte-Carmen","Davao del Norte"
"",NA,NA,""
"Talomo",NA,"Davao del Sur-Davao City","Davao del Sur"
"",NA,"Isabela-Santa Maria","Isabela"
"",NA,"Isabela-Cauayan City","Isabela"
"",NA,"Nueva Vizcaya-Bayombong","Nueva Vizcaya"
"",NA,NA,""
"Sangitan",NA,"Nueva Ecija-Cabanatuan City","Nueva Ecija"
"Pob. III",NA,"Camarines Norte-Vinzons","Camarines Norte"
"Cararayan",NA,"Camarines Sur-Naga City","Camarines Sur"
"-",NA,"Albay-Libon","Albay"
"Calang Calawan",NA,"Camarines Norte-Vinzons","Camarines Norte"
"Sto. Cristo",NA,"Albay-Bacacay","Albay"
"Bauud",NA,"Albay-Malilipot","Albay"
"",NA,NA,""
"Cabanban",NA,"Iloilo-Oton","Iloilo"
"",NA,NA,""
"Pusok",NA,"Cebu-Lapu-Lapu City","Cebu"
"San Roque",NA,"Zamboanga del Sur-Zamboanga City","Zamboanga del Sur"
"West",NA,"Pangasinan-Umingan","Pangasinan"
"St. Francis",NA,"Bataan-Limay","Bataan"
"Cvo",NA,"Nueva Ecija-San Jose City","Nueva Ecija"
"Pamaldan",NA,"Nueva Ecija-Cabanatuan City","Nueva Ecija"
"Sta Teresita",NA,"Pampanga-Angeles City","Pampanga"
"Bulihan",NA,"Bulacan-Malolos City","Bulacan"
"Ligas",NA,"Bulacan-Malolos City","Bulacan"
"San Nicolas",NA,"Camarines Sur-Iriga City","Camarines Sur"
"Lower Bicutan",NA,"Metropolitan Manila-Taguig","Metropolitan Manila"
"",NA,"Metropolitan Manila-Muntinlupa","Metropolitan Manila"
"Lower Bicutan",NA,"Metropolitan Manila-Taguig","Metropolitan Manila"
"Rizal",NA,"Metropolitan Manila-Makati City","Metropolitan Manila"
"Maywood Sucat",NA,"Metropolitan Manila-Parañaque","Metropolitan Manila"
"Ambulong",NA,"Batangas-Balayan","Batangas"
"Molino 6",NA,"Cavite-General Trias","Cavite"
"Tierra Nevada",NA,"Cavite-Amadeo","Cavite"
"Dagatan",NA,"Cavite-General Trias","Cavite"
"-",NA,"Metropolitan Manila-Taguig","Metropolitan Manila"
"Wawa",NA,"Batangas-Lipa City","Batangas"
"Timbol",NA,"Cavite-Bacoor","Cavite"
"Bagong Liing",NA,"Quezon-San Antonio","Quezon"
"Paciano Rizal",NA,"Laguna-Calamba City","Laguna"
"Sampagutia Exit",NA,"Quezon-Lucban","Quezon"
"Southland Talon 1",NA,"Metropolitan Manila-Las Piñas","Metropolitan Manila"
"-",NA,"Cavite-General Mariano Alvarez","Cavite"
"San Lucas II",NA,"Laguna-San Pablo City","Laguna"
"Brgy 191",NA,"Metropolitan Manila-Pasay City","Metropolitan Manila"
"Sulpoc",NA,"Batangas-Balayan","Batangas"
"Sss Village",NA,"Metropolitan Manila-Marikina","Metropolitan Manila"
"Bgy. Santo Anghel",NA,"Laguna-San Pablo City","Laguna"
"F.De Castro",NA,"Cavite-General Mariano Alvarez","Cavite"
"De Paro St.",NA,"Metropolitan Manila-Kalookan City","Metropolitan Manila"
"Sucat",NA,"Metropolitan Manila-Muntinlupa","Metropolitan Manila"
"Lower Bicutan",NA,"Metropolitan Manila-Taguig","Metropolitan Manila"
"Upper Bicutan",NA,"Metropolitan Manila-Taguig","Metropolitan Manila"
"-",NA,"Laguna-Cavinti","Laguna"
"Dumuclay North",NA,"Batangas-Batangas City","Batangas"
"Bayan Luma",NA,"Cavite-Imus","Cavite"
"Golden Acres",NA,"Metropolitan Manila-Las Piñas","Metropolitan Manila"
"Bf Homes",NA,"Metropolitan Manila-Parañaque","Metropolitan Manila"
"Sto. Angel Norte",NA,"Laguna-Santa Cruz","Laguna"
"Palico II",NA,"Cavite-Imus","Cavite"
"Bf International",NA,"Metropolitan Manila-Las Piñas","Metropolitan Manila"
"-",NA,"Metropolitan Manila-San Juan","Metropolitan Manila"
"Sto. Nino Vill.,Tunasan",NA,"Metropolitan Manila-Muntinlupa","Metropolitan Manila"
"Pansol",NA,"Laguna-Calamba City","Laguna"
"Pinamocan Silangan",NA,"Batangas-Batangas City","Batangas"
"Tabangaw",NA,"Batangas-Batangas City","Batangas"
"Bgy. 2",NA,"Occidental Mindoro-Mamburao","Occidental Mindoro"
"Mayapa",NA,"Laguna-Calamba City","Laguna"
"Pound",NA,"Cavite-Cavite City","Cavite"
"Poblacion I",NA,"Laguna-Santa Cruz","Laguna"
"Bagumbayan, Zone 4",NA,"Quezon-Atimonan","Quezon"
"Pasong Camachile",NA,"Cavite-General Trias","Cavite"
"-",NA,"Rizal-Taytay","Rizal"
"Upper Bicutan",NA,"Metropolitan Manila-Taguig","Metropolitan Manila"
"Sta. Cruz",NA,"Cavite-Cavite City","Cavite"
"Talon 5",NA,"Metropolitan Manila-Las Piñas","Metropolitan Manila"
"Parklane,San Francisco",NA,"Cavite-General Trias","Cavite"
"Mercedes Homes 3",NA,"Laguna-Biñan","Laguna"
"San Francisco",NA,"Bulacan-Pulilan","Bulacan"
"Bubukal St.",NA,"Laguna-Santa Cruz","Laguna"
"South Triangle",NA,"Metropolitan Manila-Quezon City","Metropolitan Manila"
"Panapaan 8",NA,"Cavite-Bacoor","Cavite"
"Caingin",NA,"Laguna-Santa Rosa City","Laguna"
"Putatan",NA,"Metropolitan Manila-Muntinlupa","Metropolitan Manila"
"-",NA,"Cavite-Carmona","Cavite"
"Sampaloc",NA,"Cavite-Dasmariñas","Cavite"
"Almanza 2",NA,"Metropolitan Manila-Las Piñas","Metropolitan Manila"
"Las Villas De Manila",NA,"Laguna-Biñan","Laguna"
"Bgy. San Fernando",NA,"Batangas-Santo Tomas","Batangas"
"Poblacion",NA,"Metropolitan Manila-Muntinlupa","Metropolitan Manila"
"Bgy. Navarro",NA,"Cavite-General Trias","Cavite"
"Mamatid",NA,"Laguna-Cabuyao","Laguna"
"Paliko 4",NA,"Cavite-Imus","Cavite"
"Bgy. Nawasa",NA,"Cavite-Noveleta","Cavite"
"Magbag",NA,"Occidental Mindoro-San Jose","Occidental Mindoro"
"Andrea Vill. I, Panapaan Vi",NA,"Cavite-Bacoor","Cavite"
"Banay-Banay 1St",NA,"Batangas-San Jose","Batangas"
"Sta. Cruz",NA,"Bulacan-Guiguinto","Bulacan"
"Camarin Rd.",NA,"Metropolitan Manila-Kalookan City","Metropolitan Manila"
"Rpa Enterprises, Don Jose",NA,"Laguna-Santa Rosa City","Laguna"
"Antipolo Del Sur",NA,"Batangas-Lipa City","Batangas"
"Anabu 2F",NA,"Cavite-Imus","Cavite"
"Canlubang",NA,"Laguna-Calamba City","Laguna"
"Meadowood Subd.,Panapaan 8",NA,"Cavite-Bacoor","Cavite"
"Pacita Complex 1, San Vicente",NA,"Laguna-San Pedro","Laguna"
"Bayanan",NA,"Metropolitan Manila-Muntinlupa","Metropolitan Manila"
"F.B. Harizon Edsa",NA,"Metropolitan Manila-Pasay City","Metropolitan Manila"
"Herald Village Subd.",NA,"Rizal-Angono","Rizal"
"Balibago",NA,"Laguna-Santa Rosa City","Laguna"
"Balibago",NA,"Laguna-Santa Rosa City","Laguna"
"Tejero",NA,"Cavite-General Trias","Cavite"
"Sampaloc   Homes",NA,"Cavite-Dasmariñas","Cavite"
"Bagongbayan",NA,"Laguna-Santa Cruz","Laguna"
"-",NA,"Laguna-San Pablo City","Laguna"
"Tayuman",NA,"Quezon-Mulanay","Quezon"
"-",NA,"Laguna-Nagcarlan","Laguna"
"Palamitan",NA,"Cavite-Kawit","Cavite"
"Betterliving Subd",NA,"Metropolitan Manila-Parañaque","Metropolitan Manila"
"Cupang",NA,"Metropolitan Manila-Muntinlupa","Metropolitan Manila"
"-",NA,"Bulacan-San Miguel","Bulacan"
"Mayapa",NA,"Laguna-Calamba City","Laguna"
"Macantod",NA,"Laguna-Siniloan","Laguna"
"Maraykid",NA,"Batangas-San Juan","Batangas"
"Tejero",NA,"Cavite-General Trias","Cavite"
"Upper Bicutan",NA,"Metropolitan Manila-Taguig","Metropolitan Manila"
"-",NA,"Quezon-San Francisco","Quezon"
