sample_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_data_access_group,sample_labid,sample_sequenceid,sample_batchid,apha_sub,apha_rv,sample_tissuetype,sample_buffer,country,hmpcr_n405,rtassay,rtqpcr,lateral_flow_test,fat,drit,diagnostic_result,test_centre,diag_notes,diagnostic_complete,ngs_runid,duplicate_id,ngs_rundate,ngs_location,ngs_provider,ngs_submission,ngs_platform,primer_scheme,nanopore_platform,ngs_flowcell,illumina_platform,ngs_prep,ngs_barcode,ngs_library,ngs_analysis_type,ngs_merged_from,total_reads,mapped_reads,mean_depth,stdev_depth,median_depth,minimum_reads,maximum_reads,genomecov_depthx1,genomecov_depthx5,genomecov_depthx20,genomecov_depthx100,genbank_accession,consensus_coverage,consensus_fasta,ngs_notes,sequencing_complete
Z0083216,,,east_africa,9,9,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083218,,,east_africa,11,11,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083219,,,east_africa,20,20,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083220,,,east_africa,7,7,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083221,,,east_africa,1,1,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083222,,,east_africa,3,3,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083223,,,east_africa,19,19,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083224,,,east_africa,5,5,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083225,,,east_africa,16,16,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083226,,,east_africa,8,8,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083227,,,east_africa,4,4,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083228,,,east_africa,10,10,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083229,,,east_africa,3,3,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083231,,,east_africa,2,2,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083233,,,east_africa,17,17,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083234,,,east_africa,38,38,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083235,,,east_africa,36,36,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083236,,,east_africa,26,26,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083237,,,east_africa,25,25,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083239,,,east_africa,12,12,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083240,,,east_africa,10,10,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083243,,,east_africa,15,15,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00832441,,,east_africa,40,40,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00832442,,,east_africa,39,39,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00832443,,,east_africa,41,41,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083245,,,east_africa,29,29,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083249,,,east_africa,40,40,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083252,,,east_africa,8,8,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083253,,,east_africa,9,9,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083261,,,east_africa,35,35,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083262,,,east_africa,31,31,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083263,,,east_africa,41,41,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0083265,,,east_africa,43,43,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861806,,,east_africa,24,24,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861807,,,east_africa,10,10,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861808,,,east_africa,13,13,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861809,,,east_africa,26,26,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861810,,,east_africa,25,25,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861811,,,east_africa,11,11,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861814,,,east_africa,8,8,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861815,,,east_africa,4,4,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861816,,,east_africa,22,22,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861820,,,east_africa,12,12,,,,1,None,Kenya,,,,0,,,Positive,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861823,,,east_africa,19,19,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861824,,,east_africa,6,6,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861826,,,east_africa,3,3,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861827,,,east_africa,23,23,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861829,,,east_africa,21,21,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861831,,,east_africa,27,27,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861832,,,east_africa,5,5,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861834,,,east_africa,20,20,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861835,,,east_africa,7,7,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861836,,,east_africa,28,28,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861837,,,east_africa,7,7,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861838,,,east_africa,6,6,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861839,,,east_africa,1,1,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861840,,,east_africa,5,5,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861841,,,east_africa,4,4,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861842,,,east_africa,2,2,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861843,,,east_africa,3,3,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861844,,,east_africa,13,13,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861845,,,east_africa,14,14,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861846,,,east_africa,12,12,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861847,,,east_africa,11,11,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861850,,,east_africa,33,33,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861851,,,east_africa,27,27,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861852,,,east_africa,31,31,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861853,,,east_africa,32,32,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861854,,,east_africa,30,30,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861855,,,east_africa,28,28,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861856,,,east_africa,14,14,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861857,,,east_africa,18,18,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861858,,,east_africa,16,16,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861859,,,east_africa,17,17,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861860,,,east_africa,15,15,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861861,,,east_africa,24,24,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861862,,,east_africa,19,19,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861863,,,east_africa,23,23,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861864,,,east_africa,22,22,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861865,,,east_africa,13,13,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861867,,,east_africa,1,1,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861869,,,east_africa,11,11,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861870,,,east_africa,14,14,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861871,,,east_africa,6,6,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861872,,,east_africa,13,13,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861874,,,east_africa,5,5,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861875,,,east_africa,18,18,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00861877,,,east_africa,12,12,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00863041,,,east_africa,1,1,,,,1,None,Kenya,,,,0,,,Positive,UNITID,DRIT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00865560,,,east_africa,17,17,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00865561,,,east_africa,9,9,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00865562,,,east_africa,1,1,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00865563,,,east_africa,14,14,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00865564,,,east_africa,15,15,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00865566,,,east_africa,2,2,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00865570,,,east_africa,18,18,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z00865571,,,east_africa,16,16,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z081388851,,,east_africa,4,4,,,,1,None,Kenya,,,,0,,,Positive,UNITID,DRIT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z08151242,,,east_africa,7,7,,,,1,None,Kenya,,,,0,,,Positive,UNITID,DRIT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z08151377,,,east_africa,8,8,,,,1,None,Kenya,,,,0,,,Positive,UNITID,DRIT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0826253,,,east_africa,13,13,,,,1,None,Kenya,,,,0,,,Positive,UNITID,DRIT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0826361,,,east_africa,11,11,,,,1,None,Kenya,,,,0,,,Positive,UNITID,DRIT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0826362,,,east_africa,5,5,,,,1,None,Kenya,,,,0,,,Positive,UNITID,DRIT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0826363,,,east_africa,12,12,,,,1,None,Kenya,,,,0,,,Positive,UNITID,DRIT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0826447,,,east_africa,14,14,,,,1,None,Kenya,,,,0,,,Positive,UNITID,DRIT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0826475,,,east_africa,10,10,,,,1,None,Kenya,,,,0,,,Positive,UNITID,DRIT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0826751,,,east_africa,21,21,,,,1,None,Kenya,,,,0,,,Positive,UNITID,DRIT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0826752,,,east_africa,16,16,,,,1,None,Kenya,,,,0,,,Positive,UNITID,DRIT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0828879,,,east_africa,19,19,,,,1,None,Kenya,,,,0,,,Positive,UNITID,DRIT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0829313,,,east_africa,29,29,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0829323,,,east_africa,36,36,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0829325,,,east_africa,38,38,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0829333,,,east_africa,34,34,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0829334,,,east_africa,33,33,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0829335,,,east_africa,30,30,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0829337,,,east_africa,39,39,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0829340,,,east_africa,32,32,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0829341,,,east_africa,42,42,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0829343,,,east_africa,37,37,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z0829344,,,east_africa,44,44,,,,1,None,Kenya,,,,0,,,,UNITID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4A-22-40,,,philippines,,,,,,,Unknown,Philippines,,,2,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4A-22-98,,,philippines,,,,,,,Unknown,Philippines,,,2,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4A-22-104,,,philippines,,,,,,,Unknown,Philippines,,,2,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4A-22-171,,,philippines,,,,,,,Unknown,Philippines,,,2,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4A-22-203,,,philippines,,,,,,,Unknown,Philippines,,,2,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-21-29,,,philippines,,,,,,,Unknown,Philippines,,,2,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-21-35,,,philippines,,,,,,,Unknown,Philippines,,,2,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-21-126,,,philippines,,,,,,,Unknown,Philippines,,,2,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-21-310,,,philippines,,,,,,,Unknown,Philippines,,,2,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-21-412,,,philippines,,,,,,,Unknown,Philippines,,,2,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-21-421,,,philippines,,,,,,,Unknown,Philippines,,,2,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-21-423,,,philippines,,,,,,,Unknown,Philippines,,,2,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-21-528,,,philippines,,,,,,,Unknown,Philippines,,,2,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-13,,,philippines,,,,,,,Unknown,Philippines,,,2,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-15,,,philippines,,,,,,,Unknown,Philippines,,,2,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-16,,,philippines,,,,,,,Unknown,Philippines,,,2,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-17,,,philippines,,,,,,,Unknown,Philippines,,,2,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-20,,,philippines,,,,,,,Unknown,Philippines,,,2,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-21,,,philippines,,,,,,,Unknown,Philippines,,,2,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-28,,,philippines,,,,,,,Unknown,Philippines,,,2,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-30,,,philippines,,,,,,,Unknown,Philippines,,,2,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-31,,,philippines,,,,,,,Unknown,Philippines,,,2,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4B-22-35,,,philippines,,,,,,,Unknown,Philippines,,,2,,,,,RITM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
