accession	major_clade	minor_clade
OQ326773	Asian	SEA4
OQ326772	Asian	SEA4
OQ326771	Asian	SEA4
OQ326770	Asian	SEA4
OQ326769	Asian	SEA4
OQ326768	Asian	SEA4
OQ326767	Asian	SEA4
OQ326766	Asian	SEA4
OQ326765	Asian	SEA4
OQ326764	Asian	SEA4
OQ326763	Asian	SEA4
OQ326762	Asian	SEA4
OQ326761	Asian	SEA4
OQ326760	Asian	SEA4
OQ326759	Asian	SEA4
OQ326758	Asian	SEA4
OQ326757	Asian	SEA4
OQ326756	Asian	SEA4
OQ326755	Asian	SEA4
OR971544	Asian	SEA4
OR971543	Asian	SEA4
OR971542	Asian	SEA4
OR971541	Asian	SEA4
OR971540	Asian	SEA4
OR971539	Asian	SEA4
OR971538	Asian	SEA4
OR971537	Asian	SEA4
OR971536	Asian	SEA4
OR971535	Asian	SEA4
OR971534	Asian	SEA4
OR971533	Asian	SEA4
OR971532	Asian	SEA4
OR971531	Asian	SEA4
OR971530	Asian	SEA4
OR971529	Asian	SEA4
OR971528	Asian	SEA4
OR971527	Asian	SEA4
OR971526	Asian	SEA4
OR971525	Asian	SEA4
OR971524	Asian	SEA4
OR971523	Asian	SEA4
OR971522	Asian	SEA4
OR971521	Asian	SEA4
OR971520	Asian	SEA4
OR971519	Asian	SEA4
OR971518	Asian	SEA4
OR971517	Asian	SEA4
OR971516	Asian	SEA4
OR971515	Asian	SEA4
OR971514	Asian	SEA4
OR971513	Asian	SEA4
OR971512	Asian	SEA4
OR971511	Asian	SEA4
OR971510	Asian	SEA4
OR971509	Asian	SEA4
OR971508	Asian	SEA4
OR971507	Asian	SEA4
OR971506	Asian	SEA4
OR971505	Asian	SEA4
OR971504	Asian	SEA4
OR971503	Asian	SEA4
OR971502	Asian	SEA4
OR971501	Asian	SEA4
OR971500	Asian	SEA4
OR971499	Asian	SEA4
OR971498	Asian	SEA4
OR971497	Asian	SEA4
OR971496	Asian	SEA4
OR971495	Asian	SEA4
OR971344	Asian	SEA4
OR971343	Asian	SEA4
OR971342	Asian	SEA4
OR971341	Asian	SEA4
OR971340	Asian	SEA4
OR971339	Asian	SEA4
OR971338	Asian	SEA4
OR971337	Asian	SEA4
OR971336	Asian	SEA4
OR971335	Asian	SEA4
OR971334	Asian	SEA4
OR971333	Asian	SEA4
OR971332	Asian	SEA4
OR971331	Asian	SEA4
OR971330	Asian	SEA4
OR971329	Asian	SEA4
OR971328	Asian	SEA4
OR971327	Asian	SEA4
OR971326	Asian	SEA4
OR971325	Asian	SEA4
OR971324	Asian	SEA4
OR971323	Asian	SEA4
OR971644	Asian	SEA4
OR971643	Asian	SEA4
OR971642	Asian	SEA4
OR971641	Asian	SEA4
OR971640	Asian	SEA4
OR971639	Asian	SEA4
OR971638	Asian	SEA4
OR971637	Asian	SEA4
OR971636	Asian	SEA4
OR971635	Asian	SEA4
OR971634	Asian	SEA4
OR971633	Asian	SEA4
OR971632	Asian	SEA4
OR971631	Asian	SEA4
OR971630	Asian	SEA4
OR971629	Asian	SEA4
OR971628	Asian	SEA4
OR971627	Asian	SEA4
OR971626	Asian	SEA4
OR971625	Asian	SEA4
OR971624	Asian	SEA4
OR971623	Asian	SEA4
OR971622	Asian	SEA4
OR971621	Asian	SEA4
OR971620	Asian	SEA4
OR971619	Asian	SEA4
OR971618	Asian	SEA4
OR971617	Asian	SEA4
OR971616	Asian	SEA4
OR971615	Asian	SEA4
OR971614	Asian	SEA4
OR971613	Asian	SEA4
OR971612	Asian	SEA4
OR971611	Asian	SEA4
OR971610	Asian	SEA4
OR971609	Asian	SEA4
OR971608	Asian	SEA4
OR971607	Asian	SEA4
OR971606	Asian	SEA4
OR971605	Asian	SEA4
OR971604	Asian	SEA4
OR971603	Asian	SEA4
OR971602	Asian	SEA4
OR971601	Asian	SEA4
OR971600	Asian	SEA4
OR971599	Asian	SEA4
OR971598	Asian	SEA4
OR971597	Asian	SEA4
OR971596	Asian	SEA4
OR971595	Asian	SEA4
MN857171	Asian	SEA4
MN857170	Asian	SEA4
MN857169	Asian	SEA4
MN857168	Asian	SEA4
MN857167	Asian	SEA4
OR971594	Asian	SEA4
OR971593	Asian	SEA4
OR971592	Asian	SEA4
OR971591	Asian	SEA4
OR971590	Asian	SEA4
OR971589	Asian	SEA4
OR971588	Asian	SEA4
OR971587	Asian	SEA4
OR971586	Asian	SEA4
OR971585	Asian	SEA4
OR971584	Asian	SEA4
OR971583	Asian	SEA4
OR971582	Asian	SEA4
OR971581	Asian	SEA4
OR971580	Asian	SEA4
OR971579	Asian	SEA4
OR971578	Asian	SEA4
OR971577	Asian	SEA4
OR971576	Asian	SEA4
OR971575	Asian	SEA4
OR971574	Asian	SEA4
OR971573	Asian	SEA4
OR971572	Asian	SEA4
OR971571	Asian	SEA4
OR971570	Asian	SEA4
OR971569	Asian	SEA4
OR971568	Asian	SEA4
OR971567	Asian	SEA4
OR971566	Asian	SEA4
OR971565	Asian	SEA4
OR971564	Asian	SEA4
OR971563	Asian	SEA4
OR971562	Asian	SEA4
OR971561	Asian	SEA4
OR971560	Asian	SEA4
OR971559	Asian	SEA4
OR971558	Asian	SEA4
OR971557	Asian	SEA4
OR971556	Asian	SEA4
OR971555	Asian	SEA4
OR971554	Asian	SEA4
OR971553	Asian	SEA4
OR971552	Asian	SEA4
OR971551	Asian	SEA4
OR971550	Asian	SEA4
OR971549	Asian	SEA4
OR971548	Asian	SEA4
OR971547	Asian	SEA4
OR971546	Asian	SEA4
OR971545	Asian	SEA4
OR971494	Asian	SEA4
OR971493	Asian	SEA4
OR971492	Asian	SEA4
OR971491	Asian	SEA4
OR971490	Asian	SEA4
OR971489	Asian	SEA4
OR971488	Asian	SEA4
OR971487	Asian	SEA4
OR971486	Asian	SEA4
OR971485	Asian	SEA4
OR971484	Asian	SEA4
OR971483	Asian	SEA4
OR971482	Asian	SEA4
OR971481	Asian	SEA4
OR971480	Asian	SEA4
OR971479	Asian	SEA4
OR971478	Asian	SEA4
OR971477	Asian	SEA4
OR971476	Asian	SEA4
OR971475	Asian	SEA4
OR971474	Asian	SEA4
OR971473	Asian	SEA4
OR971472	Asian	SEA4
OR971471	Asian	SEA4
OR971470	Asian	SEA4
OR971469	Asian	SEA4
OR971468	Asian	SEA4
OR971467	Asian	SEA4
OR971466	Asian	SEA4
OR971465	Asian	SEA4
OR971464	Asian	SEA4
OR971463	Asian	SEA4
OR971462	Asian	SEA4
OR971461	Asian	SEA4
OR971460	Asian	SEA4
OR971459	Asian	SEA4
OR971458	Asian	SEA4
OR971457	Asian	SEA4
OR971456	Asian	SEA4
OR971455	Asian	SEA4
OR971454	Asian	SEA4
OR971453	Asian	SEA4
OR971452	Asian	SEA4
OR971451	Asian	SEA4
OR971450	Asian	SEA4
OR971449	Asian	SEA4
OR971448	Asian	SEA4
OR971447	Asian	SEA4
OR971446	Asian	SEA4
OR971445	Asian	SEA4
OR971394	Asian	SEA4
OR971393	Asian	SEA4
OR971392	Asian	SEA4
OR971391	Asian	SEA4
OR971390	Asian	SEA4
OR971389	Asian	SEA4
OR971388	Asian	SEA4
OR971387	Asian	SEA4
OR971386	Asian	SEA4
OR971385	Asian	SEA4
OR971384	Asian	SEA4
OR971383	Asian	SEA4
OR971382	Asian	SEA4
OR971381	Asian	SEA4
OR971380	Asian	SEA4
OR971379	Asian	SEA4
OR971378	Asian	SEA4
OR971377	Asian	SEA4
OR971376	Asian	SEA4
OR971375	Asian	SEA4
OR971374	Asian	SEA4
OR971373	Asian	SEA4
OR971372	Asian	SEA4
OR971371	Asian	SEA4
OR971370	Asian	SEA4
OR971369	Asian	SEA4
OR971368	Asian	SEA4
OR971367	Asian	SEA4
OR971366	Asian	SEA4
OR971365	Asian	SEA4
OR971364	Asian	SEA4
OR971363	Asian	SEA4
OR971362	Asian	SEA4
OR971361	Asian	SEA4
OR971360	Asian	SEA4
OR971359	Asian	SEA4
OR971358	Asian	SEA4
OR971357	Asian	SEA4
OR971356	Asian	SEA4
OR971355	Asian	SEA4
OR971354	Asian	SEA4
OR971353	Asian	SEA4
OR971352	Asian	SEA4
OR971351	Asian	SEA4
OR971350	Asian	SEA4
OR971349	Asian	SEA4
OR971348	Asian	SEA4
OR971347	Asian	SEA4
OR971346	Asian	SEA4
OR971345	Asian	SEA4
OR971675	Asian	SEA4
OR971674	Asian	SEA4
OR971673	Asian	SEA4
OR971672	Asian	SEA4
OR971671	Asian	SEA4
OR971670	Asian	SEA4
OR971669	Asian	SEA4
OR971668	Asian	SEA4
OR971667	Asian	SEA4
OR971666	Asian	SEA4
OR971665	Asian	SEA4
OR971664	Asian	SEA4
OR971663	Asian	SEA4
OR971662	Asian	SEA4
OR971661	Asian	SEA4
OR971660	Asian	SEA4
OR971659	Asian	SEA4
OR971658	Asian	SEA4
OR971657	Asian	SEA4
OR971656	Asian	SEA4
OR971655	Asian	SEA4
OR971654	Asian	SEA4
OR971653	Asian	SEA4
OR971652	Asian	SEA4
OR971651	Asian	SEA4
OR971650	Asian	SEA4
OR971649	Asian	SEA4
OR971648	Asian	SEA4
OR971647	Asian	SEA4
OR971646	Asian	SEA4
OR971645	Asian	SEA4
14	Asian	SEA3
153	Asian	SEA3
19-30	Asian	SEA3
19-40	Asian	SEA3
4A-22-104	Asian	SEA3
4A-22-171	Asian	SEA4
4A-22-203	Asian	SEA4
4A-22-40	Asian	SEA4
4A-22-98	Asian	SEA4
4B-21-126	Asian	SEA4
4B-21-29	Asian	SEA4
4B-21-310	Asian	SEA4
4B-21-35	Asian	SEA4
4B-21-412	Asian	SEA4
4B-21-421	Asian	SEA4
4B-21-423	Asian	SEA4
4B-21-528	Asian	SEA4
4B-21622	Asian	SEA4
4B-22-114	Asian	SEA4
4B-22-13	Asian	SEA4
4B-22-15	Asian	SEA4
4B-22-16	Asian	SEA4
4B-22-17	Asian	SEA4
4B-22-20	Asian	SEA4
4B-22-21	Asian	SEA4
4B-22-28	Asian	SEA4
4B-22-30	Asian	SEA4
4B-22-31	Asian	SEA4
4B-22-35	Asian	SEA4
4B-22-37	Asian	SEA3
4B-22-39	Asian	SEA3
4B-22-40	Asian	SEA4
4B-22-41	Asian	SEA3
4B-22-42	Asian	SEA3
4B-22-44	Asian	SEA3
4B-22-45	Asian	SEA3
4B-23-01	Asian	SEA3
4B-23-02	Asian	SEA3
4B-23-03	Asian	SEA4
4B-23-04	Asian	SEA4
4B-23-05	Asian	SEA3
4B-23-06	Asian	SEA3
4B-23-07	Asian	SEA3
4B-23-11	Asian	SEA3
4B-23-12	Asian	SEA3
4B-23-13	Asian	SEA3
4B-23-15	Asian	SEA3
4B-23-16	Asian	SEA3
4B-23-17	Asian	SEA3
4B-23-19	Asian	SEA3
4B-2422	Asian	SEA4
4B-2922HM	Asian	SEA4
4B-2922JG	Asian	SEA4
CAR-22-018	Asian	SEA4
CAR-22-020	Asian	SEA4
COW	Asian	SEA4
GOAT	Asian	SEA4
H24-028	Asian	SEA4
R1-21-148	Asian	SEA3
R10-688	Asian	SEA4
R10-711	Asian	SEA4
R10-714	Asian	SEA4
R10-824	Asian	SEA4
R10-856	Asian	SEA4
R10-907	Asian	SEA4
R10-920	Asian	SEA4
R10-989	Asian	SEA4
R10-990	Asian	SEA4
R11-21-61	Asian	SEA4
R11-21-63	Asian	SEA4
R11-22-001	Asian	SEA4
R11-22-002	Asian	SEA4
R2-081	Asian	SEA4
R2-22-5302	Asian	SEA4
R2-22-5814	Asian	SEA4
R2-22-84711	Asian	SEA4
R2-22-8924	Asian	SEA4
R3-0483	Asian	SEA3
R3-731	Asian	SEA3
R5-21-115	Asian	SEA3
R5-21-119	Asian	SEA3
R5-21-128	Asian	SEA3
R5-21-132	Asian	SEA3
R5-21-136	Asian	SEA3
R5-21-140	Asian	SEA3
R5-22-008	Asian	SEA3
R5-22-09	Asian	SEA3
R6-21-4343	Asian	SEA4
R6-21-4375	Asian	SEA4
R6-21-4511	Asian	SEA3
R6-21-4600	Asian	SEA4
R6-4342	Asian	SEA4
R6-4568	Asian	SEA4
R7-21-149	Asian	SEA4
R7-21-161	Asian	SEA4
R9-010	Asian	SEA4
R9-074	Asian	SEA4
R9-089	Asian	SEA4
R9-105	Asian	SEA4
RADDL1-16-153	Asian	SEA3
RADDL1-16-154	Asian	SEA4
RADDL1-16-166	Asian	SEA3
RADDL3-1038	Asian	SEA3
RADDL3-1045	Asian	SEA3
RADDL3-15-172	Asian	SEA3
RADDL3-16-1008	Asian	SEA3
RADDL3-16-468	Asian	SEA3
RADDL3-16-521	Asian	SEA3
RADDL3-16-627	Asian	SEA3
RADDL3-845	Asian	SEA3
RADDL4B-23-042	Asian	SEA4
RADDL4B-23-044	Asian	SEA4
RADDL4B-23-045	Asian	SEA4
RADDL4B-23-046	Asian	SEA4
RADDL4B-23-047	Asian	SEA4
RADDL4B-23-049	Asian	SEA4
RADDL4B-23-052	Asian	SEA4
RADDL4B-23-056	Asian	SEA4
RADDL4B-23-057	Asian	SEA4
RADDL4B-23-058	Asian	SEA4
RADDL4B-23-060	Asian	SEA4
RADDL4B-23-061	Asian	SEA4
RADDL4B-23-065	Asian	SEA4
RADDL4B-23-070	Asian	SEA4
RADDL4B-23-072	Asian	SEA4
RADDL4B-23-076	Asian	SEA3
RADDL4B-23-080	Asian	SEA4
RADDL4B-23-081	Asian	SEA4
RADDL4B-23-085	Asian	SEA4
RADDL4B-23-089	Asian	SEA4
RADDL4B-23-090	Asian	SEA4
RADDL4B-23-092	Asian	SEA4
RADDL4B-23-093	Asian	SEA4
RADDL4B-23-094	Asian	SEA4
RADDL4B-23-095	Asian	SEA4
RADDL4B-23-097	Asian	SEA4
RADDL4B-23-098	Asian	SEA4
RADDL4B-23-099	Asian	SEA4
RADDL4B-23-100	Asian	SEA4
RADDL4B-23-101	Asian	SEA4
RADDL4B-23-104	Asian	SEA4
RADDL4B-23-105	Asian	SEA4
RADDL4B-24-001	Asian	SEA4
RADDL4B-24-002	Asian	SEA4
RADDL4B-24-003	Asian	SEA4
RADDL4B-24-007	Asian	SEA4
RADDL4B-24-009	Asian	SEA4
RADDL4B-24-011	Asian	SEA4
RADDL4B-24-012	Asian	SEA4
RADDL4B-24-013	Asian	SEA4
RADDL4B-24-014	Asian	SEA4
RADDL4B-24-015	Asian	SEA4
RADDL4B-24-016	Asian	SEA4
RADDL4B-24-017	Asian	SEA4
RADDL4B-24-018	Asian	SEA4
RADDL4B-24-019	Asian	SEA4
RADDL4B-24-021	Asian	SEA4
RADDL4B-24-023	Asian	SEA4
RADDL4B-24-026	Asian	SEA4
RADDL4B-24-027	Asian	SEA4
RADDL4B-24-028	Asian	SEA4
RADDL4B-24-029	Asian	SEA4
RADDL4B-24-030	Asian	SEA4
RADDL4B-24-034	Asian	SEA4
RADDL4B-24-035	Asian	SEA4
RADDL4B-24-037	Asian	SEA4
RADDL4B-24-038	Asian	SEA4
RADDL4B-24-042	Asian	SEA4
RADDL4B-24-043	Asian	SEA4
RADDL4B-24-046	Asian	SEA4
RADDL4B-24-048	Asian	SEA4
RADDL4B-24-049	Asian	SEA4
RADDL4B-24-051	Asian	SEA4
RADDL4B-24-052	Asian	SEA4
RADDL4B-24-053	Asian	SEA4
RADDL4B-24-054	Asian	SEA4
RADDL4B-24-055	Asian	SEA4
RADDL4B-24-056	Asian	SEA4
RADDL4B-24-057	Asian	SEA4
RADDL4B-24-058	Asian	SEA4
RADDL4B-24-059	Asian	SEA4
RADDL4B-24-062	Asian	SEA4
RADDL4B-24-063	Asian	SEA4
RADDL4B-24-066	Asian	SEA4
RADDL4B-24-067	Asian	SEA4
RADDL4B-24-069	Asian	SEA4
RADDL4B-24-070	Asian	SEA4
RADDL4B-24-071	Asian	SEA4
RADDL4B-24-073	Asian	SEA4
RADDL4B-24-074	Asian	SEA4
RADDL4B-24-076	Asian	SEA4
RADDL4B-24-077	Asian	SEA4
RADDL4B-24-078	Asian	SEA4
RADDL4B-24-080	Asian	SEA4
RADDL4B-24-081	Asian	SEA4
RADDL4B-24-082	Asian	SEA4
RADDL4B-24-084	Asian	SEA4
RADDL4B-24-085	Asian	SEA4
RADDL4B-24-086	Asian	SEA4
RADDL4B-24-087	Asian	SEA4
RADDL4B-24-088	Asian	SEA4
RADDL4B-24-093	Asian	SEA4
RADDL4B-24-095	Asian	SEA4
RADDL4B-24-096	Asian	SEA4
RADDL4B-24-097	Asian	SEA4
RADDL4B-24-098	Asian	SEA4
RADDL4B-24-099	Asian	SEA4
RADDL4B-24-100	Asian	SEA4
RADDL4B-24-101	Asian	SEA4
RADDL4B-24-102	Asian	SEA4
RADDL4B-24-106	Asian	SEA4
RADDL4B-24-107	Asian	SEA4
RADDL4B-24-112	Asian	SEA4
RADDL4B-24-113	Asian	SEA4
RADDL4B-24-114	Asian	SEA4
RADDL4B-24-116	Asian	SEA4
RADDL4B-24-117	Asian	SEA4
RADDL4B-24-120	Asian	SEA4
RADDL4B-24-121	Asian	SEA4
RADDL4B-24-122	Asian	SEA4
RADDL4B-24-124	Asian	SEA4
RADDL4B-24-125	Asian	SEA4
RADDL4B-24-127	Asian	SEA4
RADDL4B-24-138	Asian	SEA4
RADDL4B-24-151	Asian	SEA4
RADDL4B-24-153	Asian	SEA4
RADDL4B-24-154	Asian	SEA4
RADDL4B-24-155	Asian	SEA4
RADDL4B-24-156	Asian	SEA3
RADDL4B-24-157	Asian	SEA4
RADDL4B-24-162	Asian	SEA4
RADDL4B-24-173	Asian	SEA4
RADDL4B-24-174	Asian	SEA4
RADDL4B-24-178	Asian	SEA4
RADDL4B-24-180	Asian	SEA4
RADDL4B-24-181	Asian	SEA4
RADDL4B-24-183	Asian	SEA4
RADDL4B-24-184	Asian	SEA4
RADDL4B-24-185	Asian	SEA4
RADDL4B-24-186	Asian	SEA3
RADDL4B-24-187	Asian	SEA4
RADDL4B-24-188	Asian	SEA4
RADDL4B-25-005	Asian	SEA4
RADDL4B-25-006	Asian	SEA4
RADDL4B-25-008	Asian	SEA4
RADDL4B-25-009	Asian	SEA4
RADDL4B-25-017	Asian	SEA4
RADDL4B-25-022	Asian	SEA4
RADDL4B-25-032	Asian	SEA4
RADDL4B-25-039	Asian	SEA4
RADDL5-005	Asian	SEA3
REGION_5_2018-100	Asian	SEA4
REGION_5_2018-304	Asian	SEA3
REGION_5_2018-311	Asian	SEA4
REGION_5_2018-50	Asian	SEA4
REGION_5_2019-1	Asian	SEA4
REGION_5_2019-13	Asian	SEA3
Z-05-102	Asian	SEA4
Z-05-191	Asian	SEA3
Z-05-557	Asian	SEA4
Z-05-96	Asian	SEA3
Z-06-150	Asian	SEA4
Z-06-295	Asian	SEA4
Z-06-39	Asian	SEA4
Z-07-07	Asian	SEA4
Z-07-351	Asian	SEA4
Z-07-366	Asian	SEA3
Z-07-38	Asian	SEA4
Z-07-387	Asian	SEA3
Z-07-398	Asian	SEA4
Z-07-403	Asian	SEA4
Z-07-407	Asian	SEA4
Z-08-351	Asian	SEA4
Z-08-359	Asian	SEA4
Z-09-94	Asian	SEA4
Z-12-001	Asian	SEA3
Z-12-012	Asian	SEA4
Z-12-029	Asian	SEA3
Z-12-060	Asian	SEA3
Z-12-088	Asian	SEA4
Z-12-118	Asian	SEA4
Z-12-134	Asian	SEA4
Z-12-149	Asian	SEA4
Z-12-208	Asian	SEA3
Z-12-212	Asian	SEA4
Z-13-002	Asian	SEA4
Z-13-009	Asian	SEA4
Z-13-020	Asian	SEA4
Z-13-032	Asian	SEA4
Z-13-036	Asian	SEA4
Z-13-065	Asian	SEA4
Z-13-066	Asian	SEA4
Z-13-071	Asian	SEA4
Z-13-073	Asian	SEA4
Z-13-081	Asian	SEA4
Z-13-086	Asian	SEA4
Z-13-089	Asian	SEA4
Z-13-094	Asian	SEA4
Z-13-096	Asian	SEA4
Z-13-098	Asian	SEA4
Z-13-134	Asian	SEA4
Z-13-135	Asian	SEA4
Z-13-161	Asian	SEA4
Z-13-171	Asian	SEA4
Z-13-184	Asian	SEA4
Z-13-204	Asian	SEA4
Z-13-216	Asian	SEA4
Z-13-234	Asian	SEA4
Z-13-259	Asian	SEA4
Z-14-023	Asian	SEA3
Z-14-033	Asian	SEA3
Z-14-05	Asian	SEA4
Z-14-058	Asian	SEA4
Z-14-098	Asian	SEA4
Z-14-101	Asian	SEA3
Z-14-106	Asian	SEA4
Z-14-126	Asian	SEA4
Z-14-136	Asian	SEA4
Z-14-138	Asian	SEA4
Z-14-142	Asian	SEA4
Z-14-146	Asian	SEA4
Z-14-149	Asian	SEA4
Z-14-152	Asian	SEA4
Z-14-182	Asian	SEA3
Z-14-243	Asian	SEA4
Z-15-001	Asian	SEA4
Z-15-009	Asian	SEA3
Z-15-019	Asian	SEA4
Z-15-116	Asian	SEA4
Z-15-130	Asian	SEA4
Z-15-148	Asian	SEA4
Z-15-163	Asian	SEA4
Z-15-185	Asian	SEA4
Z-16-013	Asian	SEA4
Z-16-082	Asian	SEA4
Z-16-150	Asian	SEA3
Z-16-151	Asian	SEA3
Z-16-159	Asian	SEA4
Z-16-186	Asian	SEA4
Z-16-196	Asian	SEA4
Z-16-209	Asian	SEA4
Z-16-210	Asian	SEA4
Z-16-211	Asian	SEA4
Z-17-046	Asian	SEA4
Z-17-174	Asian	SEA4
Z-17-177	Asian	SEA4
Z-17-193	Asian	SEA4
Z-17-200	Asian	SEA3
Z-17-217	Asian	SEA4
Z-17-221	Asian	SEA4
Z-17-57	Asian	SEA4
Z-18-001	Asian	SEA4
Z-18-114	Asian	SEA4
Z-18-159	Asian	SEA3
Z-18-224	Asian	SEA3
Z-18-251	Asian	SEA4
Z-19-029	Asian	SEA4
Z-19-123	Asian	SEA4
Z-19-136	Asian	SEA3
Z-19-88	Asian	SEA3
Z-20-01	Asian	SEA4
Z-20-110	Asian	SEA3
Z-20-24	Asian	SEA3
Z-20-33	Asian	SEA4
Z-20-51	Asian	SEA3
Z-22-103	Asian	SEA3
Z-22-119	Asian	SEA3
Z-22-121	Asian	SEA4
Z-23-01	Asian	SEA3
Z-23-01Sa	Asian	SEA3
Z-24-141	Asian	SEA4
Z-24-142	Asian	SEA4
Z-98-1061	Asian	SEA4
Z-98-285	Asian	SEA4
Z-98-286	Asian	SEA4
Z-98-433	Asian	SEA3
Z-98-454	Asian	SEA4
Z-98-515	Asian	SEA4
Z-98-616	Asian	SEA4
Z-98-718	Asian	SEA4
Z-98-780	Asian	SEA4
Z-98-838	Asian	SEA4
Z-98-860	Asian	SEA4
