Sample_ID,Case_no,Accession,Host,Sample_type,Date_source,Barangay,Municipality,Province,Region,Latitude,Longitude,Source,Author,Pubmed,Genome_coverage
18-118,,OQ326758,Canis lupus familiaris,brain,,Cogon,Digos,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-120,,OQ326762,Canis lupus familiaris,brain,,Tugbok,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-121,,OQ326766,Canis lupus familiaris,brain,,Tugbok,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-130,,OQ326759,Canis lupus familiaris,brain,,Poblacion,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-133,,OQ326760,Canis lupus familiaris,brain,,Tagum,Tagum,Davao del Norte,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-135,,OQ326767,Canis lupus familiaris,brain,,Talomo,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-138,,OQ326748,Canis lupus familiaris,brain,,Talomo,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-142,,OQ326784,Canis lupus familiaris,brain,,Nabunturan,Nabunturan,Davao de Oro (Compostela Valley),Davao Region,,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-144,,OQ326776,Canis lupus familiaris,brain,,Buhangin,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-147,,OQ326772,Canis lupus familiaris,brain,,Buhangin,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-151,,OQ326774,Canis lupus familiaris,brain,,Buhangin,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-153,,OQ326773,Canis lupus familiaris,brain,,Tugbok,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-162,,OQ326744,Canis lupus familiaris,brain,,Samal,Samal,Davao del Norte,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-163,,OQ326747,Canis lupus familiaris,brain,,Toril,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-164,,OQ326738,Canis lupus familiaris,brain,,Digos,Digos,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-172,,OQ326737,Canis lupus familiaris,brain,,Talomo,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-174,,OQ326743,Canis lupus familiaris,brain,,Toril,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-179,,OQ326775,Canis lupus familiaris,brain,,Cotabato,,Cotabato (North Cotabato),Region XII (Soccsksargen),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-181,,OQ326783,Canis lupus familiaris,brain,,Talomo,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-183,,OQ326777,Canis lupus familiaris,brain,,Tugbok,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-188,,OQ326746,Canis lupus familiaris,brain,,Talomo,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-191,,OQ326768,Canis lupus familiaris,brain,,Talomo,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-194,,OQ326780,Canis lupus familiaris,brain,,Calinan,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-196,,OQ326779,Canis lupus familiaris,brain,,Talomo,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-199,,OQ326736,Canis lupus familiaris,brain,,Tugbok,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-209,,OQ326781,Canis lupus familiaris,brain,,Toril,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-214,,OQ326745,Canis lupus familiaris,brain,,Talomo,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-216,,OQ326742,Canis lupus familiaris,brain,,Poblacion,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-221,,OQ326782,Canis lupus familiaris,brain,,Toril,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-223,,OQ326778,Canis lupus familiaris,brain,,Buhangin,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-224,,OQ326769,Canis lupus familiaris,brain,,Poblacion,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
18-225,,OQ326771,Canis lupus familiaris,brain,,Talomo,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
19-004,,OQ326740,Canis lupus familiaris,brain,,Talomo,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
19-011,,OQ326741,Canis lupus familiaris,brain,,Talomo,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
19-015,,OQ326739,Canis lupus familiaris,brain,,Talomo,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
19-022,,OQ326770,Canis lupus familiaris,brain,,,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
19-045,,OQ326763,Canis lupus familiaris,brain,,Talomo,Davao,Davao del Sur,Region XI (Davao Region),,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
19-050,,OQ326765,Canis lupus familiaris,brain,,Panabo,Panabo,Davao del Norte,Davao Region,,,vgtk,"Bacus,M.G., Buenaventura,S.G.C., Mamites,A.M.C., Elizagaque,H.G., Labrador,C., Delfin,F.C., Eng,M.N.J., Lagare,A.P., Marquez,G.N., Murao,L.A.E.",33878454,0.98893731
BAI/BAI3/2019-01/fel,,MN857171,feline,,,,San Miguel,Bulacan,Central Luzon,,,vgtk,"Ubaldo,F.P.J.R., Cruz,J.L., Gonzales,R.M.C., Legaspi,C.F., Maravilla,J.L.",,0.99916192
BAI/BAI4A/2019-01/can,,MN857170,canine,,,,Angono,Rizal,Region IV-A (Calabarzon),,,vgtk,"Ubaldo,F.P.J.R., Cruz,J.L., Gonzales,R.M.C., Legaspi,C.F., Maravilla,J.L.",,0.99916192
BAI/BAINCR/2019-01/can,,MN857167,canine,,,,Caloocan City,Metropolitan Manila,National Capital Region,,,vgtk,"Ubaldo,F.P.J.R., Cruz,J.L., Gonzales,R.M.C., Legaspi,C.F., Maravilla,J.L.",,0.99916192
BAI/BAINCR/2019-02/can,,MN857168,canine,,,,Quezon City,Metropolitan Manila,National Capital Region,,,vgtk,"Ubaldo,F.P.J.R., Cruz,J.L., Gonzales,R.M.C., Legaspi,C.F., Maravilla,J.L.",,0.99916192
BAI/BAINCR/2019-03/can,,MN857169,canine,,,,Pasay City,Metropolitan Manila,National Capital Region,,,vgtk,"Ubaldo,F.P.J.R., Cruz,J.L., Gonzales,R.M.C., Legaspi,C.F., Maravilla,J.L.",,0.99916192
CAR-2022-002,,OR971342,Canis lupus familiaris,brain,,,,Mountain Province,Cordillera Administrative Region (CAR),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99932953
CAR-2022-018,,OR971345,Canis lupus familiaris,brain,,,,Mountain Province,Cordillera Administrative Region (CAR),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99932953
NCR-2019-6154,,OR971347,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99932953
NCR-2019-6544,,OR971348,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99916192
NCR-2019-6661,,OR971349,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99916192
NCR-2020-1676,,OR971350,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99932953
NCR-2020-2509,,OR971351,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99932953
NCR-2020-2625,,OR971352,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99932953
NCR-2020-2865,,OR971353,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99949715
NCR-2020-3068,,OR971354,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99949715
NCR-2020-3257,,OR971355,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
NCR-2020-3323,,OR971356,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
NCR-2021-3600,,OR971357,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
NCR-2021-3654,,OR971358,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
NCR-2021-3901,,OR971359,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
NCR-2021-4011,,OR971360,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99966477
NCR-2022-1945,,OR971361,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
NCR-2022-1961,,OR971362,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
NCR-2022-2199,,OR971363,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
NCR-2022-2209,,OR971364,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
NCR-2022-2610,,OR971365,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
NCR-2022-2837,,OR971366,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
NCR-2022-2918,,OR971367,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
NCR-2022-2923,,OR971368,Felis catus,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
NCR-2022-2994,,OR971369,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
NCR-2022-2995,,OR971370,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
NCR-2022-3041,,OR971371,Felis catus,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99966477
NCR-2022-3089,,OR971372,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
NCR-2022-3192,,OR971373,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
NCR-2022-3197,,OR971374,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
NCR-2022-3207,,OR971375,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
NCR-2022-3281,,OR971376,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
NCR-2022-3357,,OR971377,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
NCR-2022-3487,,OR971378,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
NCR-2022-3616,,OR971380,Canis lupus familiaris,brain,,,,Metropolitan Manila,National Capital Region,,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
R10-2019-777,,OR971603,Canis lupus familiaris,brain,,,Iligan,Lanao del Norte,Region X (Northern Mindanao),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99941334
R10-2019-818,,OR971605,Canis lupus familiaris,brain,,,Iligan,Lanao del Norte,Region X (Northern Mindanao),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99941334
R10-2019-908,,OR971611,Canis lupus familiaris,brain,,,Iligan,Lanao del Norte,Region X (Northern Mindanao),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99958096
R10-2019-909,,OR971612,Canis lupus familiaris,brain,,,Iligan,Lanao del Norte,Region X (Northern Mindanao),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99941334
R11-2021-02,,OR971626,Canis lupus familiaris,brain,,,,Davao del Sur,Region XI (Davao Region),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99941334
R11-2021-58,,OR971627,Felis catus,brain,,,,Davao del Sur,Region XI (Davao Region),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99966477
R11-2021-61,,OR971628,Canis lupus familiaris,brain,,,,Davao del Norte,Region XI (Davao Region),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99941334
R11-2021-68,,OR971629,Canis lupus familiaris,brain,,,,Davao del Sur,Region XI (Davao Region),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99949715
R11-2022-07,,OR971630,Canis lupus familiaris,brain,,,,Davao del Sur,Region XI (Davao Region),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99932953
R11-2022-11,,OR971631,Canis lupus familiaris,brain,,,,Davao del Sur,Region XI (Davao Region),,,vgtk,"Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",,0.99932953
