queryName     	major_cladeFinalClade 	minor_cladeFinalClade 
 OR971426          	 AL_Asian              	 AL_Asian_SEA4         
 OR971425          	 AL_Asian              	 AL_Asian_SEA4         
 OR971424          	 AL_Asian              	 AL_Asian_SEA4         
 OR971423          	 AL_Asian              	 AL_Asian_SEA4         
 OR971422          	 AL_Asian              	 AL_Asian_SEA4         
 OR971421          	 AL_Asian              	 AL_Asian_SEA4         
 OR971420          	 AL_Asian              	 AL_Asian_SEA4         
 OR971419          	 AL_Asian              	 AL_Asian_SEA4         
 OR971418          	 AL_Asian              	 AL_Asian_SEA4         
 OR971417          	 AL_Asian              	 AL_Asian_SEA4         
 OR971416          	 AL_Asian              	 AL_Asian_SEA4         
 OR971415          	 AL_Asian              	 AL_Asian_SEA4         
 OR971414          	 AL_Asian              	 AL_Asian_SEA4         
 OR971413          	 AL_Asian              	 AL_Asian_SEA4         
 OR971412          	 AL_Asian              	 AL_Asian_SEA4         
 OR971411          	 AL_Asian              	 AL_Asian_SEA4         
 OR971409          	 AL_Asian              	 AL_Asian_SEA4         
 OR971408          	 AL_Asian              	 AL_Asian_SEA4         
 OR971407          	 AL_Asian              	 AL_Asian_SEA4         
 OR971406          	 AL_Asian              	 AL_Asian_SEA4         
 OR971405          	 AL_Asian              	 AL_Asian_SEA4         
 OR971404          	 AL_Asian              	 AL_Asian_SEA4         
 OR971403          	 AL_Asian              	 AL_Asian_SEA4         
 OR971402          	 AL_Asian              	 AL_Asian_SEA4         
 OR971401          	 AL_Asian              	 AL_Asian_SEA4         
 OR971400          	 AL_Asian              	 AL_Asian_SEA4         
 OR971399          	 AL_Asian              	 AL_Asian_SEA4         
 OR971398          	 AL_Asian              	 AL_Asian_SEA4         
 OR971397          	 AL_Asian              	 AL_Asian_SEA4         
 OR971396          	 AL_Asian              	 AL_Asian_SEA4         
 OR971395          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326784          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326783          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326782          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326781          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326780          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326779          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326778          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326777          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326776          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326775          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326774          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326773          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326772          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326771          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326770          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326769          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326768          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326767          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326766          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326765          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326764          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326763          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326762          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326761          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326760          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326759          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326758          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326757          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326756          	 AL_Asian              	 AL_Asian_SEA4         
 OQ326755          	 AL_Asian              	 AL_Asian_SEA4         
 OR971544          	 AL_Asian              	 AL_Asian_SEA4         
 OR971543          	 AL_Asian              	 AL_Asian_SEA4         
 OR971542          	 AL_Asian              	 AL_Asian_SEA4         
 OR971541          	 AL_Asian              	 AL_Asian_SEA4         
 OR971540          	 AL_Asian              	 AL_Asian_SEA4         
 OR971539          	 AL_Asian              	 AL_Asian_SEA4         
 OR971538          	 AL_Asian              	 AL_Asian_SEA4         
 OR971537          	 AL_Asian              	 AL_Asian_SEA4         
 OR971536          	 AL_Asian              	 AL_Asian_SEA4         
 OR971535          	 AL_Asian              	 AL_Asian_SEA4         
 OR971534          	 AL_Asian              	 AL_Asian_SEA4         
 OR971533          	 AL_Asian              	 AL_Asian_SEA4         
 OR971532          	 AL_Asian              	 AL_Asian_SEA4         
 OR971531          	 AL_Asian              	 AL_Asian_SEA4         
 OR971530          	 AL_Asian              	 AL_Asian_SEA4         
 OR971529          	 AL_Asian              	 AL_Asian_SEA4         
 OR971528          	 AL_Asian              	 AL_Asian_SEA4         
 OR971527          	 AL_Asian              	 AL_Asian_SEA4         
 OR971526          	 AL_Asian              	 AL_Asian_SEA4         
 OR971525          	 AL_Asian              	 AL_Asian_SEA4         
 OR971524          	 AL_Asian              	 AL_Asian_SEA4         
 OR971523          	 AL_Asian              	 AL_Asian_SEA4         
 OR971522          	 AL_Asian              	 AL_Asian_SEA4         
 OR971521          	 AL_Asian              	 AL_Asian_SEA4         
 OR971520          	 AL_Asian              	 AL_Asian_SEA4         
 OR971519          	 AL_Asian              	 AL_Asian_SEA4         
 OR971518          	 AL_Asian              	 AL_Asian_SEA4         
 OR971517          	 AL_Asian              	 AL_Asian_SEA4         
 OR971516          	 AL_Asian              	 AL_Asian_SEA4         
 OR971515          	 AL_Asian              	 AL_Asian_SEA4         
 OR971514          	 AL_Asian              	 AL_Asian_SEA4         
 OR971513          	 AL_Asian              	 AL_Asian_SEA4         
 OR971512          	 AL_Asian              	 AL_Asian_SEA4         
 OR971511          	 AL_Asian              	 AL_Asian_SEA4         
 OR971510          	 AL_Asian              	 AL_Asian_SEA4         
 OR971509          	 AL_Asian              	 AL_Asian_SEA4         
 OR971508          	 AL_Asian              	 AL_Asian_SEA4         
 OR971507          	 AL_Asian              	 AL_Asian_SEA4         
 OR971506          	 AL_Asian              	 AL_Asian_SEA4         
 OR971505          	 AL_Asian              	 AL_Asian_SEA4         
 OR971504          	 AL_Asian              	 AL_Asian_SEA4         
 OR971503          	 AL_Asian              	 AL_Asian_SEA4         
 OR971502          	 AL_Asian              	 AL_Asian_SEA4         
 OR971501          	 AL_Asian              	 AL_Asian_SEA4         
 OR971500          	 AL_Asian              	 AL_Asian_SEA4         
 OR971499          	 AL_Asian              	 AL_Asian_SEA4         
 OR971498          	 AL_Asian              	 AL_Asian_SEA4         
 OR971497          	 AL_Asian              	 AL_Asian_SEA4         
 OR971496          	 AL_Asian              	 AL_Asian_SEA4         
 OR971495          	 AL_Asian              	 AL_Asian_SEA4         
 OR971344          	 AL_Asian              	 AL_Asian_SEA4         
 OR971343          	 AL_Asian              	 AL_Asian_SEA4         
 OR971342          	 AL_Asian              	 AL_Asian_SEA4         
 OR971341          	 AL_Asian              	 AL_Asian_SEA4         
 OR971340          	 AL_Asian              	 AL_Asian_SEA4         
 OR971339          	 AL_Asian              	 AL_Asian_SEA4         
 OR971338          	 AL_Asian              	 AL_Asian_SEA4         
 OR971337          	 AL_Asian              	 AL_Asian_SEA4         
 OR971336          	 AL_Asian              	 AL_Asian_SEA4         
 OR971335          	 AL_Asian              	 AL_Asian_SEA4         
 OR971334          	 AL_Asian              	 AL_Asian_SEA4         
 OR971333          	 AL_Asian              	 AL_Asian_SEA4         
 OR971332          	 AL_Asian              	 AL_Asian_SEA4         
 OR971331          	 AL_Asian              	 AL_Asian_SEA4         
 OR971330          	 AL_Asian              	 AL_Asian_SEA4         
 OR971329          	 AL_Asian              	 AL_Asian_SEA4         
 OR971328          	 AL_Asian              	 AL_Asian_SEA4         
 OR971327          	 AL_Asian              	 AL_Asian_SEA4         
 OR971326          	 AL_Asian              	 AL_Asian_SEA4         
 OR971325          	 AL_Asian              	 AL_Asian_SEA4         
 OR971324          	 AL_Asian              	 AL_Asian_SEA4         
 OR971323          	 AL_Asian              	 AL_Asian_SEA4         
 OR971644          	 AL_Asian              	 AL_Asian_SEA4         
 OR971643          	 AL_Asian              	 AL_Asian_SEA4         
 OR971642          	 AL_Asian              	 AL_Asian_SEA4         
 OR971641          	 AL_Asian              	 AL_Asian_SEA4         
 OR971640          	 AL_Asian              	 AL_Asian_SEA4         
 OR971639          	 AL_Asian              	 AL_Asian_SEA4         
 OR971638          	 AL_Asian              	 AL_Asian_SEA4         
 OR971637          	 AL_Asian              	 AL_Asian_SEA4         
 OR971636          	 AL_Asian              	 AL_Asian_SEA4         
 OR971635          	 AL_Asian              	 AL_Asian_SEA4         
 OR971634          	 AL_Asian              	 AL_Asian_SEA4         
 OR971633          	 AL_Asian              	 AL_Asian_SEA4         
 OR971632          	 AL_Asian              	 AL_Asian_SEA4         
 OR971631          	 AL_Asian              	 AL_Asian_SEA4         
 OR971630          	 AL_Asian              	 AL_Asian_SEA4         
 OR971629          	 AL_Asian              	 AL_Asian_SEA4         
 OR971628          	 AL_Asian              	 AL_Asian_SEA4         
 OR971627          	 AL_Asian              	 AL_Asian_SEA4         
 OR971626          	 AL_Asian              	 AL_Asian_SEA4         
 OR971625          	 AL_Asian              	 AL_Asian_SEA4         
 OR971624          	 AL_Asian              	 AL_Asian_SEA4         
 OR971623          	 AL_Asian              	 AL_Asian_SEA4         
 OR971622          	 AL_Asian              	 AL_Asian_SEA4         
 OR971621          	 AL_Asian              	 AL_Asian_SEA4         
 OR971620          	 AL_Asian              	 AL_Asian_SEA4         
 OR971619          	 AL_Asian              	 AL_Asian_SEA4         
 OR971618          	 AL_Asian              	 AL_Asian_SEA4         
 OR971617          	 AL_Asian              	 AL_Asian_SEA4         
 OR971616          	 AL_Asian              	 AL_Asian_SEA4         
 OR971615          	 AL_Asian              	 AL_Asian_SEA4         
 OR971614          	 AL_Asian              	 AL_Asian_SEA4         
 OR971613          	 AL_Asian              	 AL_Asian_SEA4         
 OR971612          	 AL_Asian              	 AL_Asian_SEA4         
 OR971611          	 AL_Asian              	 AL_Asian_SEA4         
 OR971610          	 AL_Asian              	 AL_Asian_SEA4         
 OR971609          	 AL_Asian              	 AL_Asian_SEA4         
 OR971608          	 AL_Asian              	 AL_Asian_SEA4         
 OR971607          	 AL_Asian              	 AL_Asian_SEA4         
 OR971606          	 AL_Asian              	 AL_Asian_SEA4         
 OR971605          	 AL_Asian              	 AL_Asian_SEA4         
 OR971604          	 AL_Asian              	 AL_Asian_SEA4         
 OR971603          	 AL_Asian              	 AL_Asian_SEA4         
 OR971602          	 AL_Asian              	 AL_Asian_SEA4         
 OR971601          	 AL_Asian              	 AL_Asian_SEA4         
 OR971600          	 AL_Asian              	 AL_Asian_SEA4         
 OR971599          	 AL_Asian              	 AL_Asian_SEA4         
 OR971598          	 AL_Asian              	 AL_Asian_SEA4         
 OR971597          	 AL_Asian              	 AL_Asian_SEA4         
 OR971596          	 AL_Asian              	 AL_Asian_SEA4         
 OR971595          	 AL_Asian              	 AL_Asian_SEA4         
 MN857171          	 AL_Asian              	 AL_Asian_SEA4         
 MN857170          	 AL_Asian              	 AL_Asian_SEA4         
 MN857169          	 AL_Asian              	 AL_Asian_SEA4         
 MN857168          	 AL_Asian              	 AL_Asian_SEA4         
 MN857167          	 AL_Asian              	 AL_Asian_SEA4         
 OR971594          	 AL_Asian              	 AL_Asian_SEA4         
 OR971593          	 AL_Asian              	 AL_Asian_SEA4         
 OR971592          	 AL_Asian              	 AL_Asian_SEA4         
 OR971591          	 AL_Asian              	 AL_Asian_SEA4         
 OR971590          	 AL_Asian              	 AL_Asian_SEA4         
 OR971589          	 AL_Asian              	 AL_Asian_SEA4         
 OR971588          	 AL_Asian              	 AL_Asian_SEA4         
 OR971587          	 AL_Asian              	 AL_Asian_SEA4         
 OR971586          	 AL_Asian              	 AL_Asian_SEA4         
 OR971585          	 AL_Asian              	 AL_Asian_SEA4         
 OR971584          	 AL_Asian              	 AL_Asian_SEA4         
 OR971583          	 AL_Asian              	 AL_Asian_SEA4         
 OR971582          	 AL_Asian              	 AL_Asian_SEA4         
 OR971581          	 AL_Asian              	 AL_Asian_SEA4         
 OR971580          	 AL_Asian              	 AL_Asian_SEA4         
 OR971579          	 AL_Asian              	 AL_Asian_SEA4         
 OR971578          	 AL_Asian              	 AL_Asian_SEA4         
 OR971577          	 AL_Asian              	 AL_Asian_SEA4         
 OR971576          	 AL_Asian              	 AL_Asian_SEA4         
 OR971575          	 AL_Asian              	 AL_Asian_SEA4         
 OR971574          	 AL_Asian              	 AL_Asian_SEA4         
 OR971573          	 AL_Asian              	 AL_Asian_SEA4         
 OR971572          	 AL_Asian              	 AL_Asian_SEA4         
 OR971571          	 AL_Asian              	 AL_Asian_SEA4         
 OR971570          	 AL_Asian              	 AL_Asian_SEA4         
 OR971569          	 AL_Asian              	 AL_Asian_SEA4         
 OR971568          	 AL_Asian              	 AL_Asian_SEA4         
 OR971567          	 AL_Asian              	 AL_Asian_SEA4         
 OR971566          	 AL_Asian              	 AL_Asian_SEA4         
 OR971565          	 AL_Asian              	 AL_Asian_SEA4         
 OR971564          	 AL_Asian              	 AL_Asian_SEA4         
 OR971563          	 AL_Asian              	 AL_Asian_SEA4         
 OR971562          	 AL_Asian              	 AL_Asian_SEA4         
 OR971561          	 AL_Asian              	 AL_Asian_SEA4         
 OR971560          	 AL_Asian              	 AL_Asian_SEA4         
 OR971559          	 AL_Asian              	 AL_Asian_SEA4         
 OR971558          	 AL_Asian              	 AL_Asian_SEA4         
 OR971557          	 AL_Asian              	 AL_Asian_SEA4         
 OR971556          	 AL_Asian              	 AL_Asian_SEA4         
 OR971555          	 AL_Asian              	 AL_Asian_SEA4         
 OR971554          	 AL_Asian              	 AL_Asian_SEA4         
 OR971553          	 AL_Asian              	 AL_Asian_SEA4         
 OR971552          	 AL_Asian              	 AL_Asian_SEA4         
 OR971551          	 AL_Asian              	 AL_Asian_SEA4         
 OR971550          	 AL_Asian              	 AL_Asian_SEA4         
 OR971549          	 AL_Asian              	 AL_Asian_SEA4         
 OR971548          	 AL_Asian              	 AL_Asian_SEA4         
 OR971547          	 AL_Asian              	 AL_Asian_SEA4         
 OR971546          	 AL_Asian              	 AL_Asian_SEA4         
 OR971545          	 AL_Asian              	 AL_Asian_SEA4         
 OR971494          	 AL_Asian              	 AL_Asian_SEA4         
 OR971493          	 AL_Asian              	 AL_Asian_SEA4         
 OR971492          	 AL_Asian              	 AL_Asian_SEA4         
 OR971491          	 AL_Asian              	 AL_Asian_SEA4         
 OR971490          	 AL_Asian              	 AL_Asian_SEA4         
 OR971489          	 AL_Asian              	 AL_Asian_SEA4         
 OR971488          	 AL_Asian              	 AL_Asian_SEA4         
 OR971487          	 AL_Asian              	 AL_Asian_SEA4         
 OR971486          	 AL_Asian              	 AL_Asian_SEA4         
 OR971485          	 AL_Asian              	 AL_Asian_SEA4         
 OR971484          	 AL_Asian              	 AL_Asian_SEA4         
 OR971483          	 AL_Asian              	 AL_Asian_SEA4         
 OR971482          	 AL_Asian              	 AL_Asian_SEA4         
 OR971481          	 AL_Asian              	 AL_Asian_SEA4         
 OR971480          	 AL_Asian              	 AL_Asian_SEA4         
 OR971479          	 AL_Asian              	 AL_Asian_SEA4         
 OR971478          	 AL_Asian              	 AL_Asian_SEA4         
 OR971477          	 AL_Asian              	 AL_Asian_SEA4         
 OR971476          	 AL_Asian              	 AL_Asian_SEA4         
 OR971475          	 AL_Asian              	 AL_Asian_SEA4         
 OR971474          	 AL_Asian              	 AL_Asian_SEA4         
 OR971473          	 AL_Asian              	 AL_Asian_SEA4         
 OR971472          	 AL_Asian              	 AL_Asian_SEA4         
 OR971471          	 AL_Asian              	 AL_Asian_SEA4         
 OR971470          	 AL_Asian              	 AL_Asian_SEA4         
 OR971469          	 AL_Asian              	 AL_Asian_SEA4         
 OR971468          	 AL_Asian              	 AL_Asian_SEA4         
 OR971467          	 AL_Asian              	 AL_Asian_SEA4         
 OR971466          	 AL_Asian              	 AL_Asian_SEA4         
 OR971465          	 AL_Asian              	 AL_Asian_SEA4         
 OR971464          	 AL_Asian              	 AL_Asian_SEA4         
 OR971463          	 AL_Asian              	 AL_Asian_SEA4         
 OR971462          	 AL_Asian              	 AL_Asian_SEA4         
 OR971461          	 AL_Asian              	 AL_Asian_SEA4         
 OR971460          	 AL_Asian              	 AL_Asian_SEA4         
 OR971459          	 AL_Asian              	 AL_Asian_SEA4         
 OR971458          	 AL_Asian              	 AL_Asian_SEA4         
 OR971457          	 AL_Asian              	 AL_Asian_SEA4         
 OR971456          	 AL_Asian              	 AL_Asian_SEA4         
 OR971455          	 AL_Asian              	 AL_Asian_SEA4         
 OR971454          	 AL_Asian              	 AL_Asian_SEA4         
 OR971453          	 AL_Asian              	 AL_Asian_SEA4         
 OR971452          	 AL_Asian              	 AL_Asian_SEA4         
 OR971451          	 AL_Asian              	 AL_Asian_SEA4         
 OR971450          	 AL_Asian              	 AL_Asian_SEA4         
 OR971449          	 AL_Asian              	 AL_Asian_SEA4         
 OR971448          	 AL_Asian              	 AL_Asian_SEA4         
 OR971447          	 AL_Asian              	 AL_Asian_SEA4         
 OR971446          	 AL_Asian              	 AL_Asian_SEA4         
 OR971445          	 AL_Asian              	 AL_Asian_SEA4         
 OR971394          	 AL_Asian              	 AL_Asian_SEA4         
 OR971393          	 AL_Asian              	 AL_Asian_SEA4         
 OR971392          	 AL_Asian              	 AL_Asian_SEA4         
 OR971391          	 AL_Asian              	 AL_Asian_SEA4         
 OR971390          	 AL_Asian              	 AL_Asian_SEA4         
 OR971389          	 AL_Asian              	 AL_Asian_SEA4         
 OR971388          	 AL_Asian              	 AL_Asian_SEA4         
 OR971387          	 AL_Asian              	 AL_Asian_SEA4         
 OR971386          	 AL_Asian              	 AL_Asian_SEA4         
 OR971385          	 AL_Asian              	 AL_Asian_SEA4         
 OR971384          	 AL_Asian              	 AL_Asian_SEA4         
 OR971383          	 AL_Asian              	 AL_Asian_SEA4         
 OR971382          	 AL_Asian              	 AL_Asian_SEA4         
 OR971381          	 AL_Asian              	 AL_Asian_SEA4         
 OR971380          	 AL_Asian              	 AL_Asian_SEA4         
 OR971379          	 AL_Asian              	 AL_Asian_SEA4         
 OR971378          	 AL_Asian              	 AL_Asian_SEA4         
 OR971377          	 AL_Asian              	 AL_Asian_SEA4         
 OR971376          	 AL_Asian              	 AL_Asian_SEA4         
 OR971375          	 AL_Asian              	 AL_Asian_SEA4         
 OR971374          	 AL_Asian              	 AL_Asian_SEA4         
 OR971373          	 AL_Asian              	 AL_Asian_SEA4         
 OR971372          	 AL_Asian              	 AL_Asian_SEA4         
 OR971371          	 AL_Asian              	 AL_Asian_SEA4         
 OR971370          	 AL_Asian              	 AL_Asian_SEA4         
 OR971369          	 AL_Asian              	 AL_Asian_SEA4         
 OR971368          	 AL_Asian              	 AL_Asian_SEA4         
 OR971367          	 AL_Asian              	 AL_Asian_SEA4         
 OR971366          	 AL_Asian              	 AL_Asian_SEA4         
 OR971365          	 AL_Asian              	 AL_Asian_SEA4         
 OR971364          	 AL_Asian              	 AL_Asian_SEA4         
 OR971363          	 AL_Asian              	 AL_Asian_SEA4         
 OR971362          	 AL_Asian              	 AL_Asian_SEA4         
 OR971361          	 AL_Asian              	 AL_Asian_SEA4         
 OR971360          	 AL_Asian              	 AL_Asian_SEA4         
 OR971359          	 AL_Asian              	 AL_Asian_SEA4         
 OR971358          	 AL_Asian              	 AL_Asian_SEA4         
 OR971357          	 AL_Asian              	 AL_Asian_SEA4         
 OR971356          	 AL_Asian              	 AL_Asian_SEA4         
 OR971355          	 AL_Asian              	 AL_Asian_SEA4         
 OR971354          	 AL_Asian              	 AL_Asian_SEA4         
 OR971353          	 AL_Asian              	 AL_Asian_SEA4         
 OR971352          	 AL_Asian              	 AL_Asian_SEA4         
 OR971351          	 AL_Asian              	 AL_Asian_SEA4         
 OR971350          	 AL_Asian              	 AL_Asian_SEA4         
 OR971349          	 AL_Asian              	 AL_Asian_SEA4         
 OR971348          	 AL_Asian              	 AL_Asian_SEA4         
 OR971347          	 AL_Asian              	 AL_Asian_SEA4         
 OR971346          	 AL_Asian              	 AL_Asian_SEA4         
 OR971345          	 AL_Asian              	 AL_Asian_SEA4         
 OR971675          	 AL_Asian              	 AL_Asian_SEA4         
 OR971674          	 AL_Asian              	 AL_Asian_SEA4         
 OR971673          	 AL_Asian              	 AL_Asian_SEA4         
 OR971672          	 AL_Asian              	 AL_Asian_SEA4         
 OR971671          	 AL_Asian              	 AL_Asian_SEA4         
 OR971670          	 AL_Asian              	 AL_Asian_SEA4         
 OR971669          	 AL_Asian              	 AL_Asian_SEA4         
 OR971668          	 AL_Asian              	 AL_Asian_SEA4         
 OR971667          	 AL_Asian              	 AL_Asian_SEA4         
 OR971666          	 AL_Asian              	 AL_Asian_SEA4         
 OR971665          	 AL_Asian              	 AL_Asian_SEA4         
 OR971664          	 AL_Asian              	 AL_Asian_SEA4         
 OR971663          	 AL_Asian              	 AL_Asian_SEA4         
 OR971662          	 AL_Asian              	 AL_Asian_SEA4         
 OR971661          	 AL_Asian              	 AL_Asian_SEA4         
 OR971660          	 AL_Asian              	 AL_Asian_SEA4         
 OR971659          	 AL_Asian              	 AL_Asian_SEA4         
 OR971658          	 AL_Asian              	 AL_Asian_SEA4         
 OR971657          	 AL_Asian              	 AL_Asian_SEA4         
 OR971656          	 AL_Asian              	 AL_Asian_SEA4         
 OR971655          	 AL_Asian              	 AL_Asian_SEA4         
 OR971654          	 AL_Asian              	 AL_Asian_SEA4         
 OR971653          	 AL_Asian              	 AL_Asian_SEA4         
 OR971652          	 AL_Asian              	 AL_Asian_SEA4         
 OR971651          	 AL_Asian              	 AL_Asian_SEA4         
 OR971650          	 AL_Asian              	 AL_Asian_SEA4         
 OR971649          	 AL_Asian              	 AL_Asian_SEA4         
 OR971648          	 AL_Asian              	 AL_Asian_SEA4         
 OR971647          	 AL_Asian              	 AL_Asian_SEA4         
 OR971646          	 AL_Asian              	 AL_Asian_SEA4         
 OR971645          	 AL_Asian              	 AL_Asian_SEA4         
14	 AL_Asian              	 AL_Asian_SEA4         
153	 AL_Asian              	 AL_Asian_SEA4         
 19-30             	 AL_Asian              	 AL_Asian_SEA4         
 19-40             	 AL_Asian              	 AL_Asian_SEA4         
 4A-22-104         	 AL_Asian              	 AL_Asian_SEA4         
 4A-22-171         	 AL_Asian              	 AL_Asian_SEA4         
 4A-22-203         	 AL_Asian              	 AL_Asian_SEA4         
 4A-22-40          	 AL_Asian              	 AL_Asian_SEA4         
 4A-22-98          	 AL_Asian              	 AL_Asian_SEA4         
 4B-21-126         	 AL_Asian              	 AL_Asian_SEA4         
 4B-21-29          	 AL_Asian              	 AL_Asian_SEA4         
 4B-21-310         	 AL_Asian              	 AL_Asian_SEA4         
 4B-21-35          	 AL_Asian              	 AL_Asian_SEA4         
 4B-21-412         	 AL_Asian              	 AL_Asian_SEA4         
 4B-21-421         	 AL_Asian              	 AL_Asian_SEA4         
 4B-21-423         	 AL_Asian              	 AL_Asian_SEA4         
 4B-21-528         	 AL_Asian              	 AL_Asian_SEA4         
 4B-21622          	 AL_Asian              	 AL_Asian_SEA4         
 4B-22-114         	 AL_Asian              	 AL_Asian_SEA4         
 4B-22-13          	 AL_Asian              	 AL_Asian_SEA4         
 4B-22-15          	 AL_Asian              	 AL_Asian_SEA4         
 4B-22-16          	 AL_Asian              	 AL_Asian_SEA4         
 4B-22-17          	 AL_Asian              	 AL_Asian_SEA4         
 4B-22-20          	 AL_Asian              	 AL_Asian_SEA4         
 4B-22-21          	 AL_Asian              	 AL_Asian_SEA4         
 4B-22-28          	 AL_Asian              	 AL_Asian_SEA4         
 4B-22-30          	 AL_Asian              	 AL_Asian_SEA4         
 4B-22-31          	 AL_Asian              	 AL_Asian_SEA4         
 4B-22-35          	 AL_Asian              	 AL_Asian_SEA4         
 4B-22-37          	 AL_Asian              	 AL_Asian_SEA4         
 4B-22-39          	 AL_Asian              	 AL_Asian_SEA4         
 4B-22-40          	 AL_Asian              	 AL_Asian_SEA4         
 4B-22-41          	 AL_Asian              	 AL_Asian_SEA4         
 4B-22-42          	 AL_Asian              	 AL_Asian_SEA4         
 4B-22-44          	 AL_Asian              	 AL_Asian_SEA4         
 4B-22-45          	 AL_Asian              	 AL_Asian_SEA4         
 4B-23-01          	 AL_Asian              	 AL_Asian_SEA4         
 4B-23-02          	 AL_Asian              	 AL_Asian_SEA4         
 4B-23-03          	 AL_Asian              	 AL_Asian_SEA4         
 4B-23-04          	 AL_Asian              	 AL_Asian_SEA4         
 4B-23-05          	 AL_Asian              	 AL_Asian_SEA4         
 4B-23-06          	 AL_Asian              	 AL_Asian_SEA4         
 4B-23-07          	 AL_Asian              	 AL_Asian_SEA4         
 4B-23-11          	 AL_Asian              	 AL_Asian_SEA4         
 4B-23-12          	 AL_Asian              	 AL_Asian_SEA4         
 4B-23-13          	 AL_Asian              	 AL_Asian_SEA4         
 4B-23-15          	 AL_Asian              	 AL_Asian_SEA4         
 4B-23-16          	 AL_Asian              	 AL_Asian_SEA4         
 4B-23-17          	 AL_Asian              	 AL_Asian_SEA4         
