"Sample_ID","Case_no","Accession","Host","Sample_type","Preferred_date","Date_source","Barangay","Municipality","Municipality_std","Province","Province_std","Region","Region_std","Latitude","Longitude","Source","Author","Pubmed","Genome_coverage","Host_scientific","Host_common","Host_type","Major_Island","seq_name","phylogenetic_clade"
"RADDL4B-24-029","M-50",NA,"Dog",NA,"=""20-Feb-2024""","date_collected","Caigangan","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.26212226,121.9342731,"speedier",NA,NA,0.9716,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-029","AL_Asian_SEA4"
"RADDL4B-24-034","M-55",NA,"Dog",NA,"=""29-Feb-2024""","date_collected","Bamban","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.42366341,121.8779105,"speedier",NA,NA,0.9713,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-034","AL_Asian_SEA4"
"RADDL4B-24-035","M-56",NA,"Dog",NA,"=""26-Feb-2024""","date_collected","Masiga","Gasan","Marinduque-Gasan","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.35871898,121.8255082,"speedier",NA,NA,0.9889,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-035","AL_Asian_SEA4"
"RADDL4B-24-037","M-58",NA,"Dog",NA,"=""28-Feb-2024""","date_collected","Buangan","Torrijos","Marinduque-Torrijos","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.31305087,122.0537056,"speedier",NA,NA,0.9718,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-037","AL_Asian_SEA4"
"RADDL4B-24-053","M-65",NA,"Dog",NA,"=""17-Mar-2024""","date_collected","Barangay 1","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.2559971,121.9418071,"speedier",NA,NA,0.9718,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-053","AL_Asian_SEA4"
"RADDL4B-24-055","M-67",NA,"Dog",NA,"=""21-Mar-2024""","date_collected","Barangay 2","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.25463205,121.9448458,"speedier",NA,NA,0.9888,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-055","AL_Asian_SEA4"
"RADDL4B-24-056","M-68",NA,"Dog",NA,"=""26-Mar-2024""","date_collected","Barangay 1","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.2559971,121.9418071,"speedier",NA,NA,0.9892,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-056","AL_Asian_SEA4"
"RADDL4B-24-057","M-69",NA,"Dog",NA,"=""20-Jan-2024""","date_collected","Barangay 1","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.2559971,121.9418071,"speedier",NA,NA,0.9884,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-057","AL_Asian_SEA4"
"RADDL4B-24-058","M-70",NA,"Dog",NA,"=""20-Mar-2024""","date_collected","Mendez","Mogpog","Marinduque-Mogpog","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.5108188,121.8994064,"speedier",NA,NA,0.9717,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-058","AL_Asian_SEA4"
"RADDL4B-24-059","M-71",NA,"Dog",NA,"=""20-Mar-2024""","date_collected","Villa Mendez","Mogpog","Marinduque-Mogpog","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.47788656,121.8607316,"speedier",NA,NA,0.9888,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-059","AL_Asian_SEA4"
"RADDL4B-24-067","M-75",NA,"Dog",NA,"=""20-Feb-2024""","date_collected","Cabugao","Gasan","Marinduque-Gasan","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.35486893,121.8479733,"speedier",NA,NA,0.9892,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-067","AL_Asian_SEA4"
"RADDL4B-24-070","M-78",NA,"Dog",NA,"=""20-Apr-2024""","date_collected","Malibago","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.28798166,122.0068653,"speedier",NA,NA,0.9883,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-070","AL_Asian_SEA4"
"RADDL4B-24-071","M-79",NA,"Dog",NA,"=""20-May-2024""","date_collected","Murallon","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.44947749,121.8370936,"speedier",NA,NA,0.9722,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-071","AL_Asian_SEA4"
"RADDL4B-24-077","M-85",NA,"Dog",NA,"=""20-Nov-2024""","date_collected","Bicas-Bicas","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.24157594,122.0002222,"speedier",NA,NA,0.9887,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-077","AL_Asian_SEA4"
"RADDL4B-24-082","M-89",NA,"Dog",NA,"=""18-Apr-2024""","date_collected","Mahunig","Gasan","Marinduque-Gasan","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.31497743,121.8549846,"speedier",NA,NA,0.9884,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-082","AL_Asian_SEA4"
"RADDL4B-24-102","M-100",NA,"Dog",NA,"=""28-Apr-2024""","date_collected","Bagacay","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.24881654,121.9900226,"speedier",NA,NA,0.9886,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-102","AL_Asian_SEA4"
"RADDL4B-23-085","M-13",NA,"Dog",NA,"=""20-Aug-2023""","date_collected","Maligaya","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.47444205,121.840682,"speedier",NA,NA,0.9891,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-23-085","AL_Asian_SEA4"
"RADDL4B-23-093","M-20",NA,"Goat",NA,"=""26-Nov-2023""","date_collected","Lupac","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.45972903,121.8180698,"speedier",NA,NA,0.9888,"Capra hircus","Goat","Livestock","Luzon","RADDL4B-23-093","AL_Asian_SEA4"
"RADDL4B-23-095","M-22",NA,"Dog",NA,"=""28-Nov-2023""","date_collected","Laon","Mogpog","Marinduque-Mogpog","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.4919948,121.8532421,"speedier",NA,NA,0.9888,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-23-095","AL_Asian_SEA4"
"RADDL4B-23-097","M-23",NA,"Dog",NA,"=""27-Nov-2023""","date_collected","Poctoy","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.43235691,121.8690073,"speedier",NA,NA,0.9889,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-23-097","AL_Asian_SEA4"
"RADDL4B-23-098","M-24",NA,"Dog",NA,"=""27-Nov-2023""","date_collected","Cawit","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.38170012,121.8415498,"speedier",NA,NA,0.9887,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-23-098","AL_Asian_SEA4"
"RADDL4B-23-099","M-25",NA,"Dog",NA,"=""30-Nov-2023""","date_collected","Bunganay","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.38814351,121.830912,"speedier",NA,NA,0.9889,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-23-099","AL_Asian_SEA4"
"RADDL4B-23-100","M-26",NA,"Pig",NA,"=""05-Dec-2023""","date_collected","Tabigue","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.4508379,121.820882,"speedier",NA,NA,0.9889,"Sus scrofa domesticus","Pig","Livestock","Luzon","RADDL4B-23-100","AL_Asian_SEA4"
"RADDL4B-24-001","M-29",NA,"Dog",NA,"=""05-Jan-2024""","date_collected","Dampulan","Torrijos","Marinduque-Torrijos","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.23584673,122.0313094,"speedier",NA,NA,0.9891,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-001","AL_Asian_SEA4"
"RADDL4B-24-011","M-38",NA,"Dog",NA,"=""24-Jan-2024""","date_collected","Laylay","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.43668126,121.8203817,"speedier",NA,NA,0.9889,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-011","AL_Asian_SEA4"
"RADDL4B-24-012","M-40",NA,"Dog",NA,"=""25-Jan-2024""","date_collected","Poblacion","Torrijos","Marinduque-Torrijos","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.32381038,122.0762274,"speedier",NA,NA,0.9713,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-012","AL_Asian_SEA4"
"RADDL4B-24-015","M-41",NA,"Dog",NA,"=""31-Jan-2024""","date_collected","Tampus","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.44607203,121.8483871,"speedier",NA,NA,0.95,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-015","AL_Asian_SEA4"
"RADDL4B-24-016","M-42",NA,"Dog",NA,"=""31-Jan-2024""","date_collected","San Isidro","Santa Cruz","Marinduque-Santa Cruz","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.52187638,121.937044,"speedier",NA,NA,0.9679,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-016","AL_Asian_SEA4"
"RADDL4B-24-049","M-63",NA,"Dog",NA,"=""13-Mar-2024""","date_collected","Barangay IV","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.25222414,121.9482043,"speedier",NA,NA,0.9885,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-049","AL_Asian_SEA4"
"RADDL4B-24-084","M-91",NA,"Dog",NA,"=""19-Apr-2024""","date_collected","Matandang Gasan","Gasan","Marinduque-Gasan","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.32695219,121.8773683,"speedier",NA,NA,0.9888,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-084","AL_Asian_SEA4"
"RADDL4B-24-085","M-92",NA,"Dog",NA,"=""20-Apr-2024""","date_collected","Malibago","Torrijos","Marinduque-Torrijos","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.28714633,122.0077236,"speedier",NA,NA,0.9883,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-085","AL_Asian_SEA4"
"RADDL4B-24-086","M-93",NA,"Dog",NA,"=""20-Apr-2024""","date_collected","Pulong-Parang","Santa Cruz","Marinduque-Santa Cruz","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.41549537,122.0584289,"speedier",NA,NA,0.9345,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-086","AL_Asian_SEA4"
"RADDL4B-24-087","M-94",NA,"Dog",NA,"=""21-Apr-2024""","date_collected","Marlangga","Torrijos","Marinduque-Torrijos","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.33186615,122.0865576,"speedier",NA,NA,0.9712,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-087","AL_Asian_SEA4"
"RADDL4B-24-088","M-95",NA,"Dog",NA,"=""22-Apr-2024""","date_collected","Mangiliol","Gasan","Marinduque-Gasan","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.35766762,121.8384787,"speedier",NA,NA,0.9155,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-088","AL_Asian_SEA4"
"RADDL4B-24-101","M-99",NA,"Dog",NA,"=""25-Apr-2024""","date_collected","Poras","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.45804967,121.8323598,"speedier",NA,NA,0.9888,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-101","AL_Asian_SEA4"
"RADDL4B-24-106","M-104",NA,"Dog",NA,"=""20-Mar-2024""","date_collected","Daykitin","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.27382681,121.9228134,"speedier",NA,NA,0.9885,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-106","AL_Asian_SEA4"
"RADDL4B-24-120","M-106",NA,"Dog",NA,"=""20-Sep-2024""","date_collected","Mainit","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.40855837,121.8831096,"speedier",NA,NA,0.9886,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-120","AL_Asian_SEA4"
"RADDL4B-24-124","M-110",NA,"Dog",NA,"=""13-May-2024""","date_collected","Yook","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.22428692,121.9851771,"speedier",NA,NA,0.9889,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-124","AL_Asian_SEA4"
"RADDL4B-23-042","R-56",NA,"Dog",NA,"=""07-Jul-2023""","date_collected","Matutuna","San Andres","Romblon-San Andres","Romblon","Romblon","MIMIROPA","Mimaropa Region",12.485430189542,122.037858315898,"speedier",NA,NA,0.9884,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-23-042","AL_Asian_SEA4"
"RADDL4B-23-044","OM-35",NA,"Dog",NA,"=""01-Aug-2023""","date_collected","Libtong","Roxas","Oriental Mindoro-Roxas","Oriental Mindoro","Oriental Mindoro","MIMIROPA","Mimaropa Region",12.62432924,121.5031667,"speedier",NA,NA,0.9893,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-23-044","AL_Asian_SEA4"
"RADDL4B-23-045","R-58",NA,"Dog",NA,"=""03-Aug-2023""","date_collected","Linawan","San Andres","Romblon-San Andres","Romblon","Romblon","MIMIROPA","Mimaropa Region",12.5613811526055,122.024643646665,"speedier",NA,NA,0.9884,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-23-045","AL_Asian_SEA4"
"RADDL4B-23-046","R-59",NA,"Dog",NA,"=""04-Jul-2023""","date_collected","Carmen","San Agustin","Romblon-San Agustin","Romblon","Romblon","MIMIROPA","Mimaropa Region",12.6207441732869,122.112268131429,"speedier",NA,NA,0.9884,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-23-046","AL_Asian_SEA4"
"RADDL4B-23-047","OM-36",NA,"Dog",NA,"=""23-Aug-2023""","date_collected","San Isidro","Puerto Galera","Oriental Mindoro-Baco","Oriental Mindoro","Oriental Mindoro","MIMIROPA","Mimaropa Region",13.37785692,120.8703821,"speedier",NA,NA,0.9884,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-23-047","AL_Asian_SEA4"
"RADDL4B-23-049","OM-37",NA,"Dog",NA,"=""31-Aug-2023""","date_collected","Bagumbayan I","Bongabong","Oriental Mindoro-Bongabong","Oriental Mindoro","Oriental Mindoro","MIMIROPA","Mimaropa Region",12.74706568,121.4748503,"speedier",NA,NA,0.9889,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-23-049","AL_Asian_SEA4"
"RADDL4B-23-052","R-61",NA,"Dog",NA,"=""29-Aug-2023""","date_collected","Mat-I","Santa Fe","Romblon-Santa Fe","Romblon","Romblon","MIMIROPA","Mimaropa Region",12.1825790019622,121.982068760844,"speedier",NA,NA,0.9887,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-23-052","AL_Asian_SEA4"
"RADDL4B-23-056","R-63",NA,"Dog",NA,"=""11-Sep-2023""","date_collected","Concepcion Norte","Santa Maria","Romblon-Santa Maria","Romblon","Romblon","MIMIROPA","Mimaropa Region",12.4009725318673,122.089783542696,"speedier",NA,NA,0.9882,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-23-056","AL_Asian_SEA4"
"RADDL4B-23-058","OM-38",NA,"Dog",NA,"=""02-Oct-2023""","date_collected","Poblacion III","Victoria","Oriental Mindoro-Baco","Oriental Mindoro","Oriental Mindoro","MIMIROPA","Mimaropa Region",13.1693714,121.2550578,"speedier",NA,NA,0.9485,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-23-058","AL_Asian_SEA4"
"RADDL4B-23-076","R-66",NA,"Dog",NA,"=""17-Oct-2023""","date_collected","Poblacion","Alcantara","Romblon-Alcantara","Romblon","Romblon","MIMIROPA","Mimaropa Region",12.2598547361178,122.053286260471,"speedier",NA,NA,0.972,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-23-076","AL_Asian_SEA4"
"RADDL4B-23-080","R-67",NA,"Dog",NA,"=""26-Oct-2023""","date_collected","Pangulo","Calatrava","Romblon-Calatrava","Romblon","Romblon","MIMIROPA","Mimaropa Region",12.6133966287614,122.093403546437,"speedier",NA,NA,0.9874,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-23-080","AL_Asian_SEA4"
"RADDL4B-23-081","R-65",NA,"Dog",NA,"=""30-Sep-2023""","date_collected","Bachawan","San Agustin","Romblon-San Agustin","Romblon","Romblon","MIMIROPA","Mimaropa Region",12.4577618696032,122.090565303083,"speedier",NA,NA,0.9711,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-23-081","AL_Asian_SEA4"
"RADDL4B-23-090","OM-41",NA,"Dog",NA,"=""16-Nov-2023""","date_collected","Ilag","San Teodoro","Oriental Mindoro-Baco","Oriental Mindoro","Oriental Mindoro","MIMIROPA","Mimaropa Region",13.45164877,120.9775215,"speedier",NA,NA,0.9884,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-23-090","AL_Asian_SEA4"
"RADDL4B-23-101","M-27",NA,"Dog",NA,"=""05-Dec-2023""","date_collected","Hinapulan","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.40056028,121.9413747,"speedier",NA,NA,0.9886,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-23-101","AL_Asian_SEA4"
"RADDL4B-23-104","R-70",NA,"Dog",NA,"=""12-Dec-2023""","date_collected","Poblacion","Alcantara","Romblon-Alcantara","Romblon","Romblon","MIMIROPA","Mimaropa Region",12.2598547361178,122.053286260471,"speedier",NA,NA,0.9885,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-23-104","AL_Asian_SEA4"
"RADDL4B-23-105","R-69",NA,"Dog",NA,"=""13-Nov-2023""","date_collected","Poblacion","Looc","Romblon-Looc","Romblon","Romblon","MIMIROPA","Mimaropa Region",12.2710913046505,122.007370649571,"speedier",NA,NA,0.9878,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-23-105","AL_Asian_SEA4"
"RADDL4B-24-002","M-30",NA,"Dog",NA,"=""09-Jan-2024""","date_collected","Malusak","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.44708203,121.8412843,"speedier",NA,NA,0.9883,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-002","AL_Asian_SEA4"
"RADDL4B-24-003","M-31",NA,"Dog",NA,"=""09-Jan-2024""","date_collected","Masiga","Gasan","Marinduque-Gasan","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.35871898,121.8255082,"speedier",NA,NA,0.9884,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-003","AL_Asian_SEA4"
"RADDL4B-24-017","M-39",NA,"Dog",NA,"=""25-Jan-2024""","date_collected","Masiga","Gasan","Marinduque-Gasan","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.35871898,121.8255082,"speedier",NA,NA,0.9883,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-017","AL_Asian_SEA4"
"RADDL4B-24-023","OM-48",NA,"Dog",NA,"=""15-Feb-2024""","date_collected","Canubing I","Calapan City","Oriental Mindoro-Calapan City","Oriental Mindoro","Oriental Mindoro","MIMIROPA","Mimaropa Region",13.34916389,121.1373121,"speedier",NA,NA,0.9882,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-023","AL_Asian_SEA4"
"RADDL4B-24-028","M-51",NA,"Dog",NA,"=""14-Feb-2024""","date_collected","Masiga","Gasan","Marinduque-Gasan","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.35871898,121.8255082,"speedier",NA,NA,0.9884,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-028","AL_Asian_SEA4"
"RADDL4B-24-038","M-59",NA,"Dog",NA,"=""05-Mar-2024""","date_collected","Barangay I","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.2559971,121.9418071,"speedier",NA,NA,0.988,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-038","AL_Asian_SEA4"
"RADDL4B-24-042","R-63",NA,"Dog",NA,"=""12-Feb-2024""","date_collected","Mahabang Baybay","San Agustin","Romblon-San Agustin","Romblon","Romblon","MIMIROPA","Mimaropa Region",12.6389756037373,122.150335754756,"speedier",NA,NA,0.9884,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-042","AL_Asian_SEA4"
"RADDL4B-24-043","R-56",NA,"Dog",NA,"=""04-Mar-2024""","date_collected","Camili","Alcantara","Romblon-Alcantara","Romblon","Romblon","MIMIROPA","Mimaropa Region",12.2601674937412,122.042413009168,"speedier",NA,NA,0.9878,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-043","AL_Asian_SEA4"
"RADDL4B-24-046","OM-55",NA,"Dog",NA,"=""10-Mar-2024""","date_collected","Poblacion I","Victoria","Oriental Mindoro-Baco","Oriental Mindoro","Oriental Mindoro","MIMIROPA","Mimaropa Region",13.17380713,121.2853345,"speedier",NA,NA,0.9888,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-046","AL_Asian_SEA4"
"RADDL4B-24-051","OM-56",NA,"Dog",NA,"=""26-Mar-2024""","date_collected","Bagumbayan","Roxas","Oriental Mindoro-Roxas","Oriental Mindoro","Oriental Mindoro","MIMIROPA","Mimaropa Region",12.5902022,121.5209491,"speedier",NA,NA,0.9887,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-051","AL_Asian_SEA4"
"RADDL4B-24-054","M-66",NA,"Dog",NA,"=""20-Mar-2024""","date_collected","Caigangan","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.26212226,121.9342731,"speedier",NA,NA,0.9884,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-054","AL_Asian_SEA4"
"RADDL4B-24-063","R-77",NA,"Dog",NA,"=""13-Apr-2024""","date_collected","Tulay","Odiongan","Romblon-Odiongan","Romblon","Romblon","MIMIROPA","Mimaropa Region",12.3900864414564,121.992303480972,"speedier",NA,NA,0.9881,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-063","AL_Asian_SEA4"
"RADDL4B-24-066","R-75",NA,"Dog",NA,"=""20-Oct-2024""","date_collected","Tugdan","Alcantara","Romblon-Alcantara","Romblon","Romblon","MIMIROPA","Mimaropa Region",12.3272698719486,122.070177099507,"speedier",NA,NA,0.9879,"Canis lupus familiaris","Dog","Domestic","Luzon","RADDL4B-24-066","AL_Asian_SEA4"
