"tip","distance","Sample_ID","Case_no","Accession","Host","Sample_type","Preferred_date","Date_source","Barangay","Municipality","Municipality_std","Province","Province_std","Region","Region_std","Latitude","Longitude","Source","Author","Pubmed","Genome_coverage","Host_scientific","Host_common","Host_type","Major_Island","Region_short","phylogenetic_clade","lineage","decimal_date"
"RADDL4B-24-029",0.0302979,"RADDL4B-24-029","M-50",NA,"Dog",NA,2024-02-20,"date_collected","Caigangan","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.26212226,121.9342731,"speedier",NA,NA,0.9716,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.13661202186
"RADDL4B-24-184",0.030653081,"RADDL4B-24-184","M-135",NA,"Dog",NA,2024-11-19,"date_collected","Bangbang","Gasan","Marinduque-Gasan","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.343593,121.838409,"speedier",NA,NA,0.9887696949,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.8825136612
"RADDL4B-24-054",0.030125085,"RADDL4B-24-054","M-66",NA,"Dog",NA,2024-03-20,"date_collected","Caigangan","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.26212226,121.9342731,"speedier",NA,NA,0.9884,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.21584699454
"RADDL4B-24-081",0.030125274,"RADDL4B-24-081","M-88",NA,"Dog",NA,2024-04-15,"date_collected","Buangan","Torrijos","Marinduque-Torrijos","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.31305087,122.0537056,"speedier",NA,NA,0.9882,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.2868852459
"RADDL4B-24-030",0.030408533,"RADDL4B-24-030","M-49",NA,"Dog",NA,2024-02-17,"date_collected","Barangay I","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.2559971,121.9418071,"speedier",NA,NA,0.9875125712,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.12841530055
"RADDL4B-24-181",0.030406727,"RADDL4B-24-181","M-134",NA,"Dog",NA,2024-09-09,"date_collected","Yook","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.223896,121.981628,"speedier",NA,NA,0.9882,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.68852459016
"RADDL4B-24-069",0.030582243,"RADDL4B-24-069","M-77",NA,"Dog",NA,2024-03-20,"date_collected","Barangay I","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.2559971,121.9418071,"speedier",NA,NA,0.9885,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.21584699454
"RADDL4B-24-122",0.030494813,"RADDL4B-24-122","M-108",NA,"Dog",NA,2024-10-20,"date_collected","Bangbangalon","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.43848981,121.8276107,"speedier",NA,NA,0.988,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.80054644809
"RADDL4B-24-125",0.030628784,"RADDL4B-24-125","M-111",NA,"Dog",NA,2024-05-13,"date_collected","Yook","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.22428692,121.9851771,"speedier",NA,NA,0.9871773383,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.36338797814
"RADDL4B-24-049",0.02993243,"RADDL4B-24-049","M-63",NA,"Dog",NA,2024-03-13,"date_collected","Barangay IV","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.25222414,121.9482043,"speedier",NA,NA,0.9885,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.19672131148
"RADDL4B-24-102",0.029932429,"RADDL4B-24-102","M-100",NA,"Dog",NA,2024-04-28,"date_collected","Bagacay","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.24881654,121.9900226,"speedier",NA,NA,0.9886,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.32240437158
"RADDL4B-24-018",0.029750078,"RADDL4B-24-018","M-43",NA,"Dog",NA,2024-02-01,"date_collected","Barangay IV","Buenavista","Marinduque-Buenavista","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.25222414,121.9482043,"speedier",NA,NA,0.9708,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.08469945355
"RADDL4B-23-089",0.029843718,"RADDL4B-23-089","M-14",NA,"Dog",NA,2023-07-20,"date_collected","Maligaya","Boac","Marinduque-Boac","Marinduque","Marinduque","MIMIROPA","Mimaropa Region",13.47444205,121.840682,"speedier",NA,NA,0.9509721757,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2023.54794520548
"4A-22-203",0.02887514,"4A-22-203",NA,NA,"Canis familiaris",NA,2022-02-11,"date_collected","Guiang-Guiang","Lucena","Quezon-Real","Quezon","Quezon","Calabarzon","Region IV-A (Calabarzon)",13.93834754,121.6153593,"phd",NA,NA,NA,"Canis lupus familiaris","Dog","Domestic","Luzon","Calabarzon","AL_Asian_SEA4","Asian SEA4_A1.1.2",2022.11232876712
"OR971472",0.028782742,"R4A-2022-98",NA,"OR971472","Canis lupus familiaris","brain",2022-01-24,"date_collected",NA,NA,NA,"Quezon","Quezon","Region IV-A (Calabarzon)","Region IV-A (Calabarzon)",NA,NA,"vgtk","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999580959,"Canis lupus familiaris","Dog","Domestic","Luzon","Calabarzon","AL_Asian_SEA4","Asian SEA4_A1.1.2",2022.06301369863
"OR971478",0.028955867,"R4A-2022-234",NA,"OR971478","Canis lupus familiaris","brain",2022-02-17,"date_collected",NA,NA,NA,"Quezon","Quezon","Region IV-A (Calabarzon)","Region IV-A (Calabarzon)",NA,NA,"vgtk","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999580959,"Canis lupus familiaris","Dog","Domestic","Luzon","Calabarzon","AL_Asian_SEA4","Asian SEA4_A1.1.2",2022.12876712329
"OR971482",0.029128899,"R4A-2022-577",NA,"OR971482","Canis lupus familiaris","brain",2022-03-24,"date_collected",NA,NA,NA,"Quezon","Quezon","Region IV-A (Calabarzon)","Region IV-A (Calabarzon)",NA,NA,"vgtk","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999580959,"Canis lupus familiaris","Dog","Domestic","Luzon","Calabarzon","AL_Asian_SEA4","Asian SEA4_A1.1.2",2022.22465753425
"OR971461",0.029128891,"R4A-2021-1668",NA,"OR971461","Canis lupus familiaris","brain",2021-11-29,"date_collected",NA,NA,NA,"Quezon","Quezon","Region IV-A (Calabarzon)","Region IV-A (Calabarzon)",NA,NA,"vgtk","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999580959,"Canis lupus familiaris","Dog","Domestic","Luzon","Calabarzon","AL_Asian_SEA4","Asian SEA4_A1.1.2",2021.9095890411
"OR971449",0.027743217,"R4A-2019-857",NA,"OR971449","Canis lupus familiaris","brain",2019-08-27,"date_collected",NA,NA,NA,"Quezon","Quezon","Region IV-A (Calabarzon)","Region IV-A (Calabarzon)",NA,NA,"vgtk","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999497151,"Canis lupus familiaris","Dog","Domestic","Luzon","Calabarzon","AL_Asian_SEA4","Asian SEA4_A1.1.2",2019.65205479452
"Z-17-046",0.026833315,"Z-17-046",NA,NA,"Canis familiaris",NA,2017-03-06,"date_collected","Bgy. San Fernando","Santo Tomas","Batangas-Santo Tomas","Batangas","Batangas","Calabarzon","Region IV-A (Calabarzon)",14.07637376,121.1824598,"phd",NA,NA,NA,"Canis lupus familiaris","Dog","Domestic","Luzon","Calabarzon","AL_Asian_SEA4","Asian SEA4_A1.1.2",2017.17534246575
"OR971447",0.027220884,"R4A-2019-472",NA,"OR971447","Canis lupus familiaris","brain",2019-05-06,"date_collected",NA,NA,NA,"Batangas","Batangas","Region IV-A (Calabarzon)","Region IV-A (Calabarzon)",NA,NA,"vgtk","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999497151,"Canis lupus familiaris","Dog","Domestic","Luzon","Calabarzon","AL_Asian_SEA4","Asian SEA4_A1.1.2",2019.34246575342
"OR971470",0.028261675,"R4A-2022-40",NA,"OR971470","Canis lupus familiaris","brain",2022-11-01,"date_collected",NA,NA,NA,"Batangas","Batangas","Region IV-A (Calabarzon)","Region IV-A (Calabarzon)",NA,NA,"vgtk","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999580959,"Canis lupus familiaris","Dog","Domestic","Luzon","Calabarzon","AL_Asian_SEA4","Asian SEA4_A1.1.2",2022.83287671233
"OR971460",0.027654137,"R4A-2021-1574",NA,"OR971460","Canis lupus familiaris","brain",2021-12-10,"date_collected",NA,NA,NA,"Batangas","Batangas","Region IV-A (Calabarzon)","Region IV-A (Calabarzon)",NA,NA,"vgtk","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999580959,"Canis lupus familiaris","Dog","Domestic","Luzon","Calabarzon","AL_Asian_SEA4","Asian SEA4_A1.1.2",2021.9397260274
"OR971358",0.027740641,"NCR-2021-3654",NA,"OR971358","Canis lupus familiaris","brain",2021-10-13,"date_collected",NA,NA,NA,"Metropolitan Manila","Metropolitan Manila","National Capital Region (NCR)","National Capital Region (NCR)",NA,NA,"vgtk; manual_correction","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999580959,"Canis lupus familiaris","Dog","Domestic","Luzon","NCR","AL_Asian_SEA4","Asian SEA4_A1.1.2",2021.78082191781
"4B-23-03",0.027710557,"4B-23-03",NA,NA,"Canis familiaris",NA,2023-01-22,"date_collected","Sugod","San Agustin","Romblon-San Agustin","Romblon","Romblon","Southwestern Tagalog Region","Mimaropa Region",12.55403552,122.1124048,"phd",NA,NA,NA,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2023.05753424658
"4B-23-04",0.028061218,"4B-23-04",NA,NA,"Canis familiaris",NA,2023-01-31,"date_collected","Carmen","San Agustin","Romblon-San Agustin","Romblon","Romblon","Southwestern Tagalog Region","Mimaropa Region",12.55403552,122.1124048,"phd",NA,NA,NA,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2023.08219178082
"Z-22-121",0.027798202,"Z-22-121",NA,NA,"Canis familiaris",NA,2022-12-19,"date_collected","Carmen","San Agustin","Romblon-San Agustin","Romblon","Romblon","Southwestern Tagalog Region","Mimaropa Region",12.55403552,122.1124048,"phd",NA,NA,NA,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2022.96438356164
"RADDL4B-23-046",0.028555564,"RADDL4B-23-046","R-59",NA,"Dog",NA,2023-07-04,"date_collected","Carmen","San Agustin","Romblon-San Agustin","Romblon","Romblon","MIMIROPA","Mimaropa Region",12.6207441732869,122.112268131429,"speedier",NA,NA,0.9884,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2023.50410958904
"RADDL4B-24-042",0.028709068,"RADDL4B-24-042","R-63",NA,"Dog",NA,2024-02-12,"date_collected","Mahabang Baybay","San Agustin","Romblon-San Agustin","Romblon","Romblon","MIMIROPA","Mimaropa Region",12.6389756037373,122.150335754756,"speedier",NA,NA,0.9884,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.11475409836
"RADDL4B-24-114",0.028956158,"RADDL4B-24-114","R-90",NA,"Dog",NA,2024-05-18,"date_collected","Mahabang Baybay","San Agustin","Romblon-San Agustin","Romblon","Romblon","MIMIROPA","Mimaropa Region",12.6389756037373,122.150335754756,"speedier",NA,NA,0.9873,"Canis lupus familiaris","Dog","Domestic","Luzon","Mimaropa","AL_Asian_SEA4","Asian SEA4_A1.1.2",2024.37704918033
"Z-16-082",0.025936834,"Z-16-082",NA,NA,"Canis familiaris",NA,2016-05-24,"date_collected","Caingin","Santa Rosa City","Laguna-Santa Rosa City","Laguna","Laguna","Calabarzon","Region IV-A (Calabarzon)",14.27260264,121.0895167,"phd",NA,NA,NA,"Canis lupus familiaris","Dog","Domestic","Luzon","Calabarzon","AL_Asian_SEA4","Asian SEA4_A1.1.2",2016.39344262295
"OR971385",0.026789467,"R1-2019-212",NA,"OR971385","Canis lupus familiaris","brain",2019-11-06,"date_collected","Cabugbugan","Tagudin","Ilocos Sur-Tagudin","Ilocos Sur","Ilocos Sur","Region I (Ilocos Region)","Region I (Ilocos Region)",NA,NA,"vgtk; raddl_correction","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999497151,"Canis lupus familiaris","Dog","Domestic","Luzon","Ilocos Region","AL_Asian_SEA4","Asian SEA4_A1.1.2",2019.84657534247
"OR971330",0.028092048,"CAR-2021-015",NA,"OR971330","Canis lupus familiaris","brain",2021-02-24,"date_collected",NA,NA,NA,"Abra","Abra","Cordillera Administrative Region (CAR)","Cordillera Administrative Region (CAR)",NA,NA,"vgtk","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999497151,"Canis lupus familiaris","Dog","Domestic","Luzon","CAR","AL_Asian_SEA4","Asian SEA4_A1.1.2",2021.14794520548
"OR971336",0.028400574,"CAR-2021-040",NA,"OR971336","Canis lupus familiaris","brain",2021-08-06,"date_collected",NA,NA,NA,"Abra","Abra","Cordillera Administrative Region (CAR)","Cordillera Administrative Region (CAR)",NA,NA,"vgtk","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999497151,"Canis lupus familiaris","Dog","Domestic","Luzon","CAR","AL_Asian_SEA4","Asian SEA4_A1.1.2",2021.59452054795
"OR971337",0.028092021,"CAR-2021-044",NA,"OR971337","Canis lupus familiaris","brain",2021-06-18,"date_collected",NA,NA,NA,"Abra","Abra","Cordillera Administrative Region (CAR)","Cordillera Administrative Region (CAR)",NA,NA,"vgtk","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999497151,"Canis lupus familiaris","Dog","Domestic","Luzon","CAR","AL_Asian_SEA4","Asian SEA4_A1.1.2",2021.4602739726
"CAR-22-020",0.028422661,"CAR-22-020",NA,NA,"Canis familiaris",NA,2022-01-01,"date_collected","","",NA,"",NA,"Cordillera Administrative Region (CAR)","Cordillera Administrative Region (CAR)",NA,NA,"phd",NA,NA,NA,"Canis lupus familiaris","Dog","Domestic","Luzon","CAR","AL_Asian_SEA4","Asian SEA4_A1.1.2",2022
"OR971343",0.027744111,"CAR-2022-004",NA,"OR971343","Canis lupus familiaris","brain",2022-01-14,"date_collected",NA,NA,NA,"Abra","Abra","Cordillera Administrative Region (CAR)","Cordillera Administrative Region (CAR)",NA,NA,"vgtk","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999497151,"Canis lupus familiaris","Dog","Domestic","Luzon","CAR","AL_Asian_SEA4","Asian SEA4_A1.1.2",2022.03561643836
"OR971346",0.027570829,"CAR-2022-020",NA,"OR971346","Canis lupus familiaris","brain",2022-03-16,"date_collected",NA,NA,NA,"Abra","Abra","Cordillera Administrative Region (CAR)","Cordillera Administrative Region (CAR)",NA,NA,"vgtk","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999497151,"Canis lupus familiaris","Dog","Domestic","Luzon","CAR","AL_Asian_SEA4","Asian SEA4_A1.1.2",2022.20273972603
"OR971334",0.027484366,"CAR-2021-033",NA,"OR971334","Canis lupus familiaris","brain",2021-05-10,"date_collected",NA,NA,NA,"Abra","Abra","Cordillera Administrative Region (CAR)","Cordillera Administrative Region (CAR)",NA,NA,"vgtk","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999497151,"Canis lupus familiaris","Dog","Domestic","Luzon","CAR","AL_Asian_SEA4","Asian SEA4_A1.1.2",2021.35342465753
"OR971340",0.027570835,"CAR-2021-075",NA,"OR971340","Canis lupus familiaris","brain",2021-11-15,"date_collected",NA,NA,NA,"Abra","Abra","Cordillera Administrative Region (CAR)","Cordillera Administrative Region (CAR)",NA,NA,"vgtk","Cruz,J.L., Gonzales,R.M.C., Azul,R.R., Pena,R.C.D.",NA,0.999497151,"Canis lupus familiaris","Dog","Domestic","Luzon","CAR","AL_Asian_SEA4","Asian SEA4_A1.1.2",2021.87123287671
