"ID","n_N","n_gap","length","year","lineage","previous"
"OQ326782",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326781",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326780",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326779",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326778",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326777",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326776",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326775",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326774",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326773",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326772",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326771",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326770",0,585,11800,"2019","Asian SEA4_A1",NA
"OQ326769",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326768",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326767",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326766",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326765",0,585,11800,"2019","Asian SEA4_A1",NA
"OQ326764",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326763",0,585,11800,"2019","Asian SEA4_A1",NA
"OQ326762",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326761",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326760",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326759",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326758",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326757",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326756",0,585,11800,"2018","Asian SEA4_A1",NA
"OQ326755",0,585,11800,"2018","Asian SEA4_A1",NA
"OR971544",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971543",0,460,11925,"2021","Asian SEA4_B1.1.1",NA
"OR971542",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971541",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971540",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971539",0,457,11928,"2019","Asian SEA4_A1",NA
"OR971538",0,457,11928,"2019","Asian SEA4_A1",NA
"OR971537",0,457,11928,"2019","Asian SEA4_A1",NA
"OR971536",0,457,11928,"2019","Asian SEA4_A1",NA
"OR971535",0,457,11928,"2019","Asian SEA4_A1",NA
"OR971534",0,463,11922,"2019","Asian SEA4_B1.1.1",NA
"OR971533",0,461,11924,"2021","Asian SEA4_A1.2",NA
"OR971532",0,461,11924,"2021","Asian SEA4_A1.2",NA
"OR971531",0,461,11924,"2021","Asian SEA4_A1.2",NA
"OR971530",0,461,11924,"2021","Asian SEA4_A1.2",NA
"OR971529",0,461,11924,"2021","Asian SEA4_A1.2",NA
"OR971528",0,460,11925,"2021","Asian SEA4_A1.2",NA
"OR971527",0,461,11924,"2021","Asian SEA4_A1.2",NA
"OR971526",0,461,11924,"2021","Asian SEA4_A1.2",NA
"OR971525",0,461,11924,"2021","Asian SEA4_A1.2",NA
"OR971524",0,461,11924,"2021","Asian SEA4_A1.2",NA
"OR971523",0,463,11922,"2021","Asian SEA4_A1.2",NA
"OR971522",0,461,11924,"2021","Asian SEA4_A1.2",NA
"OR971521",0,461,11924,"2021","Asian SEA4_A1.2",NA
"OR971520",0,461,11924,"2021","Asian SEA4_A1.2",NA
"OR971519",0,461,11924,"2021","Asian SEA4_A1.2",NA
"OR971518",0,461,11924,"2021","Asian SEA4_A1.2",NA
"OR971517",0,461,11924,"2021","Asian SEA4_A1.2",NA
"OR971516",0,461,11924,"2021","Asian SEA4_A1.2",NA
"OR971515",0,461,11924,"2021","Asian SEA4_A1.2",NA
"OR971514",0,461,11924,"2021","Asian SEA4_A1.2",NA
"OR971513",0,461,11924,"2021","Asian SEA4_A1.2",NA
"OR971512",0,461,11924,"2021","Asian SEA4_A1.2",NA
"OR971511",0,461,11924,"2021","Asian SEA4_A1.2",NA
"OR971510",0,461,11924,"2021","Asian SEA4_A1.2",NA
"OR971509",0,461,11924,"2021","Asian SEA4_A1.2",NA
"OR971508",0,461,11924,"2021","Asian SEA4_A1.2",NA
"OR971507",0,461,11924,"2021","Asian SEA4_A1.2",NA
"OR971506",0,461,11924,"2019","Asian SEA4_A1.2",NA
"OR971505",0,461,11924,"2018","Asian SEA4_A1.2",NA
"OR971504",0,461,11924,"2018","Asian SEA4_A1.2",NA
"OR971503",0,461,11924,"2018","Asian SEA4_A1.2",NA
"OR971502",0,461,11924,"2018","Asian SEA4_A1.2",NA
"OR971501",0,461,11924,"2018","Asian SEA4_A1.2",NA
"OR971500",0,461,11924,"2018","Asian SEA4_A1.2",NA
"OR971499",0,461,11924,"2018","Asian SEA4_A1.2",NA
"OR971498",0,461,11924,"2018","Asian SEA4_A1.2",NA
"OR971497",0,458,11927,"2022","Asian SEA4_A1.1.2",NA
"OR971496",0,458,11927,"2022","Asian SEA4_A1.1.2",NA
"OR971495",0,458,11927,"2022","Asian SEA4_A1.1.2",NA
"OR971344",0,459,11926,"2022","Asian SEA4_A1.1.2",NA
"OR971343",0,459,11926,"2022","Asian SEA4_A1.1.2",NA
"OR971342",0,461,11924,"2022","Asian SEA4_A1",NA
"OR971341",0,459,11926,"2022","Asian SEA4_A1.1.2",NA
"OR971340",0,459,11926,"2021","Asian SEA4_A1.1.2",NA
"OR971339",0,459,11926,"2021","Asian SEA4_A1.1.2",NA
"OR971338",0,463,11922,"2021","Asian SEA4_C1.1",NA
"OR971337",0,459,11926,"2021","Asian SEA4_A1.1.2",NA
"OR971336",0,459,11926,"2021","Asian SEA4_A1.1.2",NA
"OR971335",0,463,11922,"2021","Asian SEA4_C1",NA
"OR971334",0,459,11926,"2021","Asian SEA4_A1.1.2",NA
"OR971333",0,461,11924,"2021","Asian SEA4_A1",NA
"OR971332",0,461,11924,"2021","Asian SEA4_A1",NA
"OR971331",0,459,11926,"2021","Asian SEA4_A1.1.2",NA
"OR971330",0,459,11926,"2021","Asian SEA4_A1.1.2",NA
"OR971329",0,463,11922,"2019","Asian SEA4_A1.2",NA
"OR971328",0,459,11926,"2019","Asian SEA4_A1.1.2",NA
"OR971327",0,460,11925,"2019","Asian SEA4_A1",NA
"OR971326",0,459,11926,"2019","Asian SEA4_A1.1.2",NA
"OR971325",0,461,11924,"2019","Asian SEA4_A1",NA
"OR971324",0,458,11927,"2019","Asian SEA4_A1.1.2",NA
"OR971323",0,460,11925,"2019","Asian SEA4_A1",NA
"OR971644",0,460,11925,"2019","Asian SEA4_A1",NA
"OR971643",0,460,11925,"2019","Asian SEA4_A1",NA
"OR971642",0,460,11925,"2019","Asian SEA4_A1",NA
"OR971641",0,460,11925,"2019","Asian SEA4_A1",NA
"OR971640",0,458,11927,"2022","Asian SEA4_A1",NA
"OR971639",0,460,11925,"2022","Asian SEA4_A1",NA
"OR971638",0,461,11924,"2022","Asian SEA4_A1",NA
"OR971637",0,461,11924,"2022","Asian SEA4_A1",NA
"OR971636",0,458,11927,"2022","Asian SEA4_A1",NA
"OR971635",0,459,11926,"2022","Asian SEA4_A1",NA
"OR971634",0,459,11926,"2022","Asian SEA4_A1",NA
"OR971633",0,458,11927,"2022","Asian SEA4_A1",NA
"OR971632",0,461,11924,"2022","Asian SEA4_A1",NA
"OR971631",0,461,11924,"2022","Asian SEA4_A1",NA
"OR971630",0,461,11924,"2022","Asian SEA4_A1",NA
"OR971629",0,459,11926,"2021","Asian SEA4_A1",NA
"OR971628",0,460,11925,"2021","Asian SEA4_A1",NA
"OR971627",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971626",0,460,11925,"2021","Asian SEA4_A1",NA
"OR971625",0,460,11925,"2021","Asian SEA4_A1",NA
"OR971624",0,461,11924,"2021","Asian SEA4_A1",NA
"OR971623",0,461,11924,"2021","Asian SEA4_A1",NA
"OR971622",0,459,11926,"2021","Asian SEA4_A1",NA
"OR971621",0,460,11925,"2021","Asian SEA4_A1",NA
"OR971620",0,461,11924,"2021","Asian SEA4_A1",NA
"OR971619",0,459,11926,"2021","Asian SEA4_A1",NA
"OR971618",0,459,11926,"2021","Asian SEA4_A1",NA
"OR971617",0,460,11925,"2021","Asian SEA4_A1",NA
"OR971616",0,460,11925,"2021","Asian SEA4_A1",NA
"OR971615",0,460,11925,"2019","Asian SEA4_A1",NA
"OR971614",0,460,11925,"2019","Asian SEA4_A1",NA
"OR971613",0,461,11924,"2019","Asian SEA4_A1",NA
"OR971612",0,460,11925,"2019","Asian SEA4_A1",NA
"OR971611",0,458,11927,"2019","Asian SEA4_A1",NA
"OR971610",0,460,11925,"2019","Asian SEA4_A1",NA
"OR971609",0,458,11927,"2019","Asian SEA4_A1",NA
"OR971608",0,461,11924,"2019","Asian SEA4_A1",NA
"OR971607",0,461,11924,"2019","Asian SEA4_A1",NA
"OR971606",0,460,11925,"2019","Asian SEA4_A1",NA
"OR971605",0,460,11925,"2019","Asian SEA4_A1",NA
"OR971604",0,459,11926,"2019","Asian SEA4_A1",NA
"OR971603",0,460,11925,"2019","Asian SEA4_A1",NA
"OR971602",0,459,11926,"2019","Asian SEA4_A1",NA
"OR971601",0,460,11925,"2019","Asian SEA4_A1",NA
"OR971600",0,461,11924,"2019","Asian SEA4_A1",NA
"OR971599",0,460,11925,"2021","Asian SEA4_A1",NA
"OR971598",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971597",0,458,11927,"2021","Asian SEA4_A1",NA
"OR971596",0,458,11927,"2021","Asian SEA4_A1",NA
"OR971595",0,458,11927,"2021","Asian SEA4_A1",NA
"OR971594",0,459,11926,"2021","Asian SEA4_A1",NA
"OR971593",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971592",0,461,11924,"2019","Asian SEA4_A1",NA
"OR971591",0,463,11922,"2021","Asian SEA4_A1",NA
"OR971590",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971589",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971588",0,461,11924,"2021","Asian SEA4_A1",NA
"OR971587",0,461,11924,"2021","Asian SEA4_A1",NA
"OR971586",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971585",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971584",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971583",0,457,11928,"-","Asian SEA4_A1",NA
"OR971582",0,457,11928,"-","Asian SEA4_A1",NA
"OR971581",0,457,11928,"-","Asian SEA4_A1",NA
"OR971580",0,457,11928,"-","Asian SEA4_A1",NA
"OR971579",0,457,11928,"-","Asian SEA4_A1",NA
"OR971578",0,457,11928,"-","Asian SEA4_A1",NA
"OR971577",0,462,11923,"2022","Asian SEA4_A1",NA
"OR971576",0,463,11922,"2022","Asian SEA4_A1",NA
"OR971575",0,457,11928,"2022","Asian SEA4_A1",NA
"OR971574",0,461,11924,"2022","Asian SEA4_A1",NA
"OR971573",0,462,11923,"2022","Asian SEA4_A1",NA
"OR971572",0,462,11923,"2022","Asian SEA4_A1",NA
"OR971571",0,457,11928,"2022","Asian SEA4_A1",NA
"OR971570",0,462,11923,"2021","Asian SEA4_A1",NA
"OR971569",0,462,11923,"2021","Asian SEA4_A1",NA
"OR971568",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971567",0,463,11922,"2021","Asian SEA4_A1",NA
"OR971566",0,461,11924,"2021","Asian SEA4_A1",NA
"OR971565",0,462,11923,"2021","Asian SEA4_A1",NA
"OR971564",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971563",0,462,11923,"2021","Asian SEA4_A1",NA
"OR971562",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971561",0,462,11923,"2021","Asian SEA4_A1",NA
"OR971560",0,463,11922,"2021","Asian SEA4_A1",NA
"OR971559",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971558",0,460,11925,"2021","Asian SEA4_A1",NA
"OR971557",0,460,11925,"2021","Asian SEA4_A1",NA
"OR971556",0,460,11925,"2021","Asian SEA4_A1",NA
"OR971555",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971554",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971553",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971552",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971551",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971550",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971549",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971548",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971547",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971546",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971545",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971494",0,458,11927,"2022","Asian SEA4_A1.1.2",NA
"OR971493",0,459,11926,"2022","Asian SEA4_A1.1.2",NA
"OR971492",0,459,11926,"2022","Asian SEA4_A1.1.2",NA
"OR971491",0,458,11927,"2022","Asian SEA4_A1.1.2",NA
"OR971490",0,459,11926,"2022","Asian SEA4_A1.1.2",NA
"OR971489",0,459,11926,"2022","Asian SEA4_A1.1.2",NA
"OR971488",0,458,11927,"2021","Asian SEA4_A1.1.2",NA
"OR971487",0,458,11927,"2021","Asian SEA4_A1.1.2",NA
"OR971486",0,458,11927,"2021","Asian SEA4_A1.1.2",NA
"OR971485",0,458,11927,"2021","Asian SEA4_A1.1.2",NA
"OR971484",0,458,11927,"2021","Asian SEA4_A1.1.2",NA
"OR971483",0,458,11927,"2019","Asian SEA4_B1.1.1",NA
"OR971482",0,458,11927,"2022","Asian SEA4_A1.1.2",NA
"OR971481",0,458,11927,"2022","Asian SEA4_A1.1.2",NA
"OR971480",0,457,11928,"2022","Asian SEA4_A1.1.2",NA
"OR971479",0,458,11927,"2022","Asian SEA4_A1.2",NA
"OR971478",0,458,11927,"2022","Asian SEA4_A1.1.2",NA
"OR971477",0,458,11927,"2022","Asian SEA4_A1.1.2",NA
"OR971476",0,457,11928,"2022","Asian SEA4_A1.1.2",NA
"OR971475",0,458,11927,"2022","Asian SEA4_A1.1.2",NA
"OR971474",0,458,11927,"2022","Asian SEA4_A1.2",NA
"OR971473",0,458,11927,"2022","Asian SEA4_A1.1.2",NA
"OR971472",0,458,11927,"2022","Asian SEA4_A1.1.2",NA
"OR971471",0,458,11927,"2022","Asian SEA4_A1.1.2",NA
"OR971470",0,458,11927,"2022","Asian SEA4_A1.1.2",NA
"OR971469",0,458,11927,"2021","Asian SEA4_A1.2",NA
"OR971468",0,458,11927,"2021","Asian SEA4_A1.2",NA
"OR971467",0,458,11927,"2021","Asian SEA4_A1.2",NA
"OR971466",0,458,11927,"2021","Asian SEA4_A1.2",NA
"OR971465",0,458,11927,"2021","Asian SEA4_A1.2",NA
"OR971464",0,458,11927,"2021","Asian SEA4_B1.1.1",NA
"OR971463",0,458,11927,"2021","Asian SEA4_A1.1",NA
"OR971462",0,458,11927,"2021","Asian SEA4_A1.2",NA
"OR971461",0,458,11927,"2021","Asian SEA4_A1.1.2",NA
"OR971460",0,458,11927,"2021","Asian SEA4_A1.1.2",NA
"OR971459",0,457,11928,"2020","Asian SEA4_A1.1",NA
"OR971458",0,461,11924,"2020","Asian SEA4_B1.1.1",NA
"OR971457",0,463,11922,"2020","Asian SEA4_B1.1.1",NA
"OR971456",0,463,11922,"2019","Asian SEA4_A1.2",NA
"OR971455",0,463,11922,"2019","Asian SEA4_A1.2",NA
"OR971454",0,461,11924,"2019","Asian SEA4_B1.1.1",NA
"OR971453",0,459,11926,"2019","Asian SEA4_A1.1.2",NA
"OR971452",0,463,11922,"2019","Asian SEA4_A1.2",NA
"OR971451",0,463,11922,"2019","Asian SEA4_A1.2",NA
"OR971450",0,461,11924,"2019","Asian SEA4_A1.2",NA
"OR971449",0,459,11926,"2019","Asian SEA4_A1.1.2",NA
"OR971448",0,458,11927,"2019","Asian SEA4_A1",NA
"OR971447",0,459,11926,"2019","Asian SEA4_A1.1.2",NA
"OR971446",0,458,11927,"2022","Asian SEA4_A1.2",NA
"OR971445",0,458,11927,"2022","Asian SEA4_A1.2",NA
"OR971394",0,461,11924,"2019","Asian SEA4_A1",NA
"OR971393",0,461,11924,"2019","Asian SEA4_A1",NA
"OR971392",0,458,11927,"2022","Asian SEA4_B1",NA
"OR971391",0,458,11927,"2022","Asian SEA4_A1.2",NA
"OR971390",0,458,11927,"2022","Asian SEA4_B1",NA
"OR971389",0,463,11922,"2021","Asian SEA4_A1.2",NA
"OR971388",0,459,11926,"2021","Asian SEA4_A1.1.2",NA
"OR971387",0,461,11924,"2021","Asian SEA4_A1.2",NA
"OR971386",0,461,11924,"2021","Asian SEA4_A1.2",NA
"OR971385",0,459,11926,"2019","Asian SEA4_A1.1.2",NA
"OR971384",0,461,11924,"2019","Asian SEA4_A1.2",NA
"OR971383",0,461,11924,"2019","Asian SEA4_A1.2",NA
"OR971382",0,461,11924,"2019","Asian SEA4_A1.2",NA
"OR971381",0,459,11926,"2019","Asian SEA4_B1",NA
"OR971380",0,458,11927,"2022","Asian SEA4_A1.2",NA
"OR971379",0,458,11927,"2022","Asian SEA4_A1.2",NA
"OR971378",0,458,11927,"2022","Asian SEA4_A1.1.2",NA
"OR971377",0,458,11927,"2022","Asian SEA4_A1.2",NA
"OR971376",0,458,11927,"2022","Asian SEA4_B1.1.1",NA
"OR971375",0,458,11927,"2022","Asian SEA4_B1.1.1",NA
"OR971374",0,458,11927,"2022","Asian SEA4_A1.2",NA
"OR971373",0,458,11927,"2022","Asian SEA4_A1.2",NA
"OR971372",0,458,11927,"2022","Asian SEA4_A1.2",NA
"OR971371",0,457,11928,"2022","Asian SEA4_A1.2",NA
"OR971370",0,458,11927,"2022","Asian SEA4_A1.1.2",NA
"OR971369",0,458,11927,"2022","Asian SEA4_A1.2",NA
"OR971368",0,458,11927,"2022","Asian SEA4_A1.2",NA
"OR971367",0,458,11927,"2022","Asian SEA4_A1.2",NA
"OR971366",0,458,11927,"2022","Asian SEA4_A1.2",NA
"OR971365",0,458,11927,"2022","Asian SEA4_A1.2",NA
"OR971364",0,458,11927,"2022","Asian SEA4_A1.2",NA
"OR971363",0,458,11927,"2022","Asian SEA4_A1.2",NA
"OR971362",0,458,11927,"2022","Asian SEA4_A1.2",NA
"OR971361",0,458,11927,"2022","Asian SEA4_A1.2",NA
"OR971360",0,457,11928,"2021","Asian SEA4_A1.2",NA
"OR971359",0,458,11927,"2021","Asian SEA4_A1.2",NA
"OR971358",0,458,11927,"2021","Asian SEA4_A1.1.2",NA
"OR971357",0,458,11927,"2021","Asian SEA4_A1.2",NA
"OR971356",0,458,11927,"2020","Asian SEA4_B1.1.1",NA
"OR971355",0,458,11927,"2020","Asian SEA4_A1.2",NA
"OR971354",0,459,11926,"2020","Asian SEA4_A1.2",NA
"OR971353",0,459,11926,"2020","Asian SEA4_A1.1.2",NA
"OR971352",0,461,11924,"2020","Asian SEA4_A1.2",NA
"OR971351",0,461,11924,"2020","Asian SEA4_A1.2",NA
"OR971350",0,461,11924,"2020","Asian SEA4_A1.2",NA
"OR971349",0,463,11922,"2019","Asian SEA4_A1.2",NA
"OR971348",0,463,11922,"2019","Asian SEA4_A1.2",NA
"OR971347",0,461,11924,"2019","Asian SEA4_A1.2",NA
"OR971346",0,459,11926,"2022","Asian SEA4_A1.1.2",NA
"OR971345",0,461,11924,"2022","Asian SEA4_A1",NA
"OR971675",0,460,11925,"2021","Asian SEA4_A1",NA
"OR971674",0,460,11925,"2021","Asian SEA4_A1",NA
"OR971673",0,460,11925,"2021","Asian SEA4_A1",NA
"OR971672",0,458,11927,"2021","Asian SEA4_A1",NA
"OR971671",0,460,11925,"2021","Asian SEA4_A1",NA
"OR971670",0,459,11926,"2021","Asian SEA4_A1",NA
"OR971669",0,459,11926,"2021","Asian SEA4_A1",NA
"OR971668",0,459,11926,"2021","Asian SEA4_A1",NA
"OR971667",0,461,11924,"2021","Asian SEA4_A1",NA
"OR971666",0,459,11926,"2021","Asian SEA4_A1",NA
"OR971665",0,459,11926,"2021","Asian SEA4_A1",NA
"OR971664",0,458,11927,"2021","Asian SEA4_A1",NA
"OR971663",0,459,11926,"2021","Asian SEA4_A1",NA
"OR971662",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971661",0,458,11927,"2021","Asian SEA4_A1",NA
"OR971660",0,458,11927,"2021","Asian SEA4_A1",NA
"OR971659",0,458,11927,"2021","Asian SEA4_A1",NA
"OR971658",0,458,11927,"2021","Asian SEA4_A1",NA
"OR971657",0,458,11927,"2021","Asian SEA4_A1",NA
"OR971656",0,460,11925,"2021","Asian SEA4_A1",NA
"OR971655",0,459,11926,"2021","Asian SEA4_A1",NA
"OR971654",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971653",0,460,11925,"2021","Asian SEA4_A1",NA
"OR971652",0,458,11927,"2021","Asian SEA4_A1",NA
"OR971651",0,457,11928,"2021","Asian SEA4_A1",NA
"OR971650",0,460,11925,"2021","Asian SEA4_A1",NA
"OR971649",0,457,11928,"2019","Asian SEA4_A1",NA
"OR971648",0,460,11925,"2019","Asian SEA4_A1",NA
"OR971647",0,458,11927,"2019","Asian SEA4_A1",NA
"OR971646",0,460,11925,"2019","Asian SEA4_A1",NA
"OR971645",0,458,11927,"2019","Asian SEA4_A1",NA
"14",335,453,11597,"2019","Asian SEA4_A1.2",NA
"153",326,453,11606,"2018","Asian SEA4_B1",NA
"19-30",333,453,11599,"2019","Asian SEA4_A1.2",NA
"19-40",124,453,11808,"2019","Asian SEA4_A1.2",NA
"4A-22-104",332,453,11600,"2022","Asian SEA4_A1.2",NA
"4A-22-171",326,453,11606,"2022","Asian SEA4_A1.1.2",NA
"4A-22-203",662,453,11270,"2022","Asian SEA4_A1.1.2",NA
"4A-22-40",138,453,11794,"2022","Asian SEA4_A1.1.2",NA
"4A-22-98",131,453,11801,"2022","Asian SEA4_A1.1.2",NA
"4B-21-126",135,453,11797,"2021","Asian SEA4_A1.1.2",NA
"4B-21-29",132,453,11800,"2021","Asian SEA4_A1.1.2",NA
"4B-21-310",332,453,11600,"2021","Asian SEA4_A1.1.2",NA
"4B-21-35",330,453,11602,"2021","Asian SEA4_A1.1.2",NA
"4B-21-412",124,453,11808,"2021","Asian SEA4_A1.1.2",NA
"4B-21-421",132,453,11800,"2021","Asian SEA4_A1.1.2",NA
"4B-21-423",335,453,11597,"2021","Asian SEA4_A1.1.2",NA
"4B-21-528",122,453,11810,"2021","Asian SEA4_A1.1.2",NA
"4B-21622",143,453,11789,"2022","Asian SEA4_A1.1.2",NA
"4B-22-114",131,453,11801,"2022","Asian SEA4_A1.1.2",NA
"4B-22-13",345,453,11587,"2022","Asian SEA4_A1.1.2",NA
"4B-22-15",124,453,11808,"2022","Asian SEA4_A1.1.2",NA
"4B-22-16",361,453,11571,"2022","Asian SEA4_A1.1.2",NA
"4B-22-17",338,453,11594,"2022","Asian SEA4_A1.1.2",NA
"4B-22-20",362,453,11570,"2022","Asian SEA4_A1.1.2",NA
"4B-22-21",375,453,11557,"2022","Asian SEA4_A1.1.2",NA
"4B-22-28",325,453,11607,"2022","Asian SEA4_A1.1.2",NA
